	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3	Control_med_T0-1	Control_med_T0-2	Control_med_T0-3	Control_med_T1h-1	Control_med_T1h-2	Control_med_T1h-3	Control_med_T2h-1	Control_med_T2h-2	Control_med_T2h-3	Control_med_T4h-1	Control_med_T4h-2	Control_med_T4h-3	Control_med_T6h-1	Control_med_T6h-2	Control_med_T6h-3	Control_med_T24h-1	Control_med_T24h-2	Control_med_T24h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
13C5-D5-15N_Glutamic_acid	376953344.0	371998656.0	359219392.0	371149600.0	363974592.0	380558336.0	355967264.0	352206720.0	357898048.0	372093664.0	367657056.0	364859136.0	355140416.0	351009152.0	353164448.0	339844416.0	358285664.0	373859104.0	366372160.0	366566784.0	350091136.0	365683808.0	372167456.0	365208576.0	360962816.0	360910848.0	339105920.0	359897760.0	349408416.0	361981472.0	347087520.0	344989920.0	355298848.0	344751904.0	355049600.0	349442592.0	420643680.0	404836960.0	398197600.0	378400768.0	403630816.0	389696064.0	414445696.0	398997504.0	388978464.0	400892832.0	409692160.0	419899584.0	390210912.0	393482880.0	384439552.0	394619648.0	384623488.0	383919328.0	380793696.0	387445184.0	397029952.0	391833792.0	399090272.0	400079200.0	390062880.0	411724032.0	401474176.0	389154176.0	393559392.0	382944768.0	383479488.0	383554368.0	387962464.0	374582016.0	376233536.0	384372128.0
Myristic_acid_d27	792846848.0	793958912.0	830396480.0	820954560.0	788249600.0	815539456.0	807841280.0	768094848.0	783310656.0	760840064.0	789102144.0	764267456.0	805607104.0	784178560.0	800415040.0	745438464.0	791638272.0	802362752.0	786244608.0	733313024.0	759016512.0	793920256.0	812989440.0	793055744.0	803464896.0	774810752.0	763710848.0	782654208.0	750992832.0	779972544.0	772886400.0	790403264.0	772047104.0	797010880.0	778324736.0	741012096.0	853671104.0	844095616.0	848393984.0	854903104.0	853804608.0	854098112.0	848150976.0	859534144.0	856181120.0	839168448.0	854042432.0	846382272.0	837682688.0	831668736.0	838162816.0	842356096.0	826676672.0	824849664.0	840706752.0	827448320.0	841451072.0	848828352.0	848897088.0	827388608.0	837923456.0	844780416.0	835171136.0	831096320.0	836961472.0	835375488.0	810996672.0	822325248.0	810936832.0	801369856.0	806352000.0	772258240.0
Phosphoenolpyruvic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lactic_acid	1610784590.0	3445542590.0	1472119940.0	1341217620.0	2094453560.0	1902435270.0	2920277810.0	1984006200.0	1967889770.0	2238635720.0	2002923560.0	2110664910.0	2418584560.0	2258295940.0	2050267630.0	2409597490.0	1721520530.0	2571653590.0	2200054670.0	2543139470.0	2775789810.0	2080387140.0	1757745860.0	2869804530.0	1843457270.0	1902763090.0	2708211420.0	1642349750.0	2282908190.0	2314215010.0	2907631510.0	2054647080.0	3029094150.0	4193348410.0	3709364160.0	3238867620.0	9323111845.0	9303071790.0	9673472947.0	8642510194.0	8849477452.0	9778539446.0	9196453259.0	8719764738.0	9805509845.0	9164272488.0	9655177508.0	9375633968.0	9699712228.0	9550633018.0	9953993216.0	8751208085.0	8228281306.0	10259338580.0	8901571439.0	8705285854.0	9441312990.0	9879222576.0	9006603810.0	9366526433.0	9401096235.0	9863840808.0	9233890897.0	10009633916.0	9355803951.0	10241524080.0	9544680592.0	9016960716.0	9879089274.0	8735538845.0	9000253613.0	9435709218.0
3-Phosphoglyceric_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D-Glyceraldehyde_3-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dihydroxyacetone_phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fructose_1,6-bisphosphate	32635.52	168332.1	176548.0	168098.8	165316.7	43720.66	100385.3	982640.6	101325.6	172075.8	60358.04	196125.2	0.0	32626.45	17705.73	244760.3	0.0	0.0	82596.93	0.0	63409.47	46683.27	68851.74	31049.5	27011.56	222560.0	673078.4	382656.3	345710.5	139332.7	14687.84	23261.3	0.0	36934.59	0.0	13777.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose	24674801.73	23085922.2	23592623.0	24965257.51	60722039.1	23851065.87	24640312.1	26167865.5	24492849.1	24337196.54	25955046.48	27895497.59	28445871.65	30522061.7	29281107.09	36342373.3	27414397.91	26440267.56	24991111.3	26740853.67	25515788.9	22635921.04	23691724.1	24980027.33	21887200.84	25128242.83	29075153.03	19401537.53	21091010.7	23212628.28	29687756.4	29010322.56	30503178.07	30919015.42	30875245.2	30469877.6	25592448.0	26021942.0	27206225.0	23803012.0	25102203.0	24906412.0	24115568.0	24685946.0	27343710.0	24045142.0	25373070.0	25392678.0	25741622.0	26342588.0	27705942.0	26952332.0	26831035.0	28064466.0	25736862.0	25630071.0	25554255.0	27958360.0	27402352.0	27756862.0	28668854.0	27617489.0	27905889.0	26826206.0	28322814.0	27193891.0	28344277.0	28687198.0	28533656.0	30127446.0	28072016.0	29623698.0
Hexose-phosphate	835354580.0	821578500.0	820840740.0	910665910.0	836310420.0	799307120.0	646275840.0	915532550.0	881691400.0	863953250.0	905857410.0	901848140.0	1058051710.0	1055215580.0	1049596750.0	1851546300.0	1284889520.0	1226159230.0	844039080.0	818427970.0	755811330.0	685026370.0	826682860.0	791863320.0	688233180.0	833340800.0	877333500.0	646478920.0	641116460.0	785699930.0	1004694570.0	1085547620.0	1009989310.0	1102176940.0	1311170460.0	1280204750.0	1961109.0	1959520.0	2135779.0	1765305.0	2106662.0	1933250.0	1386899.0	1625682.0	2306346.0	968007.8	1145652.0	1200010.0	2325026.0	2451496.0	2687937.0	3335800.0	3592161.0	2556636.0	2238262.0	2084105.0	2128283.0	2007655.0	2010753.0	2139887.0	1853279.0	1903509.0	2064095.0	891565.2	947952.6	1404808.0	2134664.0	2186309.0	2560010.0	2906409.0	3066476.0	3090132.0
