	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	1.1409016742188987	0.3175792426151195	0.623926680601169	1.2522495823909234	0.3245221304757154
1	Hexose	-1.050768274689636	0.35265421077457376	0.623926680601169	0.7182338218523947	-0.47747450333030966
2	Hexose-phosphate	-1.5053469500403212	0.20669014169540492	0.623926680601169	0.9031337253191373	-0.1469884742121871
3	Pyruvic_acid	0.46316234176024124	0.6673261172239073	0.7576738748922551	1.0826209191348724	0.11452817016552481
4	Fumaric_acid	1.180358304776135	0.3032552759309122	0.623926680601169	1.0147464505505648	0.02111929368719143
5	L-Malic_acid	-0.4006497916790769	0.7091555036651385	0.7576738748922551	0.9943373798974353	-0.008192651831721524
6	L-Glutamic_acid	-2.3271690660067197	0.08050140593207473	0.46288308410942974	0.8383255891140529	-0.25441742784545013
7	L-Glutamine	-2.339534800297363	0.07941876465952594	0.46288308410942974	0.7972872752874683	-0.3268284510266299
8	L-Methionine	0.7164810676498305	0.5133003948530642	0.7576738748922551	1.0550687697591898	0.07733703737519115
9	L-Phenylalanine	0.6202356279521405	0.5686915126906564	0.7576738748922551	1.0660806181866325	0.09231654040506294
10	Glycine	-1.0732940291635056	0.3435750773588322	0.623926680601169	0.868696670991041	-0.20307558602951992
11	L-Alanine	-2.344428133025116	0.07899489004783741	0.46288308410942974	0.903986252477727	-0.14562726210643195
12	L-Histidine	1.1628418031950236	0.30953863652391134	0.623926680601169	1.085515249038407	0.11837999270346201
13	L-Proline	0.31035376254797303	0.7717903504918691	0.7717903504918691	1.0406955583645259	0.057548089122501214
14	L-Serine	0.3778583689745236	0.7247315325056354	0.7576738748922551	1.0189046125608916	0.027018996129086495
15	L-Tryptophan	1.7804334219138436	0.14960869256902073	0.623926680601169	1.200629902076657	0.26379150431224596
16	L-Valine	0.7309631322041507	0.5053151405305407	0.7576738748922551	1.0712981372416894	0.09936003122186887
17	L-Arginine	1.4153022780791031	0.22990352022448476	0.623926680601169	1.2073412973362994	0.2718335620686006
18	L-Threonine	0.385867528080936	0.7192390183831473	0.7576738748922551	1.0141435788427113	0.0202619184364778
19	L-Lysine	1.5171633414171832	0.20382512331562067	0.623926680601169	1.2141599082352446	0.27995844105445156
20	Ile_Leu	0.653189520683061	0.5492761304749526	0.7576738748922551	1.0800672471864377	0.11112114031659659
21	L-Aspartic_acid	-3.522926382500742	0.024385577410651768	0.46288308410942974	0.7477038707917174	-0.4194610931306762
22	L-Tyrosine	0.4873855838663371	0.6514902673382053	0.7576738748922551	1.0454863599617192	0.06417423979076071
