	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	1.1409016742188987	0.3175792426151195	1.0	1.2522495823909234	0.3245221304757154
1	Hexose	1.9669242347328721	0.12059370590818475	0.46227587264804154	2.1375746460061134	1.0959748010710406
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid	0.46316234176024124	0.6673261172239073	1.0	1.0826209191348724	0.11452817016552481
4	Fumaric_acid				1.0	0.0
5	L-Malic_acid	-3.135511642727967	0.03499875452793537	0.33276028017816095	0.6723392569087004	-0.5727387059990969
6	L-Glutamic_acid	-2.105578311478247	0.10300283827192075	0.46227587264804154	0.8688425669003792	-0.20283330855941417
7	L-Glutamine	-2.5213122011580205	0.06526547162967039	0.37527646187060476	0.7191155279613533	-0.4757045325286641
8	L-Methionine				1.0	0.0
9	L-Phenylalanine				1.0	0.0
10	Glycine				1.0	0.0
11	L-Alanine	-2.9163045291765815	0.04340351480584708	0.33276028017816095	4.320670502232429e-06	-17.8203133552724
12	L-Histidine				1.0	0.0
13	L-Proline	-0.3062788244327826	0.7746722681007339	1.0	0.746511577923442	-0.421763459064447
14	L-Serine				1.0	0.0
15	L-Tryptophan				1.0	0.0
16	L-Valine				1.0	0.0
17	L-Arginine				1.0	0.0
18	L-Threonine				1.0	0.0
19	L-Lysine				1.0	0.0
20	Ile_Leu				1.0	0.0
21	L-Aspartic_acid	-4.213438957486944	0.013548712318340525	0.31162038332183206	0.7092403207727375	-0.4956535381694801
22	L-Tyrosine				1.0	0.0
