	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	3.897783334334467	0.017574397946201765	0.19331837740821942	1.677357254407728	0.7461899961597891
1	Hexose	-0.790232688212436	0.47360306539744157	1.0	0.5797883971970678	-0.7864016326052382
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid	2.2157943680546195	0.0910371102451665	0.4500083386584655	1.5386073787481191	0.62162513225226
4	Fumaric_acid	-2.156198366142081	0.09730282391301265	0.4500083386584655	0.6812885708751479	-0.5536620902057302
5	L-Malic_acid	-1.873382427022524	0.13430470515966106	0.49245058558542393	0.7224174717058528	-0.4690953099886094
6	L-Glutamic_acid	-1.0902478352866773	0.3368807479070888	0.8234862726617725	0.8398384910962761	-0.25181618425531993
7	L-Glutamine	-2.111870006758417	0.10227462242237852	0.4500083386584655	0.7745926616433565	-0.36849026129916534
8	L-Methionine				1.0	0.0
9	L-Phenylalanine				1.0	0.0
10	L-Alanine	-12.062043563741938	0.0002709101621334417	0.005960023566935716	4.796666237181221e-07	-20.991464607143605
11	L-Histidine				1.0	0.0
12	L-Proline	-1.3004150576612623	0.2633226421050858	0.724137265788986	0.5873717891720802	-0.767654118633694
13	L-Serine				1.0	0.0
14	L-Tryptophan				1.0	0.0
15	L-Valine				1.0	0.0
16	L-Arginine				1.0	0.0
17	L-Threonine				1.0	0.0
18	L-Lysine				1.0	0.0
19	Ile_Leu				1.0	0.0
20	L-Aspartic_acid	-1.6561193160534768	0.17303909441905838	0.5438371538884692	0.7849410300149368	-0.3493438216482672
21	L-Tyrosine				1.0	0.0
