	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	-1.5289452810206636	0.20100874525499624	1.0	0.9598734122725938	-0.05908393856237835
1	Hexose				1.0	0.0
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid	3.705164762108998	0.020741506925993247	0.3940886315938717	1.5589366873602322	0.6405623374736754
4	L-Glutamine				1.0	0.0
5	L-Methionine				1.0	0.0
6	L-Phenylalanine				1.0	0.0
7	L-Alanine				1.0	0.0
8	L-Histidine				1.0	0.0
9	L-Proline				1.0	0.0
10	L-Serine				1.0	0.0
11	L-Tryptophan				1.0	0.0
12	L-Valine				1.0	0.0
13	L-Arginine				1.0	0.0
14	L-Asparagine				1.0	0.0
15	L-Threonine				1.0	0.0
16	L-Lysine				1.0	0.0
17	Ile_Leu				1.0	0.0
18	L-Tyrosine				1.0	0.0
