	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	-0.8747375020642421	0.4310957553874173	1.0	0.9729059974367887	-0.039627676914120856
1	Hexose				1.0	0.0
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid	2.2627457616189566	0.0864176623568892	0.8209677923904475	1.091236133439764	0.1259633213508974
4	L-Glutamine	-1.1626170322209812	0.3096200457153201	1.0	0.028646336894890424	-5.125505521349283
5	L-Methionine				1.0	0.0
6	L-Phenylalanine				1.0	0.0
7	L-Alanine	-4.607542366248517	0.009974080331883059	0.18950752630577813	4.0392012982258025e-05	-14.595570428243429
8	L-Histidine				1.0	0.0
9	L-Proline	1.0	0.373900966300059	1.0	43.46524915301494	5.441790509391063
10	L-Serine				1.0	0.0
11	L-Tryptophan				1.0	0.0
12	L-Valine				1.0	0.0
13	L-Arginine				1.0	0.0
14	L-Asparagine				1.0	0.0
15	L-Threonine				1.0	0.0
16	L-Lysine				1.0	0.0
17	Ile_Leu				1.0	0.0
18	L-Tyrosine				1.0	0.0
