	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	0.7002036125182611	0.5223857815625275	1.0	1.0354883037418798	0.050311257827969344
1	Hexose				1.0	0.0
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid	1.7985867783569243	0.14647907040299618	1.0	1.3285239542418288	0.4098242408915238
4	L-Glutamine	0.5414428659161972	0.6169497353785816	1.0	840.0634194422818	9.71435443607225
5	L-Methionine				1.0	0.0
6	L-Phenylalanine				1.0	0.0
7	Glycine				1.0	0.0
8	L-Alanine	-1.0	0.373900966300059	1.0	0.09434994905056392	-3.4058344510112044
9	L-Histidine				1.0	0.0
10	L-Proline	-0.014607428595603902	0.9890449155399039	1.0	0.3882348930156963	-1.3649983072879757
11	L-Serine				1.0	0.0
12	L-Tryptophan				1.0	0.0
13	L-Valine				1.0	0.0
14	L-Arginine				1.0	0.0
15	L-Asparagine	-1.0	0.373900966300059	1.0	0.052779285781965855	-4.24388436176662
16	L-Threonine				1.0	0.0
17	L-Lysine				1.0	0.0
18	Ile_Leu				1.0	0.0
19	L-Tyrosine				1.0	0.0
