	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	3.90129427862749	0.01752227603205513	0.201506174368634	1.6777534754389998	0.7465307456405642
1	Hexose	0.1778500871524561	0.8674841843224372	1.0	0.9705282913107479	-0.04315782616396941
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid	2.2157943680546195	0.0910371102451665	0.45511324340389636	1.5386073787481191	0.62162513225226
4	Fumaric_acid	-1.7320625013461344	0.1583002585752683	0.45511324340389636	0.6936980419637968	-0.52762028245918
5	L-Malic_acid	-1.9805019407192372	0.11873338541932019	0.45511324340389636	0.699137237619649	-0.516352416683605
6	L-Glutamic_acid	-1.096454471987184	0.3344596240786404	0.854730150423192	0.8373435130016313	-0.2561084973980248
7	L-Glutamine	-1.752206502413626	0.15461725424367637	0.45511324340389636	0.7974230679588331	-0.32658275447757296
8	L-Methionine				1.0	0.0
9	L-Phenylalanine				1.0	0.0
10	Glycine				1.0	0.0
11	L-Alanine	-11.886484822672717	0.0002868919414178107	0.006598514652609646	5.79727419069117e-07	-20.718121942581234
12	L-Histidine				1.0	0.0
13	L-Proline	-3.16924520579891	0.03388229871613379	0.25976429015702573	0.5668572840215937	-0.8189425370584724
14	L-Serine				1.0	0.0
15	L-Tryptophan				1.0	0.0
16	L-Valine				1.0	0.0
17	L-Arginine				1.0	0.0
18	L-Threonine				1.0	0.0
19	L-Lysine				1.0	0.0
20	Ile_Leu				1.0	0.0
21	L-Aspartic_acid	-2.014711187017025	0.11418390110937394	0.45511324340389636	0.7531822899820282	-0.40892901747304317
22	L-Tyrosine				1.0	0.0
