	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Lactic_acid	0.996169569495619	0.995975477500888	0.996062594534866	0.9961005583732	0.996138052910871	0.996208894354009	0.99592721423554	0.996105017845211	0.996060924814565	0.996071118912159	0.996184243394945	0.996014684155626	0.995978363651574	0.996070489125357	0.996046207300088	0.996035161056624	0.995999467912387	0.995989351600176	0.99599115961227	0.99599772879137	0.996055416309211	0.996114986279799	0.996186593512373	0.995994500438067	0.996132991391358	0.996246688151202	0.996051760608539	0.996077166645931	0.996100440914313	0.996067781083434	0.99601668895667	0.996178580583198	0.996061417717953	0.995969806137341	0.995935510945724	0.995903403267933
Hexose	0.0076274917459648	0.0016757713035725	0.0059371004225895	0.0052155542871257	0.0012153981997748	0.0036130400967672	0.0050933890144735	0.0025287521846131	0.0034326391851771	0.0043561557341573	0.0033650811691751	0.0033069168862361	0.002568431148755	0.0013632750749048	0.0027662832566627	0.0007623696310366	0.004516728748838	0.0029774731218041	0.0057568749428963	0.0052188231363874	0.0043297675688527	0.0044882450911382	0.0063126352881422	0.0062339915479162	0.0041732481389427	0.0046244191460601	0.0030964477683978	0.0090454190905873	0.0050619118250187	0.0049437001977371	0.0035118901454864	0.0013218918097527	0.0052609006382394	0.0028107389141849	0.0038265574097915	0.0017098457329177
Hexose-phosphate	-0.0011637298972968	-0.0012925747427151	-0.0015709742678903	-0.0012137512021364	-0.0013574942111252	-0.0013169577473773	-0.0016589224826238	-0.001125157167143	-0.0012335912245321	-0.0013723497310762	-0.001251443609519	-0.001236142428212	-0.0012245703447976	-0.0013294035688326	-0.0011225380230445	-0.0008672457007097	-0.0011348657639376	-0.0011219964268126	-0.0011811561750385	-0.0013790432315099	-0.0013895982803057	-0.0016681530902562	-0.001139206192064	-0.0014136209562953	-0.0014937674977065	-0.0013156001399478	-0.0012977451348752	-0.0013849192394648	-0.0013387420108737	-0.0014785503310918	-0.0011880323765283	-0.0011071259750535	-0.0010295897719833	-0.0011600085760661	-0.0010618077655638	-0.0011813407900388
Pyruvic_acid	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Fumaric_acid	-0.0012902377734476	-0.0016157579316077	-0.0024089501470344	-0.000725791866636	-0.0003362769369374	-0.0010304648327781	-0.0005405223078316	0.0018966435726328	-0.0005761513052586	0.0003321887295056	0.0042023874823712	0.0025762010859481	0.0133296109328377	0.0126395873256642	0.0087864817490186	0.0550273416300178	0.0354766394253276	0.0344506262042389	-0.0011394204226763	-0.0006636651619421	-0.0012546790852607	-0.0011413394453556	-0.0012028552362533	-0.0016090137773764	-0.0007718606927578	0.0005000413005317	0.0016523568757262	-0.0002195855330536	0.0008201984950621	0.0007085177895895	0.0077946221138123	0.0093033299434443	0.0091539862734814	0.0261539096177228	0.0312950739973113	0.0333727029176039
L-Malic_acid	3.53420625487163e-05	8.4896366324339e-05	-0.0001966417652047	0.0082006391795146	0.0069542359774942	0.006408515901903	0.0075333745296447	0.0113698929771914	0.0108969468278436	0.0153264186028787	0.016249280679648	0.0172038841483015	0.0328164803324074	0.033427268901157	0.0343523471564333	0.0926280551927517	0.0766628319131511	0.0690961289465136	-0.0005230066213544	-0.0002117140153192	-1.10558516623152e-05	0.0052067142140932	0.0056257012249537	0.005207843966982	0.0061450615379249	0.0084380432836862	0.0086616414932889	0.0104238940510081	0.0094818110272772	0.0121919967841092	0.025759290904856	0.0300708895546953	0.0296053186956199	0.0506266800459435	0.0657102876343217	0.0664064247296577
L-Glutamic_acid	0.0186189922849795	0.0189512529072842	0.0191058969527504	0.170636747347725	0.167455603871193	0.173135505020081	0.199700486213809	0.193976641844404	0.19637222808069	0.242520518607708	0.241252217019143	0.234808403364513	0.26035541664288	0.255122174546734	0.25646913367389	0.356825424143335	0.356150751765065	0.383650472697081	0.0186857662222136	0.0202828476474173	0.0197721051058676	0.180668665292664	0.177582486023426	0.175947872178065	0.20124661989943	0.203786827442622	0.200087081316336	0.257275569182196	0.253579610295249	0.263773710105154	0.272369965662477	0.271682172510886	0.278911661847445	0.386286991817904	0.390226465447828	0.391248733262899
L-Glutamine	0.001602000129099	-0.0004742233427196	0.0011160287023462	0.13462970437818	0.120984836986627	0.130238354327227	0.114887862236339	0.139366599094848	0.13995481823432	0.170864100040662	0.171988214295001	0.167608059199676	0.186121077245253	0.185315683221957	0.187056467833158	0.293841995752271	0.286681251039456	0.292431576799556	0.0022774158642472	0.0022177382266197	0.0001812815978859	0.113998862990335	0.120541790603762	0.115941858127793	0.125412764443405	0.150842877169667	0.124958574898151	0.169374077760196	0.153229868227148	0.18752022806001	0.177966418361184	0.196664894800018	0.196643640816287	0.270313931283401	0.297303598209788	0.298499420067042
L-Methionine	-0.0022058305876334	-0.0025982918480229	-0.0023795158998137	-0.0020871488774376	-0.0019498007067323	-0.0022811691468599	-0.0024279614717449	-0.0017457447753928	-0.002351333573036	-0.0022574364608221	-0.0016104362816971	-0.0021573704643936	-0.00181699033161	-0.0022387989508398	-0.0022117896732971	-0.0017916803685047	-0.0018343827359944	-0.0016622858033405	-0.0022218645919329	-0.0019103248233661	-0.0020100106150983	-0.0020327129380999	-0.0019220231701437	-0.0024134872798569	-0.0021222195370535	-0.0022774345071616	-0.0020451733178912	-0.0022652081572922	-0.0020258704500619	-0.0019569178677008	-0.0017372274981367	-0.0021575761768856	-0.0019561143649742	-0.0017869206907503	-0.0018607727407404	-0.0017702135354874
L-Phenylalanine	-0.0012047029154195	-0.0009401201616462	-0.0011108820451483	-0.0010841039353043	-0.0010959397869612	-0.0011423169231358	-0.0010674554612022	-0.0009708577103465	-0.0009564066484873	-0.0011021310652888	-0.0011312932279774	-0.0010085857248864	-0.0009658916165016	-0.0008314265165792	-0.0010247799818873	-0.00081782544787	-0.0008424315027186	-0.0007918087313946	-0.0009978983836335	-0.0008457566711025	-0.0009139590090483	-0.0011214503131944	-0.0012583687299776	-0.0010331234055461	-0.001228863453097	-0.0009818860789089	-0.0007748412933592	-0.000980596275809	-0.0010065730241141	-0.0009108884090839	-0.0008256945513224	-0.0009102376956793	-0.0007926910358708	-0.0008357215840484	-0.0008000537994113	-0.000769487176301
