	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Lactic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose	24097411.369517997	23018973.02562	23295355.9502	24745563.243912	60576306.20616	23753276.499933	24268243.38729	25997774.374250002	24375283.42432	24101125.733561996	25781147.668584	27733703.703978	28408892.016855	30522061.7	29231329.207947	36342373.3	27153961.129855003	26350370.650296003	24608747.29711	26363807.633253	25281043.64212	22443515.71116	23206043.755950004	24652788.971976995	21688027.312356	24851832.15887	28979205.025001	18951421.859304	20821045.76304	22954968.106092	29390878.836	29010322.56	30149341.204388	30860269.290702004	30510917.306639995	30469877.6
Hexose-phosphate	835354580.0	821578500.0	820840740.0	910665910.0	836310420.0	799307120.0	646275840.0	915532550.0	881691400.0	863953250.0	905857410.0	901848140.0	1058051710.0	1055215580.0	1049596750.0	1851546300.0	1284889520.0	1226159230.0	844039080.0	818427970.0	755811330.0	685026370.0	826682860.0	791863320.0	688233180.0	833340800.0	877333500.0	646478920.0	641116460.0	785699930.0	1004694570.0	1085547620.0	1009989310.0	1102176940.0	1311170460.0	1280204750.0
Pyruvic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fumaric_acid	61134862.58	63186272.76	60547037.79	61347921.67	59327224.21	60764312.91	60182899.63	61628667.114693	60911308.11	61190745.3	60239036.29184999	60759113.273696005	62992963.15304999	63380015.29444501	64540445.481936	61129645.4912	61817113.72316	60082454.280269995	61267922.23	63987348.25	59920900.0	62248912.09	60728782.06	61129206.82	59814549.66	62650524.37	63917274.522176	61807097.46	61248385.78	62814132.52	63902646.885221995	64275541.353048	65617631.74755201	60899087.195999995	60605089.10766001	61193644.02628
L-Malic_acid	945846676.8	988916076.5	949442181.95	987886203.1794	950595537.87	976023699.2459999	896080140.9408001	956454272.0645999	963193611.171	946964034.6483	935105616.7488	961394932.1664	1026367956.8736	1034222788.8408	1038032412.5531999	1023998457.54	949100296.2329999	917915839.5879998	1020108941.8	1030502399.46	992087763.4	971118459.83954	981181079.5408599	955557461.16285	924754356.8125	976320242.4144	1004696526.3060001	933381793.5668001	913612690.3245999	944812692.5594001	1013751766.6551	1047835169.4834	1062327525.8145001	937184237.592	938573185.284	957822084.864
L-Glutamic_acid	199291894.52209005	199114719.73182	191565519.47362	128141864.6874	114713530.9008	106100127.4216	79254923.79089999	122909622.2116	119201076.7704	94961312.4832	100379614.2785	105477759.1384	114670529.267	118326492.1068	126001624.045	139544380.24	96415410.42899999	75836189.76	196669189.44564	186092019.06732	167596675.4119	83816377.1382	102372583.626	99862878.32640001	80760972.5637	106285687.7304	109994144.801	65166291.7423	59496610.768	78906146.33	104735227.4864	117320564.27520001	112282256.6732	62998993.521	82674441.85	82220688.43
L-Glutamine	35321718.1	27138746.6	33067677.3	23473172.72121	18675055.292717997	20254273.382480003	15675648.8084	17740964.22225	18199684.70112	17465956.14862	18906265.1283	16788211.3395	17850218.29976	16751615.191979997	17394542.107249998	20940798.3235	19851001.08	16741950.409599997	29078468.401100002	26186426.1061	23446972.9	15708563.776560001	18382003.031082	17539497.251351997	14088879.232835	14099263.78809	14920612.088460002	13173672.521100003	12536449.968	14542749.75832	15613757.08134	15119218.89302	14614153.58297	15381014.088999998	17162099.7352	15829844.430400003
L-Methionine	76466574.0	98210930.0	75813075.0	74772465.0	85273155.0	74132463.6	84180900.0	90471641.74	89056520.0	92155250.0	86292088.0	99725242.0	108042609.85	113548362.0	110489453.13	192678201.58	120518830.0	128462760.63	96687794.0	103614842.0	111899581.0	76941840.0	78034873.0	92459911.0	76139981.0	89509708.07	129726210.0	72380379.0	82555630.2	96197924.48	128915035.19	121992240.0	139464579.0	173683044.36	157822002.0	164348248.0
L-Phenylalanine	376890068.6	595385373.0	375123497.9	356630305.0	437818838.0	354116245.1	428736221.3	450994124.0	445517014.0	437586518.0	400583806.0	486046638.0	492913164.0	531597894.0	505961041.0	863444918.0	514006660.0	535546973.0	480363010.0	531846338.0	573217457.0	384687172.6	371433338.5	468856667.0	354136588.5	423904456.0	632539545.0	332301733.9	401455410.0	420748310.0	595588966.0	554510333.0	630615214.0	856774400.0	742646944.0	751068404.0
