	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Lactic_acid	1610784590.0	3445542590.0	1472119940.0	1341217620.0	2094453560.0	1902435270.0	2920277810.0	1984006200.0	1967889770.0	2238635720.0	2002923560.0	2110664910.0	2418584560.0	2258295940.0	2050267630.0	2409597490.0	1721520530.0	2571653590.0	2200054670.0	2543139470.0	2775789810.0	2080387140.0	1757745860.0	2869804530.0	1843457270.0	1902763090.0	2708211420.0	1642349750.0	2282908190.0	2314215010.0	2907631510.0	2054647080.0	3029094150.0	4193348410.0	3709364160.0	3238867620.0
Hexose	577390.3604820035	66949.17438000068	297267.0498000011	219694.26608800143	145732.89384000003	97789.37006700039	372068.7127100006	170091.1257499978	117565.67568000033	236070.80643800274	173898.81141600013	161793.8860220015	36979.63314499706	0.0	49777.88205299899	0.0	260436.78014499694	89896.90970399603	382364.002890002	377046.0367470011	234745.25787999853	192405.3288399987	485680.3440499976	327238.35802300274	199173.52764400095	276410.6711299978	95948.00499900058	450115.6706960015	269964.93696000054	257660.17390800267	296877.5639999993	0.0	353836.8656120002	58746.1292979978	364327.8933600038	0.0
Hexose-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid	1139503.0	3131955.0	1752540.0	1734234.0	2661289.0	2356224.0	3839994.0	5538026.0	3605593.0	5238590.0	4296378.0	5177996.0	5454988.0	5286947.0	4976976.0	13595670.0	6899467.0	9146315.0	2070508.0	2434834.0	2323098.0	2528200.0	1893712.0	2882174.0	3077114.0	4219301.0	7691774.0	4104810.0	5907366.0	4754516.0	6839826.0	5977178.0	7805231.0	16448200.0	13543290.0	14028240.0
Fumaric_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129692.55530700088	0.0	0.0	333147.00815000385	146172.68630399555	1436783.3469500095	1392611.4755549952	1009468.6780639961	5664110.5088	3653246.0768399984	3235550.0197300017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89609.63782399893	0.0	0.0	0.0	769599.7347780019	992067.6569520012	877738.8924479932	2431910.304000005	2902287.0923399925	3166520.0737200007
L-Malic_acid	0.0	0.0	0.0	12302318.820600033	9601975.129999995	9062795.754000068	10149775.05919993	17333420.93540013	16557798.828999996	23982376.35169995	24567635.25119996	27084331.833600044	59046549.126399994	61120135.15919995	64029815.44680011	178442192.46000004	133976613.76700008	111022440.41200018	0.0	0.0	0.0	6747273.560459971	7713376.759140015	6251759.9371500015	6988068.1875	12458613.585600019	12614658.693999887	14791503.433199883	12690351.675400138	17906578.44059992	44554702.34490001	54337092.51660001	54149117.18549991	79064122.40799999	105678244.71599996	108557435.13600004
L-Glutamic_acid	10687975.377909958	10789053.96818	10209832.826380014	80490282.3126	70637141.0992	69098233.5784	62855393.20910001	92192971.7884	91699625.2296	101972143.5168	105865740.7215	106665762.8616	137574365.73299998	136358165.89319998	145436600.95499998	302051759.76	210542279.571	199731360.24	10176823.854360014	10664186.332680017	9548103.588099986	58221204.8618	67822900.374	65254314.67359999	64049808.436299995	85013246.2696	84858193.199	75916825.2577	70069179.232	96753128.67	131740788.5136	146558347.7248	146611579.3268	162077796.479	214395058.15	214604901.57
L-Glutamine	0.0	0.0	0.0	10170474.578789998	7284154.177282002	8288952.917519998	5272699.1916000005	7585180.27775	8085244.09888	9684605.25138	11089395.8717	9587611.660500001	11393258.60024	10522261.708020002	11591530.392750002	27254364.6765	23921878.92	20897326.590400003	87497.89889999852	36712.39389999956	0.0	5399423.02344	7000492.178918	6041434.788648002	5607582.717164999	7029559.511910001	5501797.011539999	7062383.578899998	6118981.532	9100153.44168	9221231.11866	10240088.206980001	9935071.317029998	15295120.911000002	21631073.2648	20881297.569599997
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
