compartment,metabolite
cell,Phosphoenolpyruvic_acid
cell,3-Phosphoglyceric_acid
cell,D-Glyceraldehyde_3-phosphate
cell,"""Fructose_1,6-bisphosphate"""
cell,Dihydroxyacetone_phosphate
cell,Citric_acid
cell,Oxoglutaric_acid
cell,Succinic_acid
cell,cis-Aconitic_acid
cell,L-Asparagine
cell,13C5-D5-15N_Glutamic_acid
cell,Myristic_acid_d27
med,Phosphoenolpyruvic_acid
med,3-Phosphoglyceric_acid
med,D-Glyceraldehyde_3-phosphate
med,Dihydroxyacetone_phosphate
med,"""Fructose_1,6-bisphosphate"""
med,Fumaric_acid
med,Citric_acid
med,L-Malic_acid
med,Oxoglutaric_acid
med,Succinic_acid
med,cis-Aconitic_acid
med,L-Glutamic_acid
med,L-Aspartic_acid
med,13C5-D5-15N_Glutamic_acid
med,Myristic_acid_d27
