	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	1.2982605669390352	0.2639926868001451	0.46706398433871826	1.173488658096888	0.2308038981146423
1	Hexose	0.42797659536614724	0.6907046070231171	0.7221002709787133	1.0110007400533374	0.015784053295219484
2	Hexose-phosphate	-0.7959024447830931	0.4706513943619919	0.6194702138422216	0.9795870805438157	-0.029754348096821082
3	Pyruvic_acid	2.9921796061842625	0.04025138427222248	0.09257818382611172	1.305131385659013	0.38419504809596444
4	Fumaric_acid	0.8893270323760292	0.4240789070817742	0.6096134289300504	1.008600086092348	0.012354253553817397
5	L-Malic_acid	-0.10766534352247473	0.9194454067498035	0.9194454067498035	0.9979747990446064	-0.002924709938470879
6	L-Glutamic_acid	-0.6149299091332594	0.5718605028085078	0.6576395782297839	0.9748529410411595	-0.0367434936993233
7	L-Glutamine	-5.41732638988355	0.005626994945524153	0.09257818382611172	0.8744962595557023	-0.19347588150313277
8	L-Methionine	3.6497860424069595	0.021775580805905113	0.09257818382611172	1.1739987769811535	0.23143090551428216
9	L-Phenylalanine	3.3696381476814428	0.028053124064437034	0.09257818382611172	1.162474214393005	0.21719871520568199
10	Glycine	0.768964807494423	0.48480277605043426	0.6194702138422216	1.0247700523742933	0.035300220446375895
11	L-Alanine	-0.45110498917969327	0.6752881008708338	0.7221002709787133	0.9835905621335349	-0.023870203007932224
12	L-Histidine	3.291455597240378	0.030174252345888844	0.09257818382611172	1.1025279076162617	0.14081517430435012
13	L-Proline	0.6177180852836976	0.5701937085820378	0.6576395782297839	1.0627360412442968	0.08778330968526495
14	L-Serine	2.636509363673977	0.05779101954182509	0.120835768132907	1.0682069030699533	0.0951911124962232
15	L-Tryptophan	0.8940395021092217	0.4218326165495938	0.6096134289300504	1.0922258436088825	0.12727119853465568
16	L-Valine	3.142513189765058	0.03476351208899446	0.09257818382611172	1.1763332407059341	0.23429681579509692
17	L-Arginine	1.1302675619512867	0.3215453688679433	0.5282531059973354	1.0813063930410762	0.11277537514394823
18	L-Threonine	3.4871385609192016	0.025188161812435626	0.09257818382611172	1.0860947318345193	0.11914994401464434
19	L-Lysine	1.5841057816466224	0.1883437938484932	0.36099227154294533	1.103324993445555	0.14185781121144567
20	Ile_Leu	3.3983267436096516	0.027319412198273985	0.09257818382611172	1.1908099426763208	0.2519431725316647
21	L-Aspartic_acid	-4.761041830086252	0.008898385632763363	0.09257818382611172	0.8779673206286461	-0.18776085358278002
22	L-Tyrosine	3.08787272199728	0.03664998870507685	0.09257818382611172	1.1600347019777766	0.21416796364803015
