	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	-0.9182231802567987	0.41045958591235365	0.4990256664178379	0.9733074473439373	-0.039032500881424216
1	Hexose	3.2653897755676233	0.030923219656421898	0.12369287862568759	1.0728719450400555	0.10147789037168514
2	Hexose-phosphate	-1.1368356677974742	0.3190903665782517	0.4254538221043356	0.920452851243287	-0.11958427121506586
3	Pyruvic_acid	6.356908348013804	0.00313843506057362	0.031384350605736196	1.0863444940713463	0.11948167319515468
4	L-Glutamine	1.5622674524527655	0.19325690339596205	0.32209483899327007	1.0408776597188103	0.057800510434567694
5	L-Methionine	-0.889132562452239	0.4241718164551622	0.4990256664178379	0.9819278744593705	-0.026311036723438305
6	L-Phenylalanine	-1.4557298107314733	0.21917316626767777	0.3339134623996646	0.9682770524162572	-0.04650819102561035
7	Glycine	2.126334940837553	0.10062194393550071	0.22360431985666823	1.0384760185092101	0.0544679004605408
8	L-Alanine	2.5186539564342385	0.06545057849113017	0.17352554264514683	1.1151766921938135	0.15727231351427653
9	L-Histidine	1.8672026419629593	0.13526814124928976	0.27053628249857953	1.019147353400891	0.02736265862012518
10	L-Proline	1.4013061397402644	0.2337394236797652	0.3339134623996646	1.164114049799109	0.2192324079191088
11	L-Serine	2.6631953245250672	0.05620287097232509	0.17352554264514683	1.0379911754535938	0.053794178586491784
12	L-Tryptophan	-3.561905078207835	0.02354580032802972	0.1177290016401486	0.9185129999129764	-0.1226279546315636
13	L-Valine	-0.3556035080667042	0.7400979445928499	0.7790504679924737	0.9939653026727984	-0.008732603799581377
14	L-Arginine	-5.041928568759999	0.007272202712271076	0.048481351415140504	0.9533375665303256	-0.06894094756495789
15	L-Asparagine	2.46376200155219	0.06941021705805873	0.17352554264514683	1.0695496124286341	0.09700340531237113
16	L-Threonine	0.21964918756244334	0.8368982105512066	0.8368982105512066	1.0035348672285183	0.005090743161708431
17	L-Lysine	-9.90332405411832	0.0005835368272067681	0.011670736544135361	0.9528503020401522	-0.06967851817956174
18	Ile_Leu	-1.691532779273639	0.1659942988759877	0.30180781613815943	0.9657773319640148	-0.050237492887345796
19	L-Tyrosine	-0.6853110028105941	0.5307998696614097	0.5897776329571218	0.9869228456608424	-0.018990790887859474
