	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid				1.0	0.0
1	Hexose				1.0	0.0
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid				1.0	0.0
4	Fumaric_acid	-2.763878607051809	0.050647738342905944	0.39855038707928764	0.13348810263945116	-2.9052169299628345
5	L-Malic_acid	-2.738516763854459	0.051984833097298386	0.39855038707928764	0.520788339204313	-0.9412309489192359
6	L-Glutamic_acid	-1.6552251143603416	0.17322097887618035	0.8994861189765908	0.760773490142911	-0.39446111985831506
7	L-Glutamine	-1.410959517386578	0.23108697986669394	0.8994861189765908	0.7685496303067244	-0.37978966765127326
8	L-Methionine				1.0	0.0
9	L-Phenylalanine				1.0	0.0
10	Glycine				1.0	0.0
11	L-Alanine				1.0	0.0
12	L-Histidine				1.0	0.0
13	L-Proline	-1.3980224771095888	0.23464855277650196	0.8994861189765908	0.0094566987886394	-6.724447639411414
14	L-Serine				1.0	0.0
15	L-Tryptophan				1.0	0.0
16	L-Valine	1.0	0.373900966300059	1.0	38.12025776335662	5.252485969451561
17	L-Arginine				1.0	0.0
18	L-Threonine				1.0	0.0
19	L-Lysine				1.0	0.0
20	Ile_Leu				1.0	0.0
21	L-Aspartic_acid	-3.115981916364313	0.03566488514183053	0.39855038707928764	0.6747629249886391	-0.5675473883105767
22	L-Tyrosine				1.0	0.0
