	mets	stat	pval	padj	FC_geommu	log2FC
0	L-Lactic_acid	-1.260862967549127	0.2758887828343785	1.0	0.9633300286309431	-0.05389795715014439
1	Hexose				1.0	0.0
2	Hexose-phosphate				1.0	0.0
3	Pyruvic_acid				1.0	0.0
4	L-Glutamine	1.0	0.373900966300059	1.0	22.35567141430622	4.482568970293482
5	L-Methionine				1.0	0.0
6	L-Phenylalanine				1.0	0.0
7	Glycine				1.0	0.0
8	L-Alanine	0.2925956230756401	0.7843813181514476	1.0	1.0867237455054966	0.11998524152208422
9	L-Histidine				1.0	0.0
10	L-Proline				1.0	0.0
11	L-Serine				1.0	0.0
12	L-Tryptophan				1.0	0.0
13	L-Valine				1.0	0.0
14	L-Arginine				1.0	0.0
15	L-Asparagine	1.0000000000000002	0.3739009663000589	1.0	34.01426847490735	5.088068157127536
16	L-Threonine				1.0	0.0
17	L-Lysine				1.0	0.0
18	Ile_Leu				1.0	0.0
19	L-Tyrosine	0.03770316447297133	0.971730997916394	1.0	0.9265535908685827	-0.11005367228362699
