	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Lactic_acid_m+0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lactic_acid_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lactic_acid_m+2	0.0115	0.0121	0.0118	0.0117	0.0116	0.0114	0.0122	0.0117	0.0118	0.0118	0.0114	0.012	0.0121	0.0118	0.0119	0.0119	0.012	0.012	0.012	0.012	0.0118	0.0117	0.0114	0.012	0.0116	0.0113	0.0118	0.0118	0.0117	0.0118	0.0119	0.0115	0.0118	0.0121	0.0122	0.0123
L-Lactic_acid_m+3	0.9885	0.9879	0.9882	0.9883	0.9884	0.9886	0.9878	0.9883	0.9882	0.9882	0.9886	0.988	0.9879	0.9882	0.9881	0.9881	0.988	0.988	0.988	0.988	0.9882	0.9883	0.9886	0.988	0.9884	0.9887	0.9882	0.9882	0.9883	0.9882	0.9881	0.9885	0.9882	0.9879	0.9878	0.9877
Hexose_m+0	0.9766	0.9971	0.9874	0.9912	0.9976	0.9959	0.9849	0.9935	0.9952	0.9903	0.9933	0.9942	0.9987	1.0026	0.9983	1.0016	0.9905	0.9966	0.9847	0.9859	0.9908	0.9915	0.9795	0.9869	0.9909	0.989	0.9967	0.9768	0.9872	0.9889	0.99	1.0032	0.9884	0.9981	0.9882	1.0019
Hexose_m+1	0.0017	-0.0046	-0.0116	-0.011	-0.0028	-0.0109	-0.0011	-0.0027	-0.0117	-0.0066	-0.005	-0.0077	-0.0122	-0.014	-0.0122	-0.0081	-0.0083	-0.0091	-0.0049	-0.0021	-0.0084	-0.0097	0.0024	-0.0093	-0.0071	-0.0045	-0.0109	-0.0033	-0.0056	-0.0066	-0.0016	-0.0126	-0.0086	-0.0112	0.0	-0.0117
Hexose_m+2	0.0221	0.0079	0.0253	0.0188	0.0054	0.0145	0.017	0.0096	0.0173	0.0163	0.0115	0.013	0.0138	0.0119	0.0128	0.0068	0.018	0.0115	0.0211	0.0161	0.0184	0.0181	0.019	0.0224	0.0165	0.0155	0.013	0.0257	0.0192	0.0166	0.0122	0.0092	0.0205	0.0122	0.0123	0.0093
Hexose_m+3	-0.001	-0.0004	-0.0011	-0.0002	-0.0003	-0.0007	-0.0008	-0.0004	-0.0008	0.0001	-0.0005	0.0006	-0.0006	-0.0005	0.0011	-0.0003	-0.0002	0.0006	-0.001	-0.0007	-0.0008	0.0002	-0.0009	-0.001	-0.0002	-0.0007	0.0012	-0.0012	-0.0009	0.0011	-0.0006	-0.0004	-0.0002	0.0001	-0.0006	-0.0004
Hexose_m+4	0.0	0.0	0.0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	-0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0009	0.0	0.0
Hexose_m+5	0.0006	0.0	0.0	0.0006	0.0	0.0011	0.0	0.0	0.0	0.0	0.0008	0.0	0.0004	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0007	0.0	0.0019	0.0	0.0	0.0	0.0007	0.0	0.0	0.0	0.0009
