	Control_med_T0-1	Control_med_T0-2	Control_med_T0-3	Control_med_T1h-1	Control_med_T1h-2	Control_med_T1h-3	Control_med_T2h-1	Control_med_T2h-2	Control_med_T2h-3	Control_med_T4h-1	Control_med_T4h-2	Control_med_T4h-3	Control_med_T6h-1	Control_med_T6h-2	Control_med_T6h-3	Control_med_T24h-1	Control_med_T24h-2	Control_med_T24h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
L-Lactic_acid_m+0	0.0155	0.0168	0.0228	0.0146	0.0163	0.0127	0.0173	0.0191	0.0157	0.0176	0.0173	0.0193	0.0191	0.0154	0.0142	0.0198	0.0222	0.0158	0.0147	0.0135	0.0129	0.0118	0.0207	0.0147	0.0229	0.0165	0.0224	0.0153	0.0177	0.0147	0.0147	0.0202	0.0148	0.0174	0.0173	0.0181
L-Lactic_acid_m+1	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0001	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0002	0.0003	0.0002
L-Lactic_acid_m+2	0.0121	0.012	0.0119	0.0119	0.012	0.0119	0.0121	0.012	0.0121	0.0121	0.012	0.012	0.0123	0.0121	0.012	0.0121	0.0121	0.0123	0.012	0.0121	0.0122	0.0122	0.0118	0.0122	0.0118	0.0119	0.0118	0.0121	0.0119	0.0122	0.0123	0.0121	0.0122	0.0121	0.0121	0.0121
L-Lactic_acid_m+3	0.9723	0.9709	0.9651	0.9733	0.9716	0.9752	0.9704	0.9687	0.972	0.9701	0.9705	0.9685	0.9684	0.9723	0.9737	0.968	0.9655	0.9717	0.9731	0.9742	0.9747	0.9757	0.9672	0.9729	0.9651	0.9713	0.9657	0.9724	0.9702	0.9729	0.9728	0.9675	0.9729	0.9702	0.9703	0.9696
Hexose_m+0	1.0175	1.0124	1.014	1.0166	1.0154	1.0134	1.0191	1.0188	1.0167	1.0195	1.0173	1.015	1.0145	1.0162	1.0112	1.012	1.0227	1.0178	1.0165	1.0177	1.0152	1.0217	1.0168	1.0128	1.0183	1.0135	1.0159	1.0153	1.0148	1.0124	1.0144	1.0173	1.0156	1.0158	1.0184	1.0171
Hexose_m+1	-0.0166	-0.0112	-0.0129	-0.0157	-0.0144	-0.0122	-0.0183	-0.0179	-0.0157	-0.0187	-0.0163	-0.0139	-0.0134	-0.0152	-0.0099	-0.0108	-0.022	-0.0169	-0.0155	-0.0168	-0.0142	-0.021	-0.0158	-0.0116	-0.0174	-0.0123	-0.0149	-0.0142	-0.0137	-0.0111	-0.0133	-0.0163	-0.0146	-0.0148	-0.0176	-0.0161
Hexose_m+2	-0.001	-0.0012	-0.0012	-0.001	-0.0011	-0.0012	-0.0009	-0.0009	-0.001	-0.0008	-0.001	-0.0011	-0.0011	-0.001	-0.0013	-0.0013	-0.0007	-0.0009	-0.001	-0.0009	-0.0011	-0.0007	-0.001	-0.0012	-0.0009	-0.0012	-0.0011	-0.0011	-0.0011	-0.0013	-0.0011	-0.001	-0.0011	-0.0011	-0.0009	-0.001
Hexose_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate_m+0	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755	1.0755
Hexose-phosphate_m+1	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755	-0.0755
Hexose-phosphate_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid_m+0	1.0005	1.0005	1.0006	0.9986	0.9983	0.9978	0.9974	0.9982	0.9969	0.996	0.9957	0.9964	0.9949	0.9942	0.9942	0.9922	0.9923	0.9909	1.0003	1.0006	1.0007	0.9976	0.9982	0.9978	0.997	0.9964	0.9971	0.9954	0.9964	0.9953	0.9948	0.9945	0.9935	0.9919	0.9935	0.9919
Pyruvic_acid_m+1	-0.0008	-0.0005	-0.0007	-0.0009	-0.0007	-0.0006	-0.0003	-0.0014	-0.0009	-0.0004	-0.0005	-0.0007	-0.0011	-0.0002	-0.0003	-0.0004	-0.0006	-0.0002	-0.0005	-0.0008	-0.0012	-0.0003	-0.0009	-0.0007	-0.0008	-0.0001	-0.0008	-0.0003	-0.0011	-0.0007	-0.0011	-0.0003	0.0001	-0.0007	-0.0014	-0.0003
Pyruvic_acid_m+2	-0.0002	-0.0003	-0.0003	-0.0002	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002	-0.0002	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001
Pyruvic_acid_m+3	0.0004	0.0003	0.0004	0.0025	0.0028	0.003	0.0031	0.0033	0.0042	0.0045	0.005	0.0045	0.0063	0.0063	0.0063	0.0084	0.0085	0.0095	0.0005	0.0005	0.0006	0.0029	0.0028	0.003	0.004	0.0039	0.0038	0.0051	0.0048	0.0056	0.0064	0.006	0.0066	0.0089	0.008	0.0086
L-Glutamine_m+0	1.0087	0.9992	1.0098	0.9885	1.0084	1.0057	1.0017	0.9982	1.0093	0.9933	0.9966	0.9854	0.9799	0.972	0.9806	0.7531	0.7163	0.7198	1.0007	0.9991	1.017	0.9955	0.9971	0.9912	0.9971	0.9969	0.9941	0.9941	0.9912	1.002	0.9654	0.9873	0.9724	0.7453	0.7331	0.7547
L-Glutamine_m+1	-0.0078	0.0021	-0.009	0.0133	-0.0075	-0.0047	-0.0061	0.0031	-0.0084	-0.0014	0.0	0.0012	0.0014	-0.0007	-0.0015	0.0324	0.0423	0.0356	0.0006	0.0022	-0.0186	0.006	0.0015	0.0104	0.0043	-0.0014	0.0074	-0.0003	-0.0019	-0.0069	0.0095	0.001	0.0061	0.0427	0.0363	0.0354
L-Glutamine_m+2	-0.0009	-0.0013	-0.0008	-0.0018	-0.0009	-0.001	0.0046	-0.0014	-0.0009	0.0062	0.0035	0.0118	0.0176	0.0221	0.0187	0.1073	0.1289	0.1136	-0.0013	-0.0013	0.0017	-0.0015	0.0014	-0.0017	-0.0014	0.0047	-0.0016	0.0065	0.0111	0.0052	0.0215	0.0121	0.0185	0.1015	0.1025	0.099
L-Glutamine_m+3	0.0	0.0	0.0	0.0	0.0	0.0	-0.0002	0.0	0.0	-0.0002	-0.0001	-0.0004	0.0012	0.0045	-0.0006	0.0539	0.0524	0.0625	0.0	0.0	-0.0001	0.0	-0.0001	0.0	0.0	-0.0002	0.0	-0.0002	-0.0004	-0.0002	0.0008	-0.0004	-0.0006	0.0544	0.066	0.0513
L-Glutamine_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022	0.0	0.0	0.0	0.0022	0.0029	0.0367	0.042	0.0468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028	0.0	0.0038	0.0398	0.0432	0.0352
L-Glutamine_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0166	0.0182	0.0217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0163	0.0189	0.0244
L-Methionine_m+0	1.0104	1.0075	1.0103	1.0098	1.0099	1.0084	1.0096	1.0077	1.0081	1.0086	1.0081	1.0086	1.0081	1.0082	1.0074	1.0095	1.0068	1.0093	1.008	1.0086	1.0079	1.0082	1.0108	1.0088	1.009	1.0087	1.0085	1.0068	1.0091	1.0101	1.009	1.008	1.0082	1.0086	1.0086	1.0076
L-Methionine_m+1	-0.0096	-0.0065	-0.0096	-0.0089	-0.0093	-0.0075	-0.0088	-0.007	-0.0074	-0.0078	-0.0072	-0.0078	-0.0072	-0.0074	-0.0065	-0.0088	-0.006	-0.0084	-0.0072	-0.0079	-0.0071	-0.0073	-0.01	-0.0079	-0.0082	-0.0078	-0.0077	-0.0058	-0.0082	-0.0093	-0.0082	-0.007	-0.0073	-0.0078	-0.0078	-0.0067
L-Methionine_m+2	-0.0007	-0.001	-0.0007	-0.0008	-0.0005	-0.0009	-0.0009	-0.0007	-0.0006	-0.0008	-0.0009	-0.0008	-0.0009	-0.0008	-0.0009	-0.0008	-0.0008	-0.0009	-0.0008	-0.0007	-0.0008	-0.0009	-0.0008	-0.0009	-0.0009	-0.0009	-0.0008	-0.001	-0.0009	-0.0008	-0.0008	-0.0009	-0.0009	-0.0008	-0.0008	-0.0008
L-Methionine_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Methionine_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Methionine_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+0	1.0087	1.0064	1.0065	1.0073	1.0071	1.0074	1.0074	1.0082	1.0056	1.007	1.0063	1.0059	1.0067	1.0063	1.0057	1.0075	1.006	1.0061	1.0072	1.0073	1.0077	1.0074	1.0064	1.0061	1.0069	1.0068	1.0065	1.0079	1.0066	1.0068	1.0064	1.0063	1.0067	1.0056	1.0057	1.0074
L-Phenylalanine_m+1	-0.008	-0.0053	-0.0056	-0.0064	-0.0066	-0.0068	-0.0069	-0.0075	-0.0051	-0.0063	-0.0054	-0.0052	-0.0061	-0.0055	-0.0053	-0.0068	-0.0053	-0.0055	-0.0064	-0.0068	-0.007	-0.0068	-0.0055	-0.0057	-0.0061	-0.0061	-0.006	-0.0073	-0.0061	-0.0064	-0.0057	-0.0058	-0.006	-0.0051	-0.0051	-0.0071
L-Phenylalanine_m+2	-0.0007	-0.0011	-0.0009	-0.0008	-0.0005	-0.0006	-0.0005	-0.0008	-0.0005	-0.0007	-0.0009	-0.0007	-0.0006	-0.0008	-0.0003	-0.0007	-0.0007	-0.0007	-0.0008	-0.0005	-0.0006	-0.0006	-0.0009	-0.0005	-0.0009	-0.0008	-0.0005	-0.0006	-0.0005	-0.0004	-0.0007	-0.0005	-0.0007	-0.0005	-0.0006	-0.0003
L-Phenylalanine_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
