	Control_med_T0-1	Control_med_T0-2	Control_med_T0-3	Control_med_T1h-1	Control_med_T1h-2	Control_med_T1h-3	Control_med_T2h-1	Control_med_T2h-2	Control_med_T2h-3	Control_med_T4h-1	Control_med_T4h-2	Control_med_T4h-3	Control_med_T6h-1	Control_med_T6h-2	Control_med_T6h-3	Control_med_T24h-1	Control_med_T24h-2	Control_med_T24h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
L-Lactic_acid	0.980373866526704	0.979007295796873	0.97311720505768	0.981332969241575	0.979611600384656	0.983193128353858	0.978534478509106	0.976787596299441	0.980126819852647	0.978235044640746	0.978545878497649	0.976573671467527	0.976652222935875	0.980398856620329	0.981724587585954	0.976087107225594	0.9736494139723	0.979951926732129	0.981176728749348	0.982344821248399	0.982893975908719	0.983950155325975	0.975193385889834	0.981143490400924	0.973048888977137	0.979345434097336	0.973594010758196	0.980544075873575	0.978237037190108	0.98113431693267	0.98106519373445	0.975623343861642	0.981057297112723	0.978373403361441	0.978510234526732	0.977726812997291
Hexose	-0.0030724263080192	-0.0022689889369039	-0.0025128622484798	-0.0029293366877167	-0.0027332458244031	-0.002416471937601	-0.003319924060116	-0.0032636182389847	-0.0029361267030877	-0.0033799387125193	-0.0030314900839735	-0.0026636870224999	-0.0025982170258556	-0.0028581245195516	-0.00206456134272	-0.0022049513338362	-0.0038789244047005	-0.003114187097801	-0.0029064312413062	-0.0031043670064585	-0.0027072854808887	-0.0037279727404037	-0.002955270895093	-0.0023234520947369	-0.0031894739412289	-0.0024274493829395	-0.0028158160196804	-0.0027164494660692	-0.0026361431802039	-0.0022540252618082	-0.0025705639470886	-0.0030270916413359	-0.0027684646023204	-0.0027968075607724	-0.0032132081711265	-0.0029950602614348
Hexose-phosphate	-0.0125772924230004	-0.0125772986150586	-0.0125773002666798	-0.0125772952538842	-0.0125772979926584	-0.0125772903694426	-0.0125772979064864	-0.0125772939961998	-0.0125772968559176	-0.0125772952156803	-0.0125772981533441	-0.0125773024784612	-0.0125773073674748	-0.0125773040656696	-0.012577298321292	-0.0125772960128334	-0.0125772997668197	-0.012577293061719	-0.0125773009246501	-0.0125772962982787	-0.0125773066351361	-0.0125773042563814	-0.0125772972990613	-0.0125772975376407	-0.012577301792998	-0.0125772957767842	-0.0125772925493487	-0.0125772981148462	-0.012577304726437	-0.0125772933433604	-0.0125773022372231	-0.012577295762558	-0.0125773001653274	-0.0125773000944291	-0.0125773014428604	-0.0125772975865507
Pyruvic_acid	4.56717332815963e-05	-1.26071022920238e-05	-6.26150246377783e-06	0.0021015163913488	0.0023252425751706	0.0026668327123728	0.0028874557373802	0.0027190783007535	0.0037400590091023	0.0042752527230099	0.0046778745935166	0.004178275584128	0.0058646439482559	0.0060456742237175	0.0060693662646286	0.0081353129845802	0.0081656935430556	0.0093220380976337	0.000139075094375	5.51743930058195e-05	0.0001082430441832	0.0026506671181012	0.0024742401927132	0.0026622029351933	0.0035842403861946	0.0037691493657037	0.0034359904957269	0.0049145809132116	0.0043535166937337	0.0052363940213681	0.0059397458474132	0.0057874757829562	0.0064813096499476	0.0086269081967996	0.0074514762189764	0.0083900027691063
L-Glutamine	-0.0019060327595793	-9.74050621497216e-05	-0.0021276965990748	0.0019498435376299	-0.0018439044159233	-0.0013456698006311	0.0005281134921712	9.5770934100188e-05	-0.0020178094487993	0.0037919102210023	0.0013232067906261	0.0067318181680324	0.0080015085171845	0.0131114162819009	0.0091015785509327	0.127690876960359	0.143229560311254	0.149218728597164	-0.00037381736544	-6.82027466529392e-05	-0.0030985756480427	0.0006125578188594	0.0008264741576807	0.0014365319060968	0.000304533657755	0.0014807777445037	0.0008802369717146	0.0023774522705056	0.0038181624459009	0.0005667508097814	0.0131955858802685	0.0047984115419055	0.0111983281298796	0.129920014540754	0.141309164833775	0.130030692352799
L-Methionine	-0.0022161101288068	-0.0016862734922497	-0.0022156170330966	-0.0021201515229951	-0.0020734821449316	-0.0018654157254081	-0.0020953749482261	-0.0016869265512203	-0.0017463930274	-0.0018905876282242	-0.0018124294672316	-0.0018898281993728	-0.001812501701334	-0.0018120627481726	-0.0016542247292193	-0.0020619787287284	-0.0015264060987292	-0.0020272196552061	-0.0017697728683671	-0.0018760833387383	-0.0017518940216442	-0.0018293878699023	-0.002326503754592	-0.0019448063923173	-0.0019857204284578	-0.0019262155420945	-0.0018572655233765	-0.0015531993562334	-0.0019978238818892	-0.0021922350830461	-0.0019514985432961	-0.0017812049874245	-0.0018307475494718	-0.0018865202477069	-0.001891978954496	-0.0016785237517279
L-Phenylalanine	-0.001052379274112	-0.0008370209797474	-0.0008179299108706	-0.0009006397060801	-0.0008484709349506	-0.0008918499525493	-0.0008825500812568	-0.0010011181204408	-0.0006728590258262	-0.0008588085944973	-0.0008014209646166	-0.0007244490314765	-0.0008146111724258	-0.0007840659052043	-0.0006665000177817	-0.0009156064799286	-0.0007463559071793	-0.0007528375521011	-0.0008947954933485	-0.0008628111374394	-0.0009226931607127	-0.0008910542511657	-0.000804639349134	-0.0007287684518502	-0.0008687505543838	-0.0008468926264756	-0.0007772181602846	-0.0009386634356137	-0.0007878040871979	-0.0008025057459963	-0.000783555705786	-0.0007582176612109	-0.0008218461310778	-0.000670406689805	-0.0006997076715411	-0.0008586679386461
Glycine	-0.006093579800547	-0.0050681315647852	-0.0049847702274416	-0.0058204397091873	-0.0045417666874159	-0.0051485455910494	-0.0040542822293777	-0.0027663210166033	-0.0061592553674848	-0.0045319557550421	-0.0040439124499962	-0.0052636998038901	-0.0060599344218058	-0.0036276168925102	-0.0058630857864939	-0.0039676672368872	-0.0043472067387451	-0.0046623628236505	-0.0040121523965282	-0.0058377205407379	-0.0034460465936428	-0.0039979035100832	-0.0034000423953104	-0.0032249311179761	-0.0045226327491069	-0.0036674665300607	-0.003521162037016	-0.0035983309162574	-0.0050635888640948	-0.0051565933272549	-0.0049204184972117	-0.0026338227435189	-0.0033352274896557	-0.0033366861856159	-0.0043108222670481	-0.0037778533779759
L-Alanine	-0.0041931936623994	-0.0080815908984811	-0.0073517548926241	-0.0065115407688969	-0.0005490626165291	0.0028252626421697	-0.0038467237429018	-0.004397933674897	-0.0093937802113885	-0.0075291426768234	-0.0042166260045259	0.0005659910437408	0.0045576220397953	0.0055342384377576	0.0014559485941641	0.151395362703002	0.116724115097304	0.135706271255334	-0.0102054044231912	-0.0028096365760309	-0.00660290655763	-0.0097827516966692	-0.0096910175883517	-0.0082029070366238	-0.0055701431470686	-0.0067733385498287	-0.0043791798278714	-0.0069119024642152	-0.0027742958265193	-0.0063671312023973	-0.0092346751437012	-0.0060316815845944	-0.0034867549003183	-0.004449980777688	-0.008417277412898	-0.0068730989860273
L-Histidine	-0.0014588614869363	-0.0015402158661996	-0.0008970033220085	-0.001431404525795	-0.0016884527723055	-0.0008859916418913	-0.0023281560289921	-0.0013872940887773	-0.0011352133400131	-0.0018714774041081	-0.001735504447146	-0.0014036945032252	-0.0012817438587832	-0.0017844874282941	-0.0022432578227011	-0.0013231628001516	-0.0015365361354436	-0.0018296240454002	-0.0016473004771883	-0.0022718477910351	-0.0015890198962874	-0.0016542501313282	-0.0011550783315336	-0.0010256633337012	-0.0018925354894749	-0.001756738924564	-0.0010592331110807	-0.0011199065781864	-0.0014758323746505	-0.0011081011867597	-0.0018193736232143	-0.0015828012665875	-0.0007119339695136	-0.0015392565849334	-0.0014205777759537	-0.0020850458712308
