	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Lactic_acid	1610784590.0	3445542590.0000005	1472119940.0	1341217620.0	2094453559.9999995	1902435270.0	2920277810.0	1984006200.0	1967889770.0	2238635720.0	2002923560.0	2110664910.0	2418584560.0000005	2258295940.0	2050267630.0	2409597490.0	1721520530.0	2571653590.0	2200054670.0	2543139470.0	2775789810.0	2080387140.0	1757745860.0	2869804530.0	1843457270.0	1902763090.0	2708211420.0	1642349750.0	2282908190.0	2314215010.0	2907631510.0	2054647080.0000005	3029094150.0	4193348410.0	3709364160.0	3238867620.0
Hexose	602065.1622119999	182378.78538	596893.3619	499305.1502000001	327899.01114	372076.6275720001	418885.3057000001	251211.5088	423726.28943000006	399130.023256	319247.071704	379378.76722399995	403931.37743	363212.5342300001	407007.388551	247128.13844	493459.16238	333147.3712559999	527312.44843	454594.51239000005	469490.5157599999	414237.355032	507002.89574	584532.6395219999	361138.81386	407077.533846	412867.17302600003	535482.4358280001	404947.40544	410863.520556	362190.62808	287202.193344	625315.1504350001	408131.00354400004	379765.51596	310792.75152
Hexose-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid	1139503.0	3131955.0	1752540.0	1734234.0	2661289.0	2356224.0	3839994.0	5538026.0	3605593.0	5238590.0	4296378.0	5177996.0	5454988.0	5286947.0	4976976.0	13595670.0	6899467.0	9146315.0	2070508.0	2434834.0	2323098.0	2528200.0	1893712.0	2882174.0	3077114.0	4219301.0	7691774.0	4104810.0	5907366.0	4754516.0	6839826.0	5977178.0	7805231.0	16448200.0	13543290.0	14028240.0
Fumaric_acid	42794.403806	18955.881828	18164.111337	73617.506004	65259.946631	54687.88161899999	60182.89963	290264.290449	158369.40108599997	250882.05573	539092.43137	365431.71575999993	1559199.8653	1418520.5262630002	1088128.575056	5670789.884400001	3659793.1128199995	3235550.0197300003	18380.376669	31993.674125	0.0	43574.238463	42510.147442	30564.60341	5981.454965999999	156626.310925	204822.02931199997	142156.324158	214369.35023000004	226130.87707200003	1041223.1705819999	1213977.527586	1243463.430968	2431910.3039999995	2908637.8299600007	3160084.0573099996
L-Malic_acid	1513354.68288	1780048.9377	1519107.49112	14102658.1602	11618389.9073	11722529.2905	11962234.891199999	18599344.9363	18321351.367	24273660.275	25527308.5032	27875115.2448	59046549.1264	61229669.4516	63919609.22399999	178442192.46	134084921.458	111022440.412	1326141.62434	1339653.1192980001	1587340.4214400002	9485297.61398	10086723.45426	9521911.288889999	10435515.159999998	14633927.0688	15870054.486	16498215.367800001	14542957.759399999	19350657.3471	44554702.3449	54337092.5166	54037469.521199994	79064122.408	105678244.716	108557435.136
L-Glutamic_acid	10708973.364899999	10789053.968179999	10209832.826380001	80490282.3126	70637141.09920001	69098233.5784	62841182.1774	92171461.52899998	91699625.2296	101972143.5168	105886365.257	106708191.56600001	137549141.24350002	136358165.8932	145409457.1325	302051759.76	210542279.571	199758916.995	10176823.85436	10664186.33268	9565818.066	58221204.86179999	67805880.8256	65287338.11220001	64049808.4363	85013246.26959999	84838707.9652	75930933.5694	70082135.811	96735562.74249999	131717140.912	146531959.83359998	146637468.7104	162055288.8	214395058.15	214604901.57000002
L-Glutamine	353217.18100000004	282242.96464	327370.00527	10173838.94352	7284154.177282001	8286098.594889999	5270604.356800001	7587712.8922	8082615.606000001	9684605.25138	11089395.8717	9587611.660500001	11396182.947929999	10522261.70802	11591530.39275	27249545.160200004	23921878.919999998	20897326.5904	262493.6967	272720.6404	178196.99404	5401533.822120001	7003030.428439	6043792.881852	5605613.07097	7029559.511909999	5503839.2524500005	7062383.578900002	6118981.532	9100153.441680001	9221231.118660001	10240088.20698	9935071.31703	15292053.2975	21627193.9475	20884968.683800004
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
