	Control_med_T0-1	Control_med_T0-2	Control_med_T0-3	Control_med_T1h-1	Control_med_T1h-2	Control_med_T1h-3	Control_med_T2h-1	Control_med_T2h-2	Control_med_T2h-3	Control_med_T4h-1	Control_med_T4h-2	Control_med_T4h-3	Control_med_T6h-1	Control_med_T6h-2	Control_med_T6h-3	Control_med_T24h-1	Control_med_T24h-2	Control_med_T24h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	L-Cycloserine_med_T2h-1	L-Cycloserine_med_T2h-2	L-Cycloserine_med_T2h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3
L-Lactic_acid	9179535922.587	9145849876.748999	9452917763.808401	8516329545.167602	8706115917.2776	9654351995.0358	9037354617.6193	8553217231.504201	9651563340.4335	9002981292.211199	9489108454.8624	9194684232.417599	9514447724.4452	9403553269.5228	9813641911.654402	8578809285.7255	8045613461.006799	10097241030.436	8770718338.846699	8587764494.971001	9319520052.429	9761659827.3456	8819266450.751999	9228838494.4349	9184871021.595001	9700101050.5872	9027975129.996899	9856486517.085201	9190206221.0673	10090973676.023998	9404373787.2976	8834818109.5368	9733866661.672201	8582666915.212501	8844549225.495102	9264922881.1542
Hexose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid	766955.37008	540312.8626799999	707964.507	4648921.3085	5059601.369479999	5552688.7101	5884819.012159999	6043622.291850001	7908544.185359999	8083060.529849999	9323358.3075	8649815.4216	11798044.27389	11907146.90277	12180408.05079	15971301.03996	16688728.2065	18404880.33275	977350.0024	958816.0231	1186115.322	5790135.94145	5526582.74252	6116257.405799999	7493009.07	7984912.75101	7621638.94572	10078609.6929	9845177.77248	11498177.65936	13178104.20608	12195956.5344	14044227.21318	18132035.81906	17006785.6184	18178668.54996
L-Glutamine	0.0	15836.40135	0.0	84154.40802999999	0.0	0.0	28657.987074	19929.99827	0.0	52958.200764	25228.189735000004	108807.92084999998	130639.03075	197680.796928	149921.178264	2618801.51355	2889076.7914799997	2372875.2410999998	4211.95224	14385.186200000002	11172.829029	39231.15	21964.852125999998	78884.08112	28855.62042	33335.280536000006	51207.87494	40108.946215	78342.49008900001	31134.579112	243714.143056	94213.63952799999	194792.886948	2701711.7587800003	2480825.8382200003	2501564.12605
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Alanine	0.0	495.542206	327.336246	231.477973	9017.056656	9763.124836	0.0	10128.088503	711.590187	239.99736200000004	0.0	12551.72659	36833.44808	25467.043888000004	16523.444915999997	491280.96368399996	370123.83453600004	407122.85140799993	813.3857759999999	0.0	255.93851400000003	758.2799519999999	868.9102470000001	526.249532	0.0	305.86734300000006	0.0	231.080957	0.0	0.0	534.33786	0.0	0.0	0.0	545.1619599999999	315.57716800000003
L-Histidine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
