	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Lactic_acid_m+0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lactic_acid_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Lactic_acid_m+2	18524022.784999996	41691065.339	17371015.292	15692246.154	24295661.296	21687762.078	35627389.282	23212872.54	23221099.286	26415901.496	22833328.584000003	25327978.92	29264873.176	26647892.091999996	24398184.797000002	28674210.131000005	20658246.36	30859843.08	26400656.04	30517673.64	32754319.757999998	24340529.538	20038302.804000005	34437654.36	21384104.332	21501222.917	31956894.755999997	19379727.05	26710025.823	27307737.117999997	34600814.969000004	23628441.42	35743310.97	50739515.76099999	45254242.752	39838071.725999996
L-Lactic_acid_m+3	1592260567.215	3403851524.6610003	1454748924.708	1325525373.846	2070157898.7039995	1880747507.9220002	2884650420.718	1960793327.46	1944668670.714	2212219818.5039997	1980090231.4160001	2085336931.08	2389319686.8240004	2231648047.908	2025869445.203	2380923279.869	1700862283.64	2540793746.92	2173654013.96	2512621796.36	2743035490.2419996	2056046610.462	1737707557.196	2835366875.64	1822073165.668	1881261867.0830002	2676254525.244	1622970022.95	2256198164.177	2286907272.882	2873030695.031	2031018638.5800004	2993350839.03	4142608894.2390003	3664109917.2479997	3199029548.2739997
Hexose_m+0	24097411.369517997	23018973.02562	23295355.9502	24745563.243912	60576306.20616	23753276.499933	24268243.38729	25997774.374250002	24375283.42432	24101125.733561996	25781147.668584	27733703.703978	28408892.016855	30522061.7	29231329.207947	36342373.3	27153961.129855003	26350370.650296003	24608747.29711	26363807.633253	25281043.64212	22443515.71116	23206043.755950004	24652788.971976995	21688027.312356	24851832.15887	28979205.025001	18951421.859304	20821045.76304	22954968.106092	29390878.836	29010322.56	30149341.204388	30860269.290702004	30510917.306639995	30469877.6
Hexose_m+1	41947.162940999995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56860.13784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hexose_m+2	545313.1182329999	182378.78538	596893.3619	469346.84118800005	327899.01114	345840.4551150001	418885.3057000001	251211.50879999998	423726.28943000006	396696.30360199994	298483.03452	362641.46867	392553.02877	363212.5342300001	374798.170752	247128.13843999998	493459.16238	304063.07693999994	527312.44843	430527.74408699997	469490.5157599999	409710.17082400003	450142.75789999997	559552.6121919999	361138.81386	389487.763865	377976.98939	498619.5145210001	404947.40544	385329.629448	362190.62808	266894.96755199996	625315.1504350001	377211.98812399997	379765.51596	283369.86168
Hexose_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2433.719654	0.0	16737.298554	0.0	0.0	32209.217799	0.0	0.0	15864.160535999998	0.0	0.0	0.0	4527.184208	0.0	0.0	0.0	0.0	34890.183636	0.0	0.0	25533.891108000003	0.0	0.0	0.0	3091.9015420000005	0.0	0.0
Hexose_m+4	0.0	0.0	0.0	14979.154506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24066.768303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27827.113878	0.0	0.0
Hexose_m+5	14804.881038	0.0	0.0	14979.154506	0.0	26236.172457000004	0.0	0.0	0.0	0.0	20764.037184	0.0	11378.34866	0.0	0.0	0.0	0.0	13220.13378	0.0	0.0	0.0	0.0	0.0	24980.02733	0.0	17589.769980999998	0.0	36862.921307000004	0.0	0.0	0.0	20307.225791999997	0.0	0.0	0.0	27422.889840000003
