	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Lactic_acid	1604609915.738333	3431645568.2203336	1466329601.569333	1335986871.282	2086355006.234666	1895206015.9740002	2908402013.572666	1976268575.82	1960149403.5713332	2229830419.5013328	1995312450.4720001	2102222250.36	2408829602.2746673	2249413309.3026667	2042134901.7343333	2400039419.9563336	1714634447.88	2561366975.64	2191254451.32	2532966912.12	2764871703.4139996	2072273630.154	1751066425.732	2858325311.88	1836329235.2226665	1895596015.6943333	2697559121.748	1635889840.9833336	2274004848.059	2305112430.9606667	2896097905.0103335	2046770932.8600006	3017179713.01	4176435238.0796666	3694279412.416	3225588262.7579994
Hexose	201099.6340995	60792.928459999996	198964.45396666668	178917.67882166666	109299.67038000001	137143.62875250002	139628.43523333335	83737.1696	141242.0964766667	133448.96102766666	116797.70915999998	129249.13883366667	140332.96680666666	121070.84474333336	141037.3324835	82376.04614666666	164486.38746	120303.217398	175770.81614333333	159553.760231	156496.83858666665	138833.64904533335	159524.27560666666	207334.22683899998	120379.60462	144487.3962725	143437.42161466667	196925.60592950005	134982.46848	141210.15537	120730.20936	105887.67734399998	208438.38347833336	145834.68939766666	126588.50532	117309.02876
Hexose-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic_acid	1139503.0	3131955.0	1752540.0	1734234.0	2661289.0	2356224.0	3839994.0	5538026.0	3605593.0	5238590.0	4296378.0	5177996.0	5454988.0	5286947.0	4976976.0	13595670.0	6899467.0	9146315.0	2070508.0	2434834.0	2323098.0	2528200.0	1893712.0	2882174.0	3077114.0	4219301.0	7691774.0	4104810.0	5907366.0	4754516.0	6839826.0	5977178.0	7805231.0	16448200.0	13543290.0	14028240.0
Fumaric_acid	36680.917548	18955.881827999998	13623.08350275	47544.639294249995	37079.51513125	36458.587746	51155.4646855	157483.8171585	88321.39675949998	125441.027865	305889.52566499996	210123.236562	890741.2453625	825850.9913175	594865.4710019999	3680335.9556	2327471.29089	2182888.1982425004	18380.376668999997	31993.674125	0.0	35793.12445175	30364.391030000003	24451.682728	2990.7274829999997	108072.15453825	132814.28463199997	98891.35593599999	120965.56191550002	141331.79817000002	570732.5764215	664097.92167675	699863.775986	1654522.3096874997	1989368.5594650004	2144802.4686324997
L-Malic_acid	1016785.17756	1161976.3898875	949442.1819500001	8651630.7153	7177476.409674999	7018741.276875	7317806.5717	11417660.700424999	11120178.5035	14952574.729400001	15834608.657999998	17224251.1752	35628731.15945	36693987.953999996	37773182.864700004	111436187.23875	83099075.91975	71073911.69099998	816087.15344	850164.4795545	967285.569315	5818301.11373	6155867.990467499	5818945.787655001	6615371.2175	8899009.704	9664456.2575	10311384.604875	9239872.84395	12082126.851049999	27251391.576750003	33175385.086200003	32991884.80065	51396760.807000004	68633425.23675	70834259.616
L-Glutamic_acid	3918224.3723339997	3983973.624826	3857944.7359760003	35588471.63526	31038823.533120006	30330340.25632	28370903.685879998	41708392.976600006	41420897.87280001	47760301.74912	49771129.06860001	49836756.18824001	65664391.06640001	64980243.64212	69585903.361	157579166.59759998	109326050.8704	105740780.28599998	3872157.3689759998	3994150.9696199996	3511009.5197799997	25660509.564120002	30213102.319679998	29067230.655720003	29135929.137199998	38990548.72787999	38982158.740279995	36300686.0041	32868249.607200004	46324864.003000006	64392419.156799994	71664234.92095998	72221024.49056	86933659.3696	115928401.68000002	116130043.83160003
L-Glutamine	141286.87240000002	112897.18585600001	130948.00210800002	4532472.164256	3140545.1616806	3716328.06426	2405289.31736	3531477.58908	3677261.539120001	4638944.9208039995	5158053.86556	4420060.41834	5444550.529242	5054394.8671079995	5420395.5575	14158774.986140002	12548809.2384	11007230.165879998	104997.47867999999	109088.25615999999	71278.797616	2407999.1341440002	3060113.6225175997	2735859.7352807997	2469542.3992910003	3186226.5536399996	2552392.6893180003	3426773.7399740005	2858385.2144299997	4433517.208064001	4420131.199836	4987161.334286001	4828341.553331999	8291759.2905	11531658.60598	10960478.555520002
L-Methionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
