	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Lactic_acid	1610784590.0	3445542590.0	1472119940.0	1341217620.0	2094453560.0	1902435270.0	2920277810.0	1984006200.0	1967889770.0	2238635720.0	2002923560.0	2110664910.0	2418584560.0	2258295940.0	2050267630.0	2409597490.0	1721520530.0	2571653590.0	2200054670.0	2543139470.0	2775789810.0	2080387140.0	1757745860.0	2869804530.0	1843457270.0	1902763090.0	2708211420.0	1642349750.0	2282908190.0	2314215010.0	2907631510.0	2054647080.0	3029094150.0	4193348410.0	3709364160.0	3238867620.0
Hexose	24674801.73	23085922.2	23592623.0	24965257.51	60722039.1	23851065.87	24640312.1	26167865.5	24492849.1	24337196.54	25955046.48	27895497.59	28445871.65	30522061.7	29281107.09	36342373.3	27414397.91	26440267.56	24991111.3	26740853.67	25515788.9	22635921.04	23691724.1	24980027.33	21887200.84	25128242.83	29075153.03	19401537.53	21091010.7	23212628.28	29687756.4	29010322.56	30503178.07	30919015.42	30875245.2	30469877.6
Hexose-phosphate	835354580.0	821578500.0	820840740.0	910665910.0	836310420.0	799307120.0	646275840.0	915532550.0	881691400.0	863953250.0	905857410.0	901848140.0	1058051710.0	1055215580.0	1049596750.0	1851546300.0	1284889520.0	1226159230.0	844039080.0	818427970.0	755811330.0	685026370.0	826682860.0	791863320.0	688233180.0	833340800.0	877333500.0	646478920.0	641116460.0	785699930.0	1004694570.0	1085547620.0	1009989310.0	1102176940.0	1311170460.0	1280204750.0
Pyruvic_acid	1139503.0	3131955.0	1752540.0	1734234.0	2661289.0	2356224.0	3839994.0	5538026.0	3605593.0	5238590.0	4296378.0	5177996.0	5454988.0	5286947.0	4976976.0	13595670.0	6899467.0	9146315.0	2070508.0	2434834.0	2323098.0	2528200.0	1893712.0	2882174.0	3077114.0	4219301.0	7691774.0	4104810.0	5907366.0	4754516.0	6839826.0	5977178.0	7805231.0	16448200.0	13543290.0	14028240.0
Fumaric_acid	61134862.58	63186272.76	60547037.79	61347921.67	59327224.21	60764312.91	60182899.63	61758359.67	60911308.11	61190745.3	60572183.3	60905285.96	64429746.5	64772626.77	65549914.16	66793756.0	65470359.8	63318004.3	61267922.23	63987348.25	59920900.0	62248912.09	60728782.06	61129206.82	59814549.66	62650524.37	64006884.16	61807097.46	61248385.78	62814132.52	64672246.62	65267609.01	66495370.64	63330997.5	63507376.2	64360164.1
L-Malic_acid	945846676.8	988916076.5	949442181.95	1000188522.0	960197513.0	985086495.0	906229916.0	973787693.0	979751410.0	970946411.0	959673252.0	988479264.0	1085414506.0	1095342924.0	1102062228.0	1202440650.0	1083076910.0	1028938280.0	1020108941.8	1030502399.46	992087763.4	977865733.4	988894456.3	961809221.1	931742425.0	988778856.0	1017311185.0	948173297.0	926303042.0	962719271.0	1058306469.0	1102172262.0	1116476643.0	1016248360.0	1044251430.0	1066379520.0
L-Glutamic_acid	209979869.9	209903773.7	201775352.3	208632147.0	185350672.0	175198361.0	142110317.0	215102594.0	210900702.0	196933456.0	206245355.0	212143522.0	252244895.0	254684658.0	271438225.0	441596140.0	306957690.0	275567550.0	206846013.3	196756205.4	177144779.0	142037582.0	170195484.0	165117193.0	144810781.0	191298934.0	194852338.0	141083117.0	129565790.0	175659275.0	236476016.0	263878912.0	258893836.0	225076790.0	297069500.0	296825590.0
L-Glutamine	35321718.1	27138746.6	33067677.3	33643647.3	25959209.47	28543226.3	20948348.0	25326144.5	26284928.8	27150561.4	29995661.0	26375823.0	29243476.9	27273876.9	28986072.5	48195163.0	43772880.0	37639277.0	29165966.3	26223138.5	23446972.9	21107986.8	25382495.21	23580932.04	19696461.95	21128823.3	20422409.1	20236056.1	18655431.5	23642903.2	24834988.2	25359307.1	24549224.9	30676135.0	38793173.0	36711142.0
L-Methionine	76466574.0	98210930.0	75813075.0	74772465.0	85273155.0	74132463.6	84180900.0	90471641.74	89056520.0	92155250.0	86292088.0	99725242.0	108042609.85	113548362.0	110489453.13	192678201.58	120518830.0	128462760.63	96687794.0	103614842.0	111899581.0	76941840.0	78034873.0	92459911.0	76139981.0	89509708.07	129726210.0	72380379.0	82555630.2	96197924.48	128915035.19	121992240.0	139464579.0	173683044.36	157822002.0	164348248.0
L-Phenylalanine	376890068.6	595385373.0	375123497.9	356630305.0	437818838.0	354116245.1	428736221.3	450994124.0	445517014.0	437586518.0	400583806.0	486046638.0	492913164.0	531597894.0	505961041.0	863444918.0	514006660.0	535546973.0	480363010.0	531846338.0	573217457.0	384687172.6	371433338.5	468856667.0	354136588.5	423904456.0	632539545.0	332301733.9	401455410.0	420748310.0	595588966.0	554510333.0	630615214.0	856774400.0	742646944.0	751068404.0
