	AB_T0_cell-1	AB_T0_cell-2	AB_T0_cell-3	A_T0_cell-1	A_T0_cell-2	A_T0_cell-3	B_T0_cell-1	B_T0_cell-2	B_T0_cell-3	Cont_T0_cell-1	Cont_T0_cell-2	Cont_T0_cell-3	AB_T24_cell-1	AB_T24_cell-2	AB_T24_cell-3	A_T24_cell-1	A_T24_cell-2	A_T24_cell-3	B_T24_cell-1	B_T24_cell-2	B_T24_cell-3	Cont_T24_cell-1	Cont_T24_cell-2	Cont_T24_cell-3	AB_T48_cell-1	AB_T48_cell-2	AB_T48_cell-3	A_T48_cell-1	A_T48_cell-2	A_T48_cell-3	B_T48_cell-1	B_T48_cell-2	B_T48_cell-3	Cont_T48_cell-1	Cont_T48_cell-2	Cont_T48_cell-3	AB_T0_med-1	AB_T0_med-3	Cont_T0_med-1	Cont_T0_med-3	Cont_T24_med-1	Cont_T24_med-2	Cont_T24_med-3	Cont_T48_med-1	Cont_T48_med-2	Cont_T48_med-3	A_T24_med-1	A_T24_med-2	A_T24_med-3	A_T48_med-1	A_T48_med-2	A_T48_med-3	B_T24_med-1	B_T24_med-2	B_T24_med-3	B_T48_med-1	B_T48_med-2	B_T48_med-3	AB_T24_med-1	AB_T24_med-2	AB_T24_med-3	AB_T48_med-1	AB_T48_med-2	AB_T48_med-3	B_T0_med-1	Cont_T0_med-2	A_T0_med-3	A_T0_med-1	B_T0_med-3	AB_T0_med-2	A_T0_med-2	B_T0_med-2
Fum	571307.66194	1007803.80829	1028769.6291	849934.584649	1331932.86146	1343872.54234	709307.307925	1067299.66309	1272957.91101	724158.1651	759253.812133	1340608.78049	2884735.5189	5271886.8917	5042287.2432	2536771.76908	2002385.52816	1693366.93852	1028205.07144	1578113.77839	1976955.1536	2638236.17906	3577081.76397	2741204.92072	1726359.67825	2348829.4284	2317722.04404	771714.76572	665248.82351	437953.76407	599265.63414	1036415.07433	949515.39678	643941.9878	1127217.07625	895552.01254																																				
CDP	2662451.864	2683067.106	2829501.627	3658703.167	4549519.711	4784405.574	3863879.502	5898599.122	5307527.486	6551835	5550428.022	5605290.875	915011.02816	800985.46975	931465.77357	2782262.726477	2433762.26766	2997630.558476	2928174.65162	3462047.32611	2747043.34704	3481678.31111	2174685.1657	2847835.05239	78350.47536	82926.66103	79103.58752	2259408.27428	1926620.65994	1617112.81514	2153304.73405	2455554.48234	2433193.68541	1384191.03618	953804.10361	914347.77807																																				
IsoCit	1009280.31451	981575.77054	1148240.23644	686751.7918	765537.500692	615948.782532	457120.593	386318.075083	595920.261311	716013.68233	473158.9824	670869.714274	1031233.83365	1563813.78011	1323355.84241	1173628.11465	958226.422405	553657.11232	429334.57545	417922.89671	1238197.12356	335685.775526	320298.217776	292710.095363	754897.724263	904157.2676	911250.78237	563980.47622241	339644.6963043	288828.01499	617500.638964	1123317.5145	1009293.665262	226642.621821	240274.307618	279211.61459																																				
P5P	1248151.39477	1151070.109	1309726.64998	1622226.252397	2101779.62568	1920881.89388	1561182.77048	1864572.917711	1474043.854945	2520143.13078	2650656.20474	2797023.38016	1236116.94279	1188209.98204	1095927.06641	4042496.89333	2745142.88324	3116390.23076	2863379.09807	3490301.32274	3219063.71288	2848707.51802	1564489.63289	2320031.28075	138910.34797	154249.32171	148059.49287	1106198.21958	730430.70251	919695.05171	837714.70249	1234221.73423	1286245.57527	620580.9305	348538.726362	358266.966603																																				
GMP	3386120.18057	3291518.25397	3131326.67467	1040843.97418	983805.82424	1281871.9579	699368.01339	933106.06753	1150461.29492	1213313.93365	968574.14684	917155.25974	10207481.2497	11330369.2087	12227732.0309	955450.71251	624256.36527	1130300.53746	651178.119614	1224717.60204	572043.710207	1091252.62623	666213.319635	847038.02838	2787313.52948	3100731.88912	3205836.08983	2172991.3718	1950828.95396	1821619.68152	1965802.19632	2123830.15325	2076095.23341	5321079.08557	5051415.02809	3656173.09958																																				
Sed7P	708695.620696	648486.242248	735138.17772	405451.026916	404632.682093	364712.906644	358174.641852	448405.35137	357659.653392	277739.4316	0	341067.0323	1833902.935281	1664590.47047	1564453.296912	4256316.13784	3311139.573476	2524078.1755	1836962.015898	1779989.194811	2748292.720603	3097496.97328	2441952.801578	2724905.87958	876092.449908	910227.83615	826018.80505	9313016.03465	8740185.84527	8309858.89986005	8059980.14614	9488504.05881	8250941.46788	9799824.9188	8205851.3708	8704836.46411																																				
Glc6P	1003307.320924	848659.697801	1099885.006955	1371473.29828	1417858.38996	1282726.97609	1105305.87467	1607522.18349	1038688.78639	1289894.7207	1246715.34048	907814.09294	2353546.83584	733739.12217	1508897.71534	2378469.26438	1566613.88156	1949916.14459	1572650.38943	2571658.58447	1408828.41167	1870842.41938	1538134.25849	1457277.2612	754001.10963	741643.91787	685261.739228	2410929.33477	2227515.31581	2332099.09769	1981459.62543	1781531.70082	1844172.69578	1767467.07661	1511189.20817	1575735.5746																																				
CTP	2559034.123	2403170.411	2643374.214	11009149.04	9279476.88	9927517.248	8674169.544	9954471.841	9239223.059	12730795.07	9523259.758	12601976.48	394888.59447	509918.94729	431634.60496	9892652.36562	6630162.09119	6599617.04919	7175665.17663	5461223.129434	7950111.91832	10354989.90574	7282818.22526	9172453.56615	284680.8438	179922.2844	196677.77593	4602301.05266	4097880.28187	3672759.07862	4168988.30815	6139802.31962	6260604.02568	2576359.02701	2257166.33512	2311434.7715																																				
Pyr	9287864.32328	9834373.6125	13556639.7645	8072604.6678	5417572.18565	5723114.71191	4998287.96069	5125071.89216	6083013.8568	7725152.31504	4177790.14461	7545505.81033	9649706.56061	171194029.419	119498557.7552	19414603.9724	10572949.759384	12196768.8356	7739687.72818	6344102.83757	13993228.8047	12310585.4959	9613190.4869	12439481.3127	169896011.982	185494474.747	186582371.034	10408967.09933	7421633.294356	9874048.54894	8148915.26928	10617936.26433	8260475.79329	10578715.3685	8414497.92754	8292820.56487																																				
Fru6P	8938073.531825	8119186.283136	8121239.199162	4798767.93264	4513233.65447	4634546.47171	4839144.19862	4803548.86594	3740639.09333	3723252.797016	3892873.85283	3987141.725739	5374084.11007	3581106.11817	4973430.19802	4837930.1953	3290337.21892	3469004.9151	3434759.32932	4036746.78094	3567337.97038	4429324.40172	3216059.28285	3389126.3059	1294975.58635	1347705.84829	1221381.3176	3210941.97931	2769054.37728	2977201.65286	2749752.85516	3131823.06417	2933546.53155	2201083.44753	1721309.2755	1927138.649998																																				
