	AB_T0_cell-1	AB_T0_cell-2	AB_T0_cell-3	A_T0_cell-1	A_T0_cell-2	A_T0_cell-3	B_T0_cell-1	B_T0_cell-2	B_T0_cell-3	Cont_T0_cell-1	Cont_T0_cell-2	Cont_T0_cell-3	AB_T24_cell-1	AB_T24_cell-2	AB_T24_cell-3	A_T24_cell-1	A_T24_cell-2	A_T24_cell-3	B_T24_cell-1	B_T24_cell-2	B_T24_cell-3	Cont_T24_cell-1	Cont_T24_cell-2	Cont_T24_cell-3	AB_T48_cell-1	AB_T48_cell-2	AB_T48_cell-3	A_T48_cell-1	A_T48_cell-2	A_T48_cell-3	B_T48_cell-1	B_T48_cell-2	B_T48_cell-3	Cont_T48_cell-1	Cont_T48_cell-2	Cont_T48_cell-3
Fru6P	8938073.531824999	8119186.283136001	8121239.199162	4798767.932639999	4513233.6544699995	4634546.47171	4839144.19862	4803548.86594	3740639.09333	3723252.797016	3892873.85283	3987141.725739	5374084.1100699995	3581106.1181699997	4973430.19802	4837930.1953	3290337.21892	3469004.9151	3434759.32932	4036746.78094	3567337.97038	4429324.4017199995	3216059.28285	3389126.3059	1294975.58635	1347705.8482899999	1221381.3176	3210941.97931	2769054.37728	2977201.6528600003	2749752.8551600003	3131823.06417	2933546.53155	2201083.44753	1721309.2755	1927138.649998
Gly3P	10807634.6323	10258175.2569	11184559.634100001	2279532.84135	1472280.30519	1423051.87565	1486341.13479	1217865.0605600001	881188.36299	1207140.42318	1108946.74749	983578.7772899999	5409606.84942	4424434.9319899995	5736425.6429	2323362.4118999997	1159698.9703000002	1037586.7566	820278.5023	960850.2469	789705.9242	1469716.1921	1444964.8908	1371410.6524999999	441809.81088	471101.45759999997	470930.29455	1366306.9026000001	1521506.7831000001	2267651.6197	1357441.81342745	1705474.3991999999	1249956.6399	2522568.3704999997	1820161.4978	1886895.5288
CTP	2559034.123	2403170.411	2643374.214	11009149.04	9279476.88	9927517.248	8674169.544	9954471.841	9239223.059	12730795.07	9523259.758	12601976.48	394888.59447	509918.94729000004	431634.60496	9892652.365619998	6630162.09119	6599617.04919	7175665.17663	5461223.129434	7950111.91832	10354989.90574	7282818.225260001	9172453.56615	284680.8438	179922.2844	196677.77593	4602301.05266	4097880.2818699996	3672759.07862	4168988.30815	6139802.319619999	6260604.02568	2576359.0270100003	2257166.33512	2311434.7715
Fum	571307.6619399999	1007803.80829	1028769.6291	849934.584649	1331932.8614599998	1343872.54234	709307.307925	1067299.66309	1272957.91101	724158.1651000001	759253.8121329999	1340608.78049	2884735.5189	5271886.8917000005	5042287.2432	2536771.76908	2002385.5281600002	1693366.93852	1028205.0714399999	1578113.77839	1976955.1536000003	2638236.17906	3577081.7639699993	2741204.92072	1726359.67825	2348829.4283999996	2317722.0440399996	771714.76572	665248.8235099999	437953.76407	599265.63414	1036415.0743300001	949515.39678	643941.9878	1127217.0762500002	895552.0125399998
P5P	1248151.3947700001	1151070.109	1309726.6499800002	1622226.252397	2101779.62568	1920881.8938799999	1561182.77048	1864572.917711	1474043.854945	2520143.1307800002	2650656.20474	2797023.38016	1236116.94279	1188209.9820400001	1095927.06641	4042496.89333	2745142.88324	3116390.23076	2863379.0980700003	3490301.3227399997	3219063.71288	2848707.51802	1564489.63289	2320031.2807500004	138910.34797	154249.32171	148059.49287000002	1106198.21958	730430.70251	919695.05171	837714.7024899999	1234221.73423	1286245.57527	620580.9305	348538.726362	358266.966603
Pyr	9287864.32328	9834373.6125	13556639.7645	8072604.6678	5417572.18565	5723114.71191	4998287.96069	5125071.89216	6083013.8568	7725152.31504	4177790.14461	7545505.81033	9649706.56061	171194029.419	119498557.7552	19414603.972400002	10572949.759383999	12196768.8356	7739687.728180001	6344102.8375699995	13993228.8047	12310585.4959	9613190.4869	12439481.312700002	169896011.982	185494474.74699998	186582371.03399998	10408967.09933	7421633.294356	9874048.54894	8148915.26928	10617936.26433	8260475.7932899995	10578715.3685	8414497.92754	8292820.56487
Rib1P	433872.14337999996	354268.77529500006	373092.93524699996	506931.49994	515317.83285	433136.32737	586588.6899700001	557296.51993	420235.93409	633722.2002	618450.11239	503112.27803	193270.98865	71015.68529	119034.96419	1058757.54637	600209.415023	509298.7318	468349.16211599996	601592.936669	613021.643388	718182.528917	489015.688892	635840.304548	8216.818359	9257.872932	7490.226663	270058.9365	238361.63760000002	343281.4064	261809.62516	366868.15489999996	358067.26619999995	276813.652	165305.31307	206052.25549
Suc	17453172.320699997	23013184.594100006	23651103.9339	16696697.2474	24960174.386	25257617.5083	11308685.138000002	18234745.920199998	22459140.1433	15714845.958919	19646493.222900003	25522780.3002	19286094.427200004	23646593.883	23887926.953	15430602.704	19913145.336999997	19480654.704	15249360.4094	15470707.537	19461982.688	16530855.029	20156849.162	18090622.992	23470817.976	26399075.916999996	25326809.333	20138425.504999995	19448376.882	12784741.673	17635278.795	20154454.294	20118557.129	19196375.301000003	23212397.876000002	22378110.517
ATP	22084754.304899998	21835841.4843	23033294.126799997	41541098.171906	28333872.96799	33025627.982992	24947108.396374	27848014.136966	28505130.750052	48097943.375448	32731826.770847	45269915.356986	5119818.424753001	4466298.99718	4198366.52094	43782778.395509996	24613580.795915	23362005.286612	21082643.400469	17065014.632762	25702369.419926997	41433682.7384	25936199.8276258	35835444.0542913	2618844.2211441	2188687.738237	2182643.820247	29842249.419196	22096719.378861003	22103739.379957348	19933773.000960004	29658925.07503	24608310.566	17637496.912682835	14999338.624642001	14934313.216255
UDP	11636886.748983	12905845.553109001	13465561.345413	19095395.197940003	22041850.9617	23430242.591119997	17232627.130482998	24176011.044850003	24136632.393710002	31017409.212009996	23564568.40736	26374181.36789	4377309.33237	4285364.908910001	3950136.4033999997	26939623.55273	25193602.076109998	27471918.96322	25297011.754249997	28642412.569239996	28565322.663960002	30342357.08056	21453627.95329	26703014.96027	1613417.751686	1729456.2582099999	1673021.8347460001	11126981.72896	9081405.38912	9300643.28456	11439481.52626	13766062.387443	13616464.360414002	6694497.946690001	5095306.9689	4791037.3259000005
PRPP	234474.133217	164502.789747	262445.206426	3265374.30386	1403175.78537	1379308.26422	1180413.56085	773075.779797	801459.9576699999	2189493.12492	1306703.29191	2188660.90715	63172.723890000736	69121.8781200004	65560.88141000064	4685589.198954	1127901.1055990001	1158352.2563500006	1376218.785801	1097430.199629	1862788.692538	1932711.36905	859269.3588330001	1525417.6695100004	0.0	0.0	0.0	152387.24360000002	74274.28912000032	198096.62092900003	104256.2858000001	756955.660923	520729.090104	102830.6438000001	37976.36694000001	30914.466000000015
AMP	13643821.86146	13309975.21932	13281617.1975	9565403.92	9556049.635	9484595.774	8351394.18132	9426287.01196	10313563.26606	10002588.89176	9115817.066	9594099.02	9279020.4105	8389577.3368	7596991.1084	7405683.36312	5000743.872590001	7638624.97551	4802414.372330001	9256375.253639998	4656373.53982	6958341.37654	4691349.03804	5627972.627769999	2200378.69092	2266642.8800399997	2488413.22926	9617634.053840999	8318398.266559999	9314779.535930002	6948836.948	7850214.767400001	7438797.53515	8161352.0056300005	4992785.84585	5596683.24172
CDP	2662451.864	2683067.106	2829501.627	3658703.167	4549519.711	4784405.574	3863879.502	5898599.122	5307527.486	6551835.0	5550428.022	5605290.875	915011.02816	800985.46975	931465.7735700001	2782262.726477	2433762.26766	2997630.558476	2928174.65162	3462047.32611	2747043.34704	3481678.3111099997	2174685.1657	2847835.0523900003	78350.47536000001	82926.66103	79103.58752	2259408.27428	1926620.6599400002	1617112.8151399998	2153304.73405	2455554.4823400006	2433193.68541	1384191.03618	953804.1036099999	914347.77807
Cit	9864962.515239999	10555893.2304	10669627.30698	6104076.527709001	6622207.696758	6124714.7470350005	3727385.1327989995	5173441.27989	4620063.391073	4979269.248302	3993771.11194	4639126.18108	5795629.51522	10517675.48467	10585287.8724	17362710.7065	15099558.4283	12077987.4816	8922269.3584	9726833.00422	15717894.8574	7907565.8820899995	6810005.74082	8034314.5794	6683038.804260001	9671676.64116	11516670.836579997	10943713.60077	5530370.758670001	4251489.17991	8829539.136400001	13263631.181699999	14751114.613499999	3364257.09422	4786453.7466400005	4646609.65085
