	AB_T0_cell-1	AB_T0_cell-2	AB_T0_cell-3	A_T0_cell-1	A_T0_cell-2	A_T0_cell-3	B_T0_cell-1	B_T0_cell-2	B_T0_cell-3	Cont_T0_cell-1	Cont_T0_cell-2	Cont_T0_cell-3	AB_T24_cell-1	AB_T24_cell-2	AB_T24_cell-3	A_T24_cell-1	A_T24_cell-2	A_T24_cell-3	B_T24_cell-1	B_T24_cell-2	B_T24_cell-3	Cont_T24_cell-1	Cont_T24_cell-2	Cont_T24_cell-3	AB_T48_cell-1	AB_T48_cell-2	AB_T48_cell-3	A_T48_cell-1	A_T48_cell-2	A_T48_cell-3	B_T48_cell-1	B_T48_cell-2	B_T48_cell-3	Cont_T48_cell-1	Cont_T48_cell-2	Cont_T48_cell-3
2_3-PG_label0	2185431.556	1958221.269	2283734.943	206171.4626	285834.0353	206147.3145	93224.37101	108440.8411	121393.6867	298441.8262	268050.3636	360853.6529	707218.2078	1402972.376	1358127.536	36413.27637	27367.17784	34177.9997	23653.6158	30391.99328	34714.5081	26381.30429	23698.7623	29674.89889	703151.9167	856725.4533	961394.0385	60523.60676	24487.25116	13393.81139	44255.11828	62120.53293	68347.60006	42043.98974	56438.37354	37427.49772
2_3-PG_label1	0	0	0	0	0	0	0	0	0	0	0	0	20285.21129	13618.86655	12883.90402	0	0	0	0	0	0	0	0	0	9099.30813	0	0	0	0	0	0	0	0	0	0	0
2_3-PG_label2	88563.9783	85663.61931	97039.52603	133780.182	161461.2364	119358.6129	100865.2825	120532.5605	123434.0823	200778.0533	197229.6694	247336.7766	138851.4978	137039.0852	165271.8054	182631.3947	132170.3807	211833.8748	81691.55092	179166.1453	120819.925	146120.9923	89966.23931	125127.0329	35196.39397	34163.9901	37498.28763	104482.7071	70620.9508	49853.55214	60986.24241	88536.43351	110086.5397	20998.75488	22388.47005	21257.21399
2_3-PG_label3	6037919.454	5727967.893	6517648.088	8358749.348	10271010.45	8108823.141	6883413.999	8125157.473	8223956.569	11787744.65	11554464.86	13482643.24	5503525.07	5573415.149	6123883.187	10505228.3	8376820.028	11908511.32	6128008.562	10715121.67	7772556.109	9033424.374	6122480.462	8110283.297	1808396.988	2237113.191	2446548.943	6534156.515	4623729.509	3617653.598	3941580.889	5435245.396	6346199.108	1641241.102	1488116.365	1673205.23
2-OHGLu_label0	7052697.599	7337220.631	7457794.483	5550339.322	6072872.833	5642844.164	3316079.663	4289594.081	3517756.692	5893256.269	7454336.274	7702640.328	3245454.805	3264545.666	3314207.773	3855047.791	3216178.72	2914028.633	1661013.085	1597271.171	2144460.674	3102049.195	4066632.965	2901023.221	2464867.606	2190608.337	2650274.946	5742702.469	5638322.779	5783770.589	4472817.098	4787568.276	4276972.751	7496654.147	6077978.087	6881666.103
2-OHGLu_label1	0	0	0	0	0	0	0	0	0	0	0	0	32061.28199	44972.70565	72524.50989	0	0	0	0	0	0	0	0	0	25411.89992	49432.48822	39126.4074	260330.3705	288687.9094	265006.3787	390052.5006	507541.2143	411608.4316	127975.2859	75887.68544	74145.2984
2-OHGLu_label2	0	0	0	62163.30727	108839.8963	82484.8575	35110.19455	40775.54644	46307.71773	9976.217534	53035.94662	75074.27879	648391.1635	644448.0801	792967.5905	3114533.603	2691689.195	2139416.89	634239.7817	606434.4524	1058535.464	1845577.773	1611494.416	1746475.797	194675.1795	253656.25	263863.9772	5961625.431	5859584.249	5982162.504	4088176.066	4796019.182	4458451.221	6012803.217	4357806.114	5077692.884
2-OHGLu_label3	10894.88415	37284.25074	21384.22568	33950.03875	57015.80123	48395.03617	18135.7733	34415.17618	35456.08265	16218.60873	34068.8323	59686.54119	292273.8795	330463.2062	411403.8789	964673.6406	804919.6602	649041.1956	216959.0227	203852.0953	396905.2551	474922.8927	479959.6627	460638.2245	139444.5684	183806.1376	189491.8669	2964287.228	2935507.391	2930623.082	2579452.54	3124709.399	2769509.463	2115857.203	1485423.251	1710100.953
2-OHGLu_label4	0	7235.713458	6325.392538	31513.15643	43506.47502	38350.24583	15651.26338	19564.75356	17681.09417	18965.84568	23046.25122	29715.86922	281746.2973	268742.2627	351853.296	5436469.924	4706821.45	3766794.912	1302575.312	1268470.514	1953296.062	3200529.756	2732129.436	2954527.23	89363.44261	115222.1666	122189.8302	6920361.313	6797073.912	7002364.168	4147108.461	4859818.769	4635429.064	6276117.334	4614249.706	5361311.262
2-OHGLu_label5	0	26177.25334	20442.93313	27688.74195	43567.73063	39818.50229	12265.1464	21875.13525	24659.15595	0	17896.32501	36216.68989	252610.3982	413132.7066	540641.1973	2769721.539	2302254.26	1869001.523	681301.3592	644643.323	1082740.212	1488534.123	1298081.886	1412762.662	459582.9204	633663.3185	723492.487	5316609.943	5291927.332	5427080.092	3252770.771	3849110.167	3574446.72	4333075.972	3053391.05	3555612.354
6-PG_label0	307451.8235	300465.0792	355671.0904	309932.3475	342540.1698	285623.8838	154953.6702	165583.6439	171443.0987	253560.3827	242260.6594	312674.8315	232262.835	458725.0639	317460.6052	101608.1805	84940.35902	75141.26492	135763.4988	144001.6175	199976.2387	85240.79781	67359.24717	75466.74027	141508.522	172951.0904	171128.8245	51204.25212	36128.86644	27752.56306	45682.49186	68461.11428	62442.72234	72569.96014	50707.62042	51302.53037
6-PG_label1	1432.689533	0	0	0	0	0	0	0	0	0	0	0	11989.17278	16513.31114	4578.149607	0	0	0	0	0	0	0	0	0	2996.434697	4292.005233	4192.056658	0	0	0	0	0	0	5335.709802	0	2943.786996
6-PG_label2	31941.54836	28272.87734	35165.02151	0	0	0	0	0	0	0	0	0	15030.62566	18815.90658	15887.72891	0	0	0	0	0	0	0	0	0	3028.055886	1650.81833	2494.023251	5600.147974	7959.956987	5442.072469	8233.369933	13036.98448	10186.1773	16789.12325	8427.233523	8834.859102
6-PG_label3	199404.9658	179886.8849	202833.781	7664.136895	8906.391308	6669.714525	5270.094475	6042.343545	6340.428784	0	0	7071.048454	92431.9307	96695.21541	113677.4207	0	0	0	0	0	0	0	0	0	18035.34769	23303.94046	24295.11118	17329.24092	10493.63961	10495.89189	14285.04468	24885.36933	18642.72092	14443.42461	9027.351907	9470.214301
6-PG_label4	28443.99762	25349.16735	33244.33466	11950.01113	11674.22491	10246.94895	7269.129043	13362.50826	0	9922.705217	15475.23458	20377.21486	46113.62786	47068.97272	52651.72525	45346.04708	36334.93958	32724.48637	19716.5559	17116.88586	25313.03011	34524.35854	26037.70094	32010.48202	11147.35876	12842.91016	16035.56112	62691.03865	51707.0219	34948.20051	46746.00737	64157.44446	51180.02153	48713.72113	24795.25519	32154.33289
6-PG_label5	310431.0046	278026.8703	323697.7459	520904.6672	608128.1002	497246.1074	350974.7598	480090.0383	351891.0405	405342.3913	815587.5165	868426.7316	421442.0032	404141.9089	444139.5023	2390706.721	1802278.633	1818777.974	928634.6192	969701.6501	1177980.809	1807036.326	1207909.718	1739193.278	62710.47278	71779.67104	75157.49212	2118719.685	1754102.602	1122254.019	1153097.495	1576129.333	1401574.387	940490.0603	342445.6765	700291.1951
6-PG_label6	2579073.189	2382460.1	2690894.375	7423820.948	8341569.748	7060776.776	4452678.476	5232740.059	4715964.437	5394323.444	7384800.665	8693515.641	3190611.534	3026642.748	3357293.783	15231875.3	12525321.98	13436262.43	6170605.372	8653517.387	8809092.454	11279297.92	8040213.605	9780146.306	1032813.243	1104174.366	1184057.633	11397873.42	9399459.86	7981062.691	6971060.584	9310682.627	9266740.487	3736952.624	2540210.974	3657011.932
a-KG_label0	1172097.907	1228173.247	1382017.303	441807.2042	612669.4773	647917.1357	391893.5957	443631.6304	464330.9057	552526.6043	482434.0877	668544.802	610083.0031	4095308.917	4483808.033	1476617.063	1056307.521	761472.973	576003.5333	481005.1141	926956.021	572619.741	546375.578	603938.5237	10311561.96	13964610.51	16253229.78	622581.4451	654618.4553	1087431.783	589959.8062	913351.3804	947948.145	404646.41	386613.7682	513872.5749
a-KG_label1	0	0	3386.621841	6581.125045	12456.03716	21722.40797	9937.67146	10298.18922	16971.97253	0	2085.213699	18900.88043	17766.58052	165675.6018	182255.3685	77677.31383	46821.38405	42394.69658	32378.25565	33821.56306	61057.00948	28170.23998	32113.8241	35046.77133	156606.3322	313306.6794	374193.5422	62342.90057	80805.27094	113136.2656	107512.8088	202256.8337	186303.2737	22063.42589	32581.51669	39623.69516
a-KG_label2	82953.77022	110579.8698	132964.3013	70778.42058	118643.5176	133695.1507	46718.56143	74057.80489	102085.6772	46309.55877	54983.84668	98248.93696	159795.0313	1446128.144	1629812.537	1907292.33	1596531.466	1051821.819	729408.8969	476999.7801	1445354.56	636158.2851	415566.8382	651396.9224	2051196.24	2904376.618	3402307.408	692349.1767	718785.9216	1152112.569	763309.8401	1186086.46	1263532.475	258408.8727	232918.0954	361274.1059
a-KG_label3	16165.1334	20276.43592	27674.57941	22143.37798	32170.99354	33557.30088	12990.46272	20862.72184	31454.30722	13728.65106	12489.92256	20211.27089	53522.68827	590257.2934	694852.7937	623361.4049	483118.3355	323172.6903	264567.9371	131417.3268	586593.3279	149649.632	103268.9093	166286.257	890443.0507	1327311.033	1534711.855	424393.2412	400464.4448	655635.1476	606598.2188	928636.5128	953809.5767	102175.4388	84387.33604	131225.8553
a-KG_label4	6950.35723	10711.5845	0	21225.1587	33085.30969	36960.91832	8005.942435	14893.85283	20588.99596	9561.259531	10809.82522	13667.29631	62893.85249	625683.1717	729923.4989	3267732.931	2762185.304	1830498.088	1306729.341	832654.9773	2395246.942	1099424.672	647876.2431	1033090.529	990619.232	1406536.043	1714020.391	736767.6374	705090.2038	1183668.054	743755.6891	1135604.227	1250294.946	254517.5884	191318.2753	306075.9215
a-KG_label5	0	0	0	0	0	0	0	0	0	0	0	0	74583.80623	457469.0787	541537.8228	1721462.381	1381372.254	947285.2555	694736.349	394154.8561	1373895.225	489385.3877	299919.5187	494125.676	740593.6334	1073481.003	1276503.222	738287.5573	664664.2266	1100455.444	722174.006	1031242.516	1089981.454	238209.5127	159911.8992	253599.9126
Cit_label0	7650672.176	8361921.496	8232006.899	3639184.111	3835186.021	3841051.892	2408857.505	3550831.35	3078934.983	3640417.161	3010167.195	3734034.341	3598845.288	5572225.422	5017553.155	3350676.17	2780310.907	2595870.425	2048939.326	1942876.955	3172159.111	2409286.436	2439421.505	2379355.51	3571918.965	4702980.903	5542239.117	2895151.453	1796905.597	1278340.685	2580274.072	3224162.52	3131027.433	1629187.516	2157942.234	1903940.908
Cit_label1	47214.21759	80605.21054	82487.69471	0	5642.249156	29749.18838	6167.608149	28010.13805	7541.799673	0	0	0	113776.3026	150101.8943	367931.0036	206041.2034	167996.5509	143030.1937	135603.4186	153584.9294	181672.1984	142921.9644	140572.2633	138969.1907	60952.42975	158749.9169	211987.2879	171730.3118	136248.9795	68294.66675	252139.6936	321121.7228	290476.2817	48642.1266	53145.19491	47284.9595
Cit_label2	1298475.246	1278324.379	1421013.86	834839.4782	924585.3381	789515.4345	501910.4832	598550.5575	559382.3999	493917.0713	411397.8949	374593.2272	960329.5819	1924451.987	2155279.904	3316645.42	3032109.913	2331314.938	1497033.878	1756112.148	2746570.299	1554160.456	1302953.033	1610754.308	1206742.285	1936675.138	2328888.006	2132895.271	1076835.186	843287.0492	1552735.877	2455849.406	2865595.997	579842.6917	843684.3285	922584.1065
Cit_label3	684192.6616	651139.672	722333.7554	889802.9149	1013932.124	820362.4769	566644.5846	683670.7377	675976.879	585243.7305	403561.4456	367726.5103	350505.7764	975007.4795	1083443.498	1512552.578	1309751.157	1002926.104	830148.4351	949797.2949	1624320.179	552194.2884	420251.951	592079.7106	601470.7804	931446.3635	1127252.113	1096634.556	584782.4183	475189.5449	1192419.491	1786478.599	1953689.099	182677.0598	298420.9537	308149.8918
Cit_label4	54995.46545	58002.23256	71510.97277	215534.0325	232187.4598	186913.3787	59755.60425	83295.67804	82710.68763	86968.67392	56492.13064	57220.68868	374725.5092	903525.4328	926780.5152	4401035.422	3925133.167	2942450.505	2076289.569	2268322.438	3777444.324	1555535.76	1195054.908	1593964.291	557623.5727	891028.158	1057776.081	2406117.812	975475.9394	786768.152	1633526.617	2757851.23	3298950.669	491335.4893	770753.2419	781195.6168
Cit_label5	129412.7486	125900.2403	140274.1251	520405.0021	605895.3614	454933.2192	184049.3476	229082.8186	213892.8857	170691.4223	112152.4458	105551.4139	368064.0471	920755.3425	957810.7391	4298813.787	3745478.97	2947353.865	2189087.178	2604059.202	3869676.542	1678016.697	1297920.573	1700147.853	638953.4051	976434.2967	1156141.45	2146205.318	886729.9022	724184.093	1485698.479	2541007.983	3031146.753	402611.8663	639003.0655	647477.6604
Cit_label6	0	0	0	4310.989009	4779.143302	2189.157355	0	0	1623.75617	2031.189282	0	0	29383.01002	71607.92657	76489.0575	276946.1261	138777.7634	115041.4509	145167.5537	52080.03692	346052.204	15450.28029	13831.50752	19043.7161	45377.36631	74361.86506	92386.78168	94978.87897	73392.73627	75424.98906	132744.9068	177159.7209	180228.3808	29960.34452	23504.72813	35976.50785
Fru6P_label0	956776.7391	829266.3974	841425.7294	170520.7743	166316.6562	158504.6181	101649.4924	134094.4201	129591.6584	179734.982	162300.4623	187342.8223	47175.42233	47344.91877	52973.06974	0	0	0	23568.50849	19229.71344	29440.81508	22391.22342	27576.05636	0	14119.84324	0	0	20511.25991	0	0	21974.17779	22158.80737	18984.26471	31867.06608	23622.81216	22865.83087
Fru6P_label1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fru6P_label2	43627.3595	40635.9992	35729.08037	0	0	0	0	0	0	0	0	0	12802.48476	11802.1103	13439.08761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fru6P_label3	2507386.13	2186736.149	2096991.91	25916.65274	23462.35397	27415.22791	23363.54112	18815.42194	12220.16577	9312.055106	14325.51043	8845.219539	227579.4098	116616.3238	237861.3649	3.57E-11	9.08E-12	4.67E-12	0	0	0	0	0	6.3E-12	19805.14418	24986.12418	24090.74225	0	4.52E-12	4.66E-12	0	0	0	0	0	0
