metabolite_or_isotopologue	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
3-Phosphoglyceric_acid_m+0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3-Phosphoglyceric_acid_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3-Phosphoglyceric_acid_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3-Phosphoglyceric_acid_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Citric_acid_m+0																		1.0
Citric_acid_m+1																		0.0
Citric_acid_m+2																		0.0
Citric_acid_m+3																		0.0036
Citric_acid_m+4																		0.0072
Citric_acid_m+5																		0.0012
Citric_acid_m+6																		0.0002
D-Glyceraldehyde_3-phosphate_m+0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D-Glyceraldehyde_3-phosphate_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D-Glyceraldehyde_3-phosphate_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D-Glyceraldehyde_3-phosphate_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fructose_1,6-bisphosphate_m+0	1.0		1.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0				1.0		
Fructose_1,6-bisphosphate_m+1	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0				0.0		
Fructose_1,6-bisphosphate_m+2	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0				0.0		
Fructose_1,6-bisphosphate_m+3	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0				0.0		
Fructose_1,6-bisphosphate_m+4	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0				0.0		
Fructose_1,6-bisphosphate_m+5	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0				0.0		
Fructose_1,6-bisphosphate_m+6	0.0		0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0				0.0		
