metabolite_or_isotopologue	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
3-Phosphoglyceric_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Citric_acid																		21797102.566666663
D-Glyceraldehyde_3-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fructose_1,6-bisphosphate	77200.80333333333		58013.34333333334	41287.14333333333	63455.61333333334			217163.8733333333	667682.2733333333	377260.1733333333	340314.3733333333	133936.57333333333				31538.46333333333		
Fumaric_acid	2781852.883333333	5501278.903333336	1434830.653333336	3762842.74333334	2242712.7133333385	2643137.4733333364		4164455.023333333	5520814.813333333	3321028.113333337	2762316.4333333373	4328063.173333339	6186177.273333333	6781539.663333334	8009301.293333337	4844928.153333336	5021306.853333339	5874094.753333338
Glycine	50433589.71666667	49423644.81666667	44435800.11666667	42265751.516666666	52878939.71666667	46413743.61666667	47224484.31666667	51463639.71666667	54829055.11666667	44975755.61666667	43446172.11666667	54129831.11666667	60783189.91666667	64246885.71666667	63982584.71666667	63465412.71666667	80180276.71666667	76143367.71666667
Hexose	23211597.94333333	24961340.313333336	23736275.543333333	20856407.683333334	21912210.743333336	23200513.973333333	20107687.48333333	23348729.473333333	27295639.673333336	17622024.173333336	19311497.343333334	21433114.923333336	27908243.043333333	27230809.203333333	28723664.71333333	29139502.063333336	29095731.843333334	28690364.243333336
Hexose-phosphate	843870509.5666667	818259399.5666667	755642759.5666667	684857799.5666667	826514289.5666667	791694749.5666667	688064609.5666667	833172229.5666667	877164929.5666667	646310349.5666667	640947889.5666667	785531359.5666667	1004525999.5666668	1085379049.5666666	1009820739.5666668	1102008369.5666666	1311001889.5666666	1280036179.5666666
Ile_Leu	1364458522.1333334	1545744172.1333334	1743605109.1333334	1132442470.1333334	1090672983.1333334	1403544650.1333334	1062112159.1333332	1266905279.1333334	1884534966.1333327	951386018.1333332	1200628986.1333334	1250255276.1333334	1750403995.1333334	1592769587.1333334	1862615000.1333327	2488381489.133333	2127371107.1333327	2148982483.133333
L-Alanine	24452809.6	22135270.19	18560976.2	19682863.3	21143463.8	19908120.1	24185570.0	26552869.2	25627305.9	21392385.1	19573178.17	23419118.4	24407118.9	26061146.6	24894978.9	16640716.27	21313672.0	20747101.4
L-Arginine	12848074.6	13019470.6	11333808.3	8717740.0	10772080.1	17375140.1	8830924.400000002	8993576.3	12576185.3	4887624.2	9433266.400000002	10480289.0	16576254.200000005	12525979.400000002	15428207.200000005	23461656.1	22578510.1	18215917.200000003
L-Asparagine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Aspartic_acid	85804028.48	80919141.14	73083463.61	28369364.81	34497224.010000005	33739366.11	22993878.01	31233419.71	36297593.61	19272606.31	18442216.31	24640182.71	38311884.81	41719569.81	40661795.81	33213296.81	37687636.81	41734911.81
L-Glutamic_acid	205653213.29	195563405.39	175951978.99	140844781.99	169002683.99	163924392.99	143617980.99	190106133.99	193659537.99	139890316.99	128372989.99	174466474.99	235283215.99	262686111.99	257701035.99	223883989.99	295876699.99	295632789.99
L-Glutamine	21753742.583333336	18810914.78333333	16034749.183333334	13695763.083333336	17970271.493333336	16168708.323333334	12284238.233333334	13716599.583333336	13010185.383333337	12823832.383333337	11243207.783333335	16230679.483333334	17422764.483333334	17947083.383333337	17137001.183333334	23263911.28333333	31380949.28333333	29298918.28333333
L-Histidine	30638205.633333333	28288641.633333333	27442366.633333333	24527678.133333333	26794048.53333333	31450044.633333333	21809509.23333333	22700730.23333333	28962462.633333333	17288356.433333334	22408392.83333333	24334397.433333334	33957758.63333333	32801866.633333333	34564403.63333333	43528595.63333333	45736902.63333333	41189962.63333333
L-Lactic_acid	2199680624.093333	2542765424.093333	2775415764.093333	2080013094.0933328	1757371814.0933332	2869430484.093333	1843083224.0933328	1902389044.0933328	2707837374.093333	1641975704.0933332	2282534144.093333	2313840964.093333	2907257464.093333	2054273034.0933328	3028720104.093333	4192974364.093333	3708990114.093333	3238493574.093333
L-Lysine	22933518.813333336	23028350.513333336	22891953.91333333	18597176.91333333	21734960.313333336	28745100.013333336	19929114.28333333	18884558.21333333	24125717.21333333	13576596.213333333	20433821.21333333	20287894.71333333	28913889.313333336	24807210.513333336	27168515.613333333	39795992.71333333	38508852.71333333	31385140.113333333
L-Malic_acid	199415044.87999988	209808502.54	171393866.4799999	157171836.4799999	168200559.37999988	141115324.17999995	111048528.07999992	168084959.07999992	196617288.07999992	127479400.07999992	105609145.07999992	142025374.07999992	237612572.07999992	281478365.0799999	295782746.0799999	195554463.07999992	223557533.07999992	245685623.07999992
L-Methionine	96650857.58666667	103577905.58666667	111862644.58666667	76904903.58666667	77997936.58666667	92422974.58666667	76103044.58666667	89472771.65666667	129689273.58666667	72343442.58666667	82518693.78666668	96160988.06666668	128878098.77666669	121955303.58666667	139427642.58666667	173646107.9466667	157785065.58666667	164311311.58666667
L-Phenylalanine	473599834.8666667	525083162.8666667	566454281.8666667	377923997.4666667	364670163.3666667	462093491.8666667	347373413.3666667	417141280.8666667	625776369.8666667	325538558.76666665	394692234.8666667	413985134.8666667	588825790.8666667	547747157.8666667	623852038.8666667	850011224.8666667	735883768.8666667	744305228.8666667
L-Proline	10491525.033333331	12535154.033333331	7087340.033333333	9524818.733333332	12724057.653333332	15214286.633333337	12320625.353333334	13734070.333333334	16049194.943333331	13917225.623333331	9579212.383333333	17789544.133333333	16434073.333333334	18966977.49333333	19046614.043333337	18597727.82333333	23632484.75333333	23083650.03333333
L-Serine	60262908.156666666	64646815.156666666	64200953.156666666	58055280.156666666	59023710.156666666	68485035.15666667	55146456.156666666	61235459.156666666	77248965.15666667	55368133.156666666	57546903.156666666	69501256.15666667	89248285.15666667	86022464.15666667	93818449.15666668	98488276.15666668	105292307.15666668	107493829.15666668
L-Threonine	283078723.92	289486426.92	281401799.48	234510195.28	245916237.77	268832521.92	226742219.26	250548515.2	308441460.26	216868532.08	233209955.43	270890021.65	342300523.83	341789081.24	365342933.72	416081506.21	456271176.52	449138172.69
L-Tryptophan	7438842.333333333	7276985.333333333	5861197.533333333	6167691.633333334	7942931.033333334	9012844.533333335	6471170.333333333	5357077.223333334	6229433.533333333	4369331.933333334	5740719.133333334	6928929.433333334	8413609.633333333	6883300.633333334	7283526.733333333	10735596.133333333	12079428.533333335	9482850.533333335
L-Tyrosine	396880514.3066666	445171883.9066666	486576426.9066666	328939721.8066666	319536913.90666664	394131384.9066666	296338856.50666666	356363844.90666664	527401142.9066666	274566981.8066666	331175546.3066666	359008317.3066666	503238067.9066666	465480947.9066666	539107058.9066666	700809895.9066666	606765319.9066666	629631807.9066666
L-Valine	383925888.89666665	426836324.39666665	458292231.9966666	323637960.27666664	316949560.09666663	391895502.0966666	308762091.34666663	357769753.69666666	522326351.89666665	284433027.52666664	344544920.99666667	363897025.89666665	472999565.19666666	435371110.9966666	508884641.39666665	634265084.0966667	548492299.1966666	564427176.2966666
Pyruvic_acid	1875311.6333333333	2239637.6333333333	2127901.6333333333	2333003.6333333333	1698515.6333333333	2686977.6333333333	2881917.6333333333	4024104.633333333	7496577.633333333	3909613.633333333	5712169.633333333	4559319.633333333	6644629.633333333	5781981.633333333	7610034.633333333	16253003.633333333	13348093.633333333	13833043.633333333
Succinic_acid											98581386.40666652				182340124.60666656	76158655.60666656		105442837.60666656
cis-Aconitic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
