metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_cell_T0-1	input_L-Cycloserine_cell_T0-2	input_L-Cycloserine_cell_T0-3	input_L-Cycloserine_cell_T1h-1	input_L-Cycloserine_cell_T1h-2	input_L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	geommean_1	geommean_0
L-Aspartic_acid	-1.3139414696079856	-1.9639610121239315	0.024767306717813353	0.06501418013426005	0.6718284244111427	0.40222050329663783	('0/3', '0/3')	1.5925302167756583	2.370441855257182	cell	85804028.48	80919141.14	73083463.61	28369364.81	34497224.010000005	33739366.11	3.541301497424983	3.339692561826737	3.0162986948733206	1.170859642167801	1.4237684780976623	1.3924901877464007	1.3240735740021408	3.291909694184923
L-Threonine	-0.19093508657993252	-1.9639610121239315	0.024767306717813353	0.06501418013426005	0.22863112266965166	0.8760377311074518	('0/3', '0/3')	0.6188938663477916	2.706953712693041	cell	283078723.92	289486426.92	281401799.48	234510195.28	245916237.77	268832521.92	13.938405377026891	14.253911822417086	13.855835933772056	11.546958109724045	12.108575887887207	13.236942067424264	12.27767431367874	14.015006292203642
L-Methionine	-0.3381067624250954	-1.9639610121239315	0.024767306717813353	0.06501418013426005	0.12094268333872034	0.7910787575505891	('0/3', '0/3')	0.3333535826070637	2.756293918776805	cell	96650857.58666667	103577905.58666667	111862644.58666667	76904903.58666667	77997936.58666667	92422974.58666667	7.620577399743664	8.166750571444748	8.81997286416535	6.063678945388546	6.149860721577183	7.2872238171366	6.477208280855539	8.187817229362684
L-Glutamic_acid	-0.286282986700815	-1.9639610121239315	0.024767306717813353	0.06501418013426005	0.1072282550372422	0.820012048881429	('0/3', '0/3')	0.3282959851317555	3.0616555777927443	cell	205653213.29	195563405.39	175951978.99	140844781.99	169002683.99	163924392.99	9.715391885443301	9.238732969061038	8.312257326592713	6.653736307650557	7.983961341460957	7.744054624789593	7.437337209321492	9.069790156701595
L-Phenylalanine	-0.38176698956075955	-1.9639610121239315	0.024767306717813353	0.06501418013426005	0.0570230357350942	0.7674969968366183	('0/3', '0/3')	0.1586369434574486	2.7819799737497535	cell	473599834.8666667	525083162.8666667	566454281.8666667	377923997.4666667	364670163.3666667	462093491.8666667	6.529479455392606	7.239275590701391	7.8096555859417895	5.210405062436663	5.027675612192036	6.370842511935157	5.505691443918125	7.173567410179918
L-Malic_acid	-0.31425433082773435	-1.9639610121239315	0.024767306717813353	0.06501418013426005	0.04648652422610107	0.8042665753378596	('0/3', '0/3')	0.13551617507978264	2.915171167038846	cell	199415044.87999988	209808502.54	171393866.4799999	157171836.4799999	168200559.37999988	141115324.17999995	8.462688770366176	8.903761797115427	7.273538212940555	6.66998990170237	7.138022037860773	5.988590630076581	6.581767887995622	8.183565113632536
L-Tyrosine	-0.3510837204670207	-1.9639610121239315	0.024767306717813353	0.06501418013426005	0.016457958662750842	0.783994957053441	('0/3', '0/3')	0.046506283458757736	2.825762563373975	cell	396880514.3066666	445171883.9066666	486576426.9066666	328939721.8066666	319536913.90666664	394131384.9066666	6.7139210317285105	7.530853156942118	8.231282686828308	5.564584898472067	5.405520123454333	6.667414748269753	5.853414030299864	7.466137349019792
Hexose	-0.1250841083744295	-1.9639610121239315	0.024767306717813353	0.06501418013426005	0.0027001588086959893	0.9169505839017528	('0/3', '0/3')	0.00848036332611457	3.1406905767183613	cell	23211597.94333333	24961340.313333336	23736275.543333333	20856407.683333334	21912210.743333336	23200513.973333333	17.759231028159963	19.09796173788756	18.160662706256765	15.957271161169198	16.765067785449585	17.75075066483385	16.80841984714161	18.330780461057604
L-Valine	-0.3005585070824303	-1.5275252316519468	0.06331522897380859	0.13296198084499805	-0.056385047012825734	0.8119380118850966	('0/3', '0/3')	-0.15652310486068455	2.7759683311974666	cell	383925888.89666665	426836324.39666665	458292231.9966666	323637960.27666664	316949560.09666663	391895502.0966666	7.540299718247959	8.383060141725503	9.000853778656698	6.356245544424085	6.224885447459231	7.6968228231086435	6.727925488545465	8.286255095909445
Ile_Leu	-0.3616573725788984	-1.5275252316519468	0.06331522897380859	0.13296198084499805	-0.05986246723598933	0.7782699869063089	('0/3', '0/3')	-0.1732262203358026	2.893736732448925	cell	1364458522.1333334	1545744172.1333334	1743605109.1333334	1132442470.1333334	1090672983.1333334	1403544650.1333334	6.047158024814666	6.850599797062337	7.72750175748703	5.018883652249669	4.833765025038105	6.220384245150469	5.323982573211536	6.840791322783539
L-Glutamine	-0.2404963796640105	-1.091089451179962	0.13761676203741713	0.2223040002142892	-0.24019945818923985	0.8464540277571742	('0/3', '0/3')	-0.7653601592596457	3.186352563113031	cell	21753742.583333336	18810914.78333333	16034749.183333334	13695763.083333336	17970271.493333336	16168708.323333334	8.602043904145606	7.438366718899565	6.340592472243041	5.415691341032575	7.105952631502687	6.393563697733429	6.266231031443378	7.402919504142283
L-Proline	0.32807624935586627	1.091089451179962	0.13761676203741713	0.2223040002142892	-0.370414061783056	1.255338336703841	('0/3', '0/3')	-1.1598488422141542	3.13122249363593	cell	10491525.033333331	12535154.033333331	7087340.033333333	9524818.733333332	12724057.653333332	15214286.633333337	4.042268368899799	4.829655983018821	2.7306736003925196	3.6698071408046666	4.902438455106586	5.86189609402845	4.724594092178985	3.763602173247107
L-Tryptophan	0.15892337859917824	1.091089451179962	0.13761676203741713	0.2223040002142892	-0.4033290213021948	1.1164536656565616	('0/3', '0/3')	-1.201336546142067	2.9785522059965137	cell	7438842.333333333	7276985.333333333	5861197.533333333	6167691.633333334	7942931.033333334	9012844.533333335	7.030286146262649	6.877318658340945	5.539288772724647	5.828949600120582	7.506689280688211	8.51784097872116	7.196523633490803	6.445877562915866
L-Lysine	-0.019097423603066828	-0.6546536707079772	0.25634538013096164	0.26916264913750976	-0.013440838943685517	0.9868499027514595	('0/3', '0/3')	-0.045462394830916075	3.3824075283838013	cell	22933518.813333336	23028350.513333336	22891953.91333333	18597176.91333333	21734960.313333336	28745100.013333336	7.643978568043166	7.675586952620837	7.630124557789921	6.198631047799726	7.244486647020588	9.581038576183527	7.549276475932696	7.649873050485571
