metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_cell_T2h-1	input_L-Cycloserine_cell_T2h-2	input_L-Cycloserine_cell_T2h-3	input_L-Cycloserine_cell_T4h-1	input_L-Cycloserine_cell_T4h-2	input_L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	geommean_4	geommean_2
L-Alanine	-0.24901132748532534	-1.9639610121239315	0.024767306717813353	0.25326091589523436	0.10981168030298963	0.8414728753388	('0/3', '0/3')	0.32115533050219724	2.924600822208289	cell	24185570.0	26552869.2	25627305.9	21392385.1	19573178.17	23419118.4	10.134135967273066	11.126071735915968	10.738246089114261	8.963747361243353	8.201470913707679	9.812980636770869	8.968657367815213	10.658284575369333
L-Aspartic_acid	-0.524545854278852	-1.5275252316519468	0.06331522897380859	0.25326091589523436	-0.09220217934011395	0.6951779104148587	('0/3', '0/3')	-0.25759676955969857	2.7938251720653984	cell	22993878.01	31233419.71	36297593.61	19272606.31	18442216.31	24640182.71	3.597844733739624	4.887083186726138	5.679472856225678	3.015578541719442	2.88564768416028	3.8554415032993226	3.2252448427689706	4.639452425702442
Hexose	-0.27102683678511313	-1.5275252316519468	0.06331522897380859	0.25326091589523436	-0.13701469114624262	0.828729488449657	('0/3', '0/3')	-0.42347819360515526	3.090750269641931	cell	20107687.48333333	23348729.473333333	27295639.673333336	17622024.173333336	19311497.343333334	21433114.923333336	6.424468753279284	7.459991759596139	8.721041856625787	5.630291586983856	6.170083524727329	6.84794694688444	6.196228701516174	7.476780768484235
Hexose-phosphate	-0.20930129799153596	-1.5275252316519468	0.06331522897380859	0.25326091589523436	-0.41261523724114035	0.864956030970341	('0/3', '0/3')	-1.06037592312002	2.5698903661677326	cell	688064609.5666667	833172229.5666667	877164929.5666667	646310349.5666667	640947889.5666667	785531359.5666667	7.4857030272936225	9.064381156083687	9.542993604667869	7.031443374728072	6.973103238500136	8.546078950413643	7.483058834012502	8.65137482840338
L-Glutamic_acid	-0.2516587986193094	-1.5275252316519468	0.06331522897380859	0.25326091589523436	-0.47250919132682573	0.8399301152589392	('0/3', '0/3')	-1.2092624577870978	2.55923584129959	cell	143617980.99	190106133.99	193659537.99	139890316.99	128372989.99	174466474.99	5.629831805545778	7.452169653051807	7.591463261827344	5.483707196336509	5.032227420527754	6.839094263332876	5.736025002303694	6.829169353613847
Ile_Leu	-0.27611250854616387	-1.091089451179962	0.13761676203741713	0.3440419050935428	-0.2016217425988036	0.8258132613925343	('0/3', '0/3')	-0.6344741152322722	3.146853643134999	cell	1062112159.1333332	1266905279.1333334	1884534966.1333327	951386018.1333332	1200628986.1333334	1250255276.1333334	3.5817556506388644	4.272378489728197	6.355208068875167	3.208354425740168	4.048875270303753	4.2162297658711365	3.797638913940401	4.598665450754087
L-Phenylalanine	-0.25651169181167977	-1.091089451179962	0.13761676203741713	0.3440419050935428	-0.2218631998946118	0.8371095307359294	('0/3', '0/3')	-0.682089195004909	3.0743683284515466	cell	347373413.3666667	417141280.8666667	625776369.8666667	325538558.76666665	394692234.8666667	413985134.8666667	3.5570263994660034	4.271433826697622	6.407810679017639	3.3334423505660924	4.041560594630378	4.2391155944709125	3.850990383966418	4.600342299986587
L-Malic_acid	-0.3135411588161857	-1.091089451179962	0.13761676203741713	0.3440419050935428	-0.34037444319680266	0.8046642492664233	('0/3', '0/3')	-0.9670514701566861	2.841140072310136	cell	111048528.07999992	168084959.07999992	196617288.07999992	127479400.07999992	105609145.07999992	142025374.07999992	3.4667713536265112	5.2473646538947305	6.1381019066945885	3.979718957251371	3.2969618343844527	4.433822823783197	3.874790438739084	4.815412692028456
L-Histidine	-0.20168111258919943	-0.6546536707079772	0.25634538013096164	0.3943775078937871	-0.21628107169352306	0.8695367376940081	('0/3', '0/3')	-0.7300381300964283	3.3754138740856376	cell	21809509.23333333	22700730.23333333	28962462.633333333	17288356.433333334	22408392.83333333	24334397.433333334	6.305932016721945	6.5636168173173415	8.374114174174654	4.998700300089016	6.47909131284025	7.035970146818373	6.107991105883905	7.0244198331196
L-Valine	-0.23138906804622755	-0.6546536707079772	0.25634538013096164	0.3943775078937871	-0.231763269087146	0.851814345594985	('0/3', '0/3')	-0.7232733477734072	3.1207419131693688	cell	308762091.34666663	357769753.69666666	522326351.89666665	284433027.52666664	344544920.99666667	363897025.89666665	4.050415463381049	4.693309779003907	6.852002858985397	3.7312609458160284	4.519823239140549	4.773688811154456	4.31794453395557	5.069114597899291
L-Tyrosine	-0.2569093062137664	-0.6546536707079772	0.25634538013096164	0.3943775078937871	-0.24786785348682822	0.8368788507008883	('0/3', '0/3')	-0.7658054706485093	3.0895715595052122	cell	296338856.50666666	356363844.90666664	527401142.9066666	274566981.8066666	331175546.3066666	359008317.3066666	3.6211882882280872	4.354678953466639	6.444712868252443	3.355141308747231	4.046884110205307	4.386993758876597	3.9054060988934407	4.666632566497113
L-Methionine	-0.20711839292096937	-0.6546536707079772	0.25634538013096164	0.3943775078937871	-0.34977160728562817	0.8662657644924985	('0/3', '0/3')	-1.0552591092686816	3.016994768265861	cell	76103044.58666667	89472771.65666667	129689273.58666667	72343442.58666667	82518693.78666668	96160988.06666668	4.003821783785414	4.707210258935986	6.8230218847325315	3.8060271164666704	4.341352511545363	5.059080893054095	4.372429855546358	5.047446216586828
L-Threonine	-0.11832745878755359	-0.6546536707079772	0.25634538013096164	0.3943775078937871	-0.48210539148885806	0.9212550586318858	('0/3', '0/3')	-1.4242289922642017	2.9541859879762766	cell	226742219.26	250548515.2	308441460.26	216868532.08	233209955.43	270890021.65	7.314811269372872	8.082813639607492	9.95046743749364	6.996281449517363	7.523463498225749	8.739040261637074	7.719389298970727	8.37920967341492
L-Lysine	-0.22998548287714013	-0.2182178902359924	0.41362967328135564	0.41362967328135564	-0.14686180962375917	0.8526434714520921	('0/3', '0/3')	-0.4960329618376962	3.377549024545374	cell	19929114.28333333	18884558.21333333	24125717.21333333	13576596.213333333	20433821.21333333	20287894.71333333	6.380774332546359	6.046335156494492	7.724415393505444	4.34686636896007	6.542368118332188	6.495646319641064	5.695229271832445	6.679496721101025
L-Arginine	-0.3491948290155427	-0.2182178902359924	0.41362967328135564	0.41362967328135564	-0.21452188238446834	0.7850220980622008	('0/3', '0/3')	-0.7156780014102218	3.336153838737888	cell	8830924.400000002	8993576.3	12576185.3	4887624.2	9433266.400000002	10480289.0	3.831838227397853	3.902414731051184	5.456949397888507	2.120795559150619	4.093201250907292	4.547516228808075	3.4049603083826367	4.337406955533686
L-Glutamine	0.031410596513925665	-0.2182178902359924	0.41362967328135564	0.41362967328135564	-0.28719187519399886	1.0220109095319485	('0/3', '0/3')	-0.9279711532208266	3.231188739562983	cell	12284238.233333334	13716599.583333336	13010185.383333337	12823832.383333337	11243207.783333335	16230679.483333334	7.958479694963631	8.886450848184458	8.428792590493012	8.308061736985858	7.284036596352729	10.515225335915712	8.601287665957333	8.416042906916203
