metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_med_T0-1	input_L-Cycloserine_med_T0-2	input_L-Cycloserine_med_T0-3	input_L-Cycloserine_med_T1h-1	input_L-Cycloserine_med_T1h-2	input_L-Cycloserine_med_T1h-3	L-Cycloserine_med_T0-1	L-Cycloserine_med_T0-2	L-Cycloserine_med_T0-3	L-Cycloserine_med_T1h-1	L-Cycloserine_med_T1h-2	L-Cycloserine_med_T1h-3	geommean_1	geommean_0
Hexose	0.11972170927938534	1.9639610121239315	0.024767306717813353	0.17939314875912432	0.692769242607956	1.0865252554693678	('0/3', '0/3')	1.5910581676285958	2.296663982423638	med	23957348.64333333	23850557.64333333	23774741.64333333	26178846.64333333	25622838.64333333	25977348.64333333	22.88667913569061	22.78466069500395	22.71223296140187	25.00889694382551	24.477737303319206	24.81640402062523	24.766704312436417	22.794411991590064
L-Serine	0.060459168707895555	1.9639610121239315	0.024767306717813353	0.17939314875912432	0.0994453199732585	1.0427976007823976	('0/3', '0/3')	0.33220285931388815	3.340558001152992	med	87723164.15666667	84905739.15666667	87898215.19666667	93428854.77666669	88745799.15666667	89537019.15666667	34.382299968143464	33.27803574763786	34.450909638404184	36.61859374879085	34.78311249771807	35.09322401321483	35.48932921075117	34.03280673461848
Pyruvic_acid	0.03890677492162385	1.5275252316519468	0.06331522897380859	0.17939314875912432	-0.025423615926883643	1.0273350521782831	('0/3', '0/3')	-0.08315677441191127	3.2708476501164796	med	1954504808.4333327	1917436849.8333333	1976663673.6333327	1996403404.1333327	1973584354.5333333	2038557272.233333	52.78125136232631	51.78023400390746	53.37964980523554	53.912719702454275	53.296493030823626	55.05108165402394	54.0818961806303	52.64289976863844
L-Threonine	0.028678608961644127	1.5275252316519468	0.06331522897380859	0.17939314875912432	-0.0438371353322454	1.0200773899766624	('0/3', '0/3')	-0.12149997779046373	2.7716222072816805	med	287841134.94	283733608.09	287359505.61	294195236.59	287362085.29	294661549.58	73.0043149022081	71.96253474215841	72.88216064763712	74.61588733390356	72.88281492441763	74.73415694944009	74.0727602539405	72.61484371850959
L-Histidine	0.04051919088605003	1.5275252316519468	0.06331522897380859	0.17939314875912432	-0.05646224159371468	1.0284838864216839	('0/3', '0/3')	-0.18069785641306169	3.200330899246069	med	64943662.63333333	66958084.63333333	66679871.63333333	69297368.63333334	68234592.63333334	66712264.63333333	47.738917197364444	49.2196825431919	49.01517317566181	50.93924809661051	50.15802059255371	49.03898468677884	50.039327356648194	48.653486960059
L-Valine	0.024421926988563155	1.5275252316519468	0.06331522897380859	0.17939314875912432	-0.24586951158489673	1.0170720801608528	('0/3', '0/3')	-0.7400894539155516	3.010090389592712	med	606569154.8966666	603361959.6966666	613994054.9966667	632326391.4966667	606872584.2966666	616082374.7966666	63.0368997529524	62.70359621999416	63.80852270723718	65.71368660958687	63.06843325332163	64.02554858931839	64.25995163143315	63.18131515444831
L-Methionine	0.03349937124736889	1.091089451179962	0.13761676203741713	0.1799603811258532	-0.21193149454421709	1.0234916775576428	('0/3', '0/3')	-0.6475312394193722	3.0553799510165405	med	118873593.96666668	116214414.89666668	117400577.75666668	123694319.58666667	117288366.58666667	119857131.58666667	48.55730263469892	47.47108526250393	47.95560724123043	50.52646521352047	47.90977139527955	48.95905656737082	49.120036987785035	47.99261006694274
L-Tyrosine	0.03476588463324747	1.091089451179962	0.13761676203741713	0.1799603811258532	-0.22610134202445625	1.0243905751228386	('0/3', '0/3')	-0.7368589227260713	3.258976333923613	med	554116402.9066666	532238404.9066666	554693942.9066666	576121956.9066666	544771812.9066666	560309911.9066666	41.151004442660174	39.52625269704878	41.19389498150931	42.785229030972395	40.45703605878324	41.61096035632329	41.60688676719705	40.616233473455964
L-Phenylalanine	0.04230571414816566	1.091089451179962	0.13761676203741713	0.1799603811258532	-0.22856942506678982	1.0297582711389828	('0/3', '0/3')	-0.6855175530754636	2.9991655833895976	med	685784788.8666667	665904616.8666667	677305269.8666667	717129140.8666667	674076428.8666667	698688642.8666667	40.15229377985064	38.98832146740386	39.65582295762302	41.987487050793455	39.466776226775174	40.90780679954965	40.77424337163285	39.59593674982941
Hexose-phosphate	-0.0727471928082035	-1.091089451179962	0.13761676203741713	0.1799603811258532	-0.241892050111228	0.9508257022849844	('0/3', '0/3')	-0.6987393099927814	2.8886410680776144	med	2069691.566666667	1915534.566666667	1959712.566666667	1839084.566666667	1842182.566666667	1971316.566666667	25.92547519254504	23.994465981499232	24.547850679732733	23.036834124467426	23.075640448772	24.693205291492013	23.58946050136595	24.809447667092662
L-Asparagine	0.0639401590593366	1.091089451179962	0.13761676203741713	0.1799603811258532	-0.29031024483108114	1.0453167410525928	('0/3', '0/3')	-0.7996707764173188	2.754538603632856	med	3513705.7	3293797.9	3193591.3	3413033.6	3493789.4	3540365.49	27.910491240581653	26.16369305949449	25.36771989886568	27.110820464164334	27.752289682410517	28.122258502498536	27.658623274164118	26.459562147940893
L-Lactic_acid	0.06265441164063036	1.091089451179962	0.13761676203741713	0.1799603811258532	-0.37030035082248614	1.0443855570249116	('0/3', '0/3')	-1.1120670891674536	3.003148894397224	med	8901197393.093334	8704911808.093334	9440938944.093334	9878848530.093334	9006229764.093334	9366152387.093334	22.770921642469673	22.268786538820653	24.15168110911654	25.271935433217877	23.039614019949088	23.96036316006415	24.073303965673407	23.05020765918078
L-Arginine	-0.01599322325489563	-1.091089451179962	0.13761676203741713	0.1799603811258532	-0.4742745546281814	0.9889755618668912	('0/3', '0/3')	-1.2156383419776375	2.5631531991647023	med	76269336.1	76291863.1	74563374.1	75540123.1	74840935.1	74232404.1	94.92298357135671	94.95102013441408	92.79978424670232	94.01542258867995	93.14522999974393	92.38786693524938	93.18046799908277	94.21918153688834
