metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_med_T4h-1	input_L-Cycloserine_med_T4h-2	input_L-Cycloserine_med_T4h-3	input_L-Cycloserine_med_T6h-1	input_L-Cycloserine_med_T6h-2	input_L-Cycloserine_med_T6h-3	L-Cycloserine_med_T4h-1	L-Cycloserine_med_T4h-2	L-Cycloserine_med_T4h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	geommean_6	geommean_4
L-Histidine	0.05612223314917121	1.9639610121239315	0.024767306717813353	0.046782690466980775	0.7908739247399004	1.0396675178592898	('0/3', '0/3')	1.7502331266744449	2.2130368342211497	med	67765953.63333334	67899346.63333334	67707721.63333334	70698974.63333334	70265050.63333334	70476819.63333334	50.13569614361914	50.23438509518133	50.09261401016859	52.30565084438974	51.984618221855776	52.14129256446276	52.14368914529715	50.15419665381366
Hexose-phosphate	1.255844876153559	1.9639610121239315	0.024767306717813353	0.046782690466980775	0.43744689665489667	2.3880695863694306	('0/3', '0/3')	1.1374424323031649	2.600184024623444	med	722994.7666666666	779382.1666666666	1236237.566666667	1966093.566666667	2017738.566666667	2391439.566666667	1.1267495587345895	1.214626374719183	1.9266116394657025	3.0640540717688673	3.1445401052005266	3.7269335833580333	3.2991475470733698	1.3815123168538175
L-Methionine	0.11670984816079459	1.9639610121239315	0.024767306717813353	0.046782690466980775	0.4278937309947411	1.0842593229234758	('0/3', '0/3')	1.1737050966119291	2.74298268844316	med	111123899.58666667	114168861.58666667	112199350.58666667	125014811.20666668	120112695.58666667	120835515.58666667	21.943191431702648	22.54446788363412	22.155556433796647	24.686174120145807	23.71817298024605	23.860905350957115	24.084666998406863	22.213013519189907
L-Alanine	0.37832841303646464	1.9639610121239315	0.024767306717813353	0.046782690466980775	0.3802956751764233	1.2998349213428158	('0/3', '0/3')	1.1003361606116817	2.8933701654672346	med	1534609.27	1461636.14	1605580.6700000004	1895489.0	1889533.49	2208299.43	5.946713514558152	5.663937757331943	6.221732434212608	7.345146594218289	7.32206859482429	8.557307922799177	7.7207082250038725	5.93976057900327
L-Tyrosine	0.06714286666973195	1.9639610121239315	0.024767306717813353	0.046782690466980775	0.33571393010769307	1.047639867255578	('0/3', '0/3')	0.9501513262168402	2.830240990929518	med	544061256.9066666	549809005.9066666	543916256.9066666	586539602.9066666	565405779.9066666	564118256.9066666	36.12631610089647	36.50797348709449	36.11668792802414	38.94692891895366	37.54361787552575	37.45812481331133	37.97680784030869	36.24986889797696
L-Tryptophan	-0.12186928035814523	-1.9639610121239315	0.024767306717813353	0.046782690466980775	0.1924122163420166	0.9189961480649088	('0/3', '0/3')	0.5875109707945434	3.0533974503481147	med	21775685.73333333	23323834.73333333	21996218.73333333	21142223.73333333	20031621.73333333	20473595.73333333	20.19608794988108	21.631934965052633	20.400623591990996	19.608576979086536	18.578537514704518	18.988450933040497	19.053834089729296	20.733312244942642
L-Asparagine	0.1562867802095275	1.9639610121239315	0.024767306717813353	0.046782690466980775	0.021426672788781947	1.114415153243464	('0/3', '0/3')	0.0642190979151529	2.997156793693847	med	3262869.5	3519631.2	3055583.99	3643395.45	3770870.5	3534957.41	13.671908182444884	14.747777869286011	12.803351085609949	15.266368472517048	15.800507879303796	14.811996967201164	15.287628970623352	13.718073490053749
Glycine	0.06413518166975841	1.9639610121239315	0.024767306717813353	0.046782690466980775	0.01950237825397928	1.0454580558649826	('0/3', '0/3')	0.05546848636980428	2.8441908800782514	med	21211440.21666667	21916014.516666666	21437980.81666667	22619428.21666667	22936445.21666667	21949656.21666667	34.97345504364819	36.13515822618824	35.346975531117764	37.294947809674724	37.81764592372644	36.19062671255804	37.09484262945999	35.48190424413417
Hexose	0.05956054518734113	1.9639610121239315	0.024767306717813353	0.046782690466980775	0.01153309632712016	1.042148266972351	('0/3', '0/3')	0.030323159406194122	2.6292297008643715	med	25046692.64333333	26543300.64333333	25414377.64333333	26564763.64333333	26907684.64333333	26754142.64333333	35.386239277908224	37.50066330775425	35.90570863756282	37.530986467160446	38.015468978772596	37.79854317429298	37.78114636517674	36.253139368487865
L-Lysine	-0.010316883524132183	-1.5275252316519468	0.06331522897380859	0.1076358892554746	-0.11483903975904611	0.9928743896818347	('0/3', '0/3')	-0.3180520419373636	2.769546337244691	med	118911480.71333334	120226801.71333334	119815398.71333334	118569342.71333334	118721623.71333334	119101821.71333334	198.6962307157862	200.8940784199231	200.20664079897352	198.1245320826784	198.3789874180936	199.01428275772358	198.50558165834767	199.9302063999843
L-Valine	0.026181990845397237	1.091089451179962	0.13761676203741713	0.15596566364240608	-0.17009814685561123	1.0183136483057245	('0/3', '0/3')	-0.5195916904337139	3.0546581490671514	med	604944312.9966667	610006303.0966667	613850979.9966667	634953588.1966666	608746457.8966666	618840800.3966666	61.577564373400904	62.09282671167499	62.484178170343846	64.63222252246806	61.96458647991013	62.99209432112251	63.18678102182961	62.05041160644375
Pyruvic_acid	0.02536741571016522	1.091089451179962	0.13761676203741713	0.15596566364240608	-0.17161877760362607	1.0177388498736313	('0/3', '0/3')	-0.5707713220305806	3.325809273323486	med	1976002782.6333327	2050883506.233333	2053050814.233333	2058883585.8333333	2032464226.0333333	2095958119.0333333	54.78546078751125	56.86155854536017	56.92164801916659	57.08336392492481	56.35087669713601	58.111270060834734	57.17728561800325	56.18070453447143
L-Serine	0.022352879472174594	1.091089451179962	0.13761676203741713	0.15596566364240608	-0.3962565548560504	1.0156144871652222	('0/3', '0/3')	-1.1875635964478732	2.9969563453134143	med	91506652.15666668	89845977.15666667	88933063.15666667	91529537.15666668	89834464.15666667	93153026.15666668	64.98669344240915	63.80730621111035	63.15896796619554	65.00294603655809	63.799129845961275	66.15592431150895	64.97887365875633	63.97986094125638
L-Lactic_acid	-0.05794265912445151	-1.091089451179962	0.13761676203741713	0.15596566364240608	-0.4273240065672913	0.9606330441950539	('0/3', '0/3')	-1.2651496970772094	2.960633331228454	med	10009259870.093334	9355429905.093334	10241150034.093334	9544306546.093334	9016586670.093334	9878715228.093334	24.199440603488206	22.618672433998093	24.760082681232443	23.07532048935758	21.79944935000399	23.883822131075302	22.903351121262443	23.84193554413269
L-Proline	-0.1261091280847621	-1.091089451179962	0.13761676203741713	0.15596566364240608	-0.43484691402705916	0.9162993315008823	('0/3', '0/3')	-1.1132369401499105	2.560066322744186	med	7961701.233333332	8746837.833333334	8618266.233333332	8653770.533333333	7155313.833333334	7456841.373333333	12.806896533893	14.069838071949526	13.863022577353567	13.92013347404291	11.50977174920534	11.994797737210483	12.432763714644839	13.568452237414808
L-Phenylalanine	0.00889261375145368	0.6546536707079772	0.25634538013096164	0.27236696638914676	-0.46540708560804367	1.0061829260120738	('0/3', '0/3')	-1.3072280258642195	2.8087841081240867	med	698033362.8666667	688140911.8666667	696149533.8666667	703227744.8666667	706686803.8666667	685431323.8666667	92.24091935634053	90.93369133047631	91.99198266059791	92.92732576133001	93.38441964715444	90.57563553903036	92.28754314987236	91.72044244046828
Ile_Leu	0.0006883601931950692	0.2182178902359924	0.41362967328135564	0.41362967328135564	-0.23654561674673774	1.0004772487740983	('0/3', '0/3')	-0.7933837757483957	3.35404133316851	med	2330571449.133333	2317860683.133333	2309607325.133333	2362583764.133333	2325626497.133333	2273957628.133333	88.20008772915094	87.7190509101675	87.40670395340254	89.41158845034236	88.0129468455798	86.05754711717385	87.81656498788972	87.77467463202471
L-Arginine	-0.01349618401164804	-0.6546536707079772	0.25634538013096164		-0.5174701001060822	0.9906887785108163	('0/3', '0/3')	-1.5184437159482655	2.934360295671155	med	74575919.1	75707331.1	76344375.1	75045885.1	76113451.1	73373127.1	73.65006758783657	74.76743323716839	75.3965684087177	74.11419901366013	75.16851130378484	72.46220811304654	73.90655814860358	74.60118631776415
L-Threonine	0.007961157251351013	0.6546536707079772	0.25634538013096164		-0.9492690022524907	1.0055335073095826	('0/3', '0/3')	-2.1975233227319677	2.314963743172413	med	287201805.05	294807087.19	288309753.27	294971503.41	292724826.36	287431553.38	85.57111677427105	87.83709308312439	85.90122739630198	87.88608051744346	87.21668826147851	85.63956976039242	86.9089937780064	86.43072870892303
