metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_cell_T4h-1	input_L-Cycloserine_cell_T4h-2	input_L-Cycloserine_cell_T4h-3	input_L-Cycloserine_cell_T6h-1	input_L-Cycloserine_cell_T6h-2	input_L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	geommean_6	geommean_4
L-Aspartic_acid	0.9638711779686552	1.9639610121239315	0.024767306717813353	0.028482402725485356	0.5873391964425853	1.9505367467272923	('0/3', '0/3')	1.3718102348559937	2.33563542696421	cell	19272606.31	18442216.31	24640182.71	38311884.81	41719569.81	40661795.81	1.9338015409513791	1.850480715746881	2.472380877162303	3.8441911120182968	4.186116142711091	4.079979745885669	4.034206117860341	2.068254353387155
Hexose	0.5271632563462183	1.9639610121239315	0.024767306717813353	0.028482402725485356	0.5222376151624164	1.4410928146486421	('0/3', '0/3')	1.3143100864471204	2.5166898137706317	cell	17622024.173333336	19311497.343333334	21433114.923333336	27908243.043333333	27230809.203333333	28723664.71333333	3.9948301852554726	4.377825824706953	4.858786573982186	6.326667732964819	6.173096660429306	6.511519999026104	6.335586541230332	4.396376469877156
L-Malic_acid	1.1236751671919458	1.9639610121239315	0.024767306717813353	0.028482402725485356	0.5026312668917702	2.179013549155293	('0/3', '0/3')	1.256187009044412	2.4992217790440447	cell	127479400.07999992	105609145.07999992	142025374.07999992	237612572.07999992	281478365.0799999	295782746.0799999	1.6753076735366914	1.3878933461966578	1.8664678284007117	3.1226548374451237	3.6991299351672193	3.887115125240703	3.554269248247449	1.6311368277747889
Hexose-phosphate	0.5861647787325697	1.9639610121239315	0.024767306717813353	0.028482402725485356	0.4927526683772583	1.5012505544266928	('0/3', '0/3')	1.22010537136903	2.4761009927903634	cell	646310349.5666667	640947889.5666667	785531359.5666667	1004525999.5666668	1085379049.5666666	1009820739.5666668	3.6008494503686714	3.5709730741717403	4.376504517124741	5.596609888493771	6.047074066962104	5.62610896990509	5.7529794279902395	3.832124764934541
L-Histidine	0.6766564114313791	1.9639610121239315	0.024767306717813353	0.028482402725485356	0.49012769541402995	1.5984309371384944	('0/3', '0/3')	1.2864979134304146	2.624821909612065	cell	17288356.433333334	22408392.83333333	24334397.433333334	33957758.63333333	32801866.633333333	34564403.63333333	2.626692102774299	3.4046005887346333	3.6972265009915546	5.159343907215743	4.983724414421969	5.251514012386364	5.130318665553928	3.2095967028379766
L-Threonine	0.5471545844626484	1.9639610121239315	0.024767306717813353	0.028482402725485356	0.4775170588793223	1.4612009375233794	('0/3', '0/3')	1.2317553187689638	2.5795001369369968	cell	216868532.08	233209955.43	270890021.65	342300523.83	341789081.24	365342933.72	3.7677364045155106	4.0516419350545485	4.70627152036146	5.946912318488267	5.938026839130424	6.347236541452507	6.074438297445918	4.157154667407765
L-Glutamic_acid	0.7819496811708082	1.9639610121239315	0.024767306717813353	0.028482402725485356	0.45279820835375983	1.7194529997487291	('0/3', '0/3')	1.1134850239663958	2.4591197655456667	cell	139890316.99	128372989.99	174466474.99	235283215.99	262686111.99	257701035.99	2.5612318319766083	2.350362737057105	3.1942817699746984	4.307766793941094	4.809482502602772	4.718211458182053	4.606552001263357	2.679079917820686
L-Phenylalanine	0.6398064404353656	1.9639610121239315	0.024767306717813353	0.028482402725485356	0.44839416225897843	1.5581200996986333	('0/3', '0/3')	1.2161513438658633	2.7122372372980457	cell	325538558.76666665	394692234.8666667	413985134.8666667	588825790.8666667	547747157.8666667	623852038.8666667	2.9597650128559887	3.588503530979924	3.763912707185862	5.353546999400395	4.980064051051725	5.672002250154034	5.3276740617695095	3.419296152331243
L-Serine	0.5671921116806911	1.9639610121239315	0.024767306717813353	0.028482402725485356	0.4296767808098116	1.4816370821526181	('0/3', '0/3')	1.0821384688392248	2.5184941732241595	cell	55368133.156666666	57546903.156666666	69501256.15666667	89248285.15666667	86022464.15666667	93818449.15666668	3.626610526097219	3.7693198746964764	4.552329522137728	5.845759138554626	5.634467990976953	6.1451046993213785	5.871391503126324	3.9627730527613325
L-Tyrosine	0.6505878061558454	1.9639610121239315	0.024767306717813353	0.028482402725485356	0.4024820426726939	1.569807661950386	('0/3', '0/3')	1.1063592761674395	2.748841336673378	cell	274566981.8066666	331175546.3066666	359008317.3066666	503238067.9066666	465480947.9066666	539107058.9066666	2.853031107987881	3.441251856288786	3.7304627474236023	5.229157027600675	4.836822023591042	5.601872444661259	5.213247402479103	3.320946590362526
