metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_cell_T0-1	input_L-Cycloserine_cell_T0-2	input_L-Cycloserine_cell_T0-3	input_L-Cycloserine_cell_T1h-1	input_L-Cycloserine_cell_T1h-2	input_L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	geommean_1	geommean_0
L-Glutamic_acid_m+3	6.0942307407483085	1.9639610121239315	0.024767306717813353	0.033612773402746696	0.9668615984405458	68.3197476367108	('0/3', '0/3')	1.9680026192268731	2.035454321901988	cell	0.0006	0.001	0.0007	0.0519	0.051	0.0506	0.023806483297099272	0.03967747216183212	0.027774230513282486	2.059260805199087	2.023551080253438	2.007680091388705	2.030049740648705	0.029713952566737558
L-Glutamic_acid_m+4	4.916869959196109	1.9639610121239315	0.024767306717813353	0.033612773402746696	0.9661835748792271	30.20823439787917	('0/3', '0/3')	1.9669488287161283	2.0357920377211927	cell	0.0015	0.0015	0.0012	0.0415	0.0421	0.0426	0.0737605810768548	0.0737605810768548	0.05900846486148384	2.040709409792983	2.0702136422237247	2.0948005025826766	2.068456224551811	0.06847325789742387
L-Glutamic_acid_m+0	-0.6622291300146846	-1.9639610121239315	0.024767306717813353	0.033612773402746696	0.9453839756029939	0.6319011821901993	('0/3', '0/3')	1.9547406534552745	2.067668485927618	cell	0.9508	0.9458	0.9461	0.5901	0.6015	0.6048	5.45034432054333	5.421682434129029	5.4234021473138885	3.382675834615712	3.448024935640317	3.466941780673755	3.432356920578479	5.431793795165516
L-Glutamic_acid_m+2	2.5430244737923564	1.9639610121239315	0.024767306717813353	0.033612773402746696	0.9347389558232932	5.828095322213805	('0/3', '0/3')	1.9338058638617384	2.0688191626275954	cell	0.0387	0.0408	0.0401	0.2379	0.2321	0.227	0.40192420478759006	0.42373404535745934	0.4164640985008362	2.4707433674151855	2.41050666488888	2.3575399092191978	2.4124871534209853	0.41394092238433067
L-Aspartic_acid_m+2	2.7882866385324765	1.9639610121239315	0.024767306717813353	0.033612773402746696	0.9206680584551149	6.908088849936359	('0/3', '0/3')	1.9182818289220296	2.083575954770186	cell	0.0159	0.0141	0.0168	0.105	0.1099	0.1076	0.3458127106560122	0.3066641019025014	0.36538701503276755	2.283668843954797	2.390240056672688	2.3402168343765353	2.337636153670442	0.3383911533928776
L-Glutamine_m+0	-0.43747839698372093	-1.9639610121239315	0.024767306717813353	0.033612773402746696	0.9166062364031905	0.7384241301014492	('0/3', '0/3')	1.933663483173655	2.1095901450130308	cell	0.997	0.9986	1.0	0.7442	0.7242	0.7438	7.626038341472049	7.638276717947832	7.648985297364142	5.692374858298394	5.539395152351111	5.689315264179449	5.63990704563057	7.637761031530383
L-Aspartic_acid_m+0	-0.3406325764293337	-1.9639610121239315	0.024767306717813353	0.033612773402746696	0.9151599443671765	0.7896949795137967	('0/3', '0/3')	1.9087259566282997	2.0856747155254522	cell	0.982	0.9831	0.9825	0.7846	0.7674	0.7758	9.495283127705116	9.50591939190112	9.500117793248755	7.586557171076817	7.420244676375668	7.501467057508788	7.5024490677602405	9.500439109261382
L-Aspartic_acid_m+3	6.175083683620266	1.9639610121239315	0.024767306717813353	0.033612773402746696	0.9000000000000001	72.25791311101473	('0/3', '0/3')	1.9171152795935669	2.130128088437296	cell	0.0004	0.0008	0.001	0.0478	0.0524	0.0482	0.016385600680286896	0.03277120136057379	0.040964001700717234	1.958079281294284	2.146513689117583	1.9744648819745707	2.024593241612136	0.02801898303513992
L-Malic_acid_m+2	2.698612177950608	1.9639610121239315	0.024767306717813353	0.033612773402746696	0.8793103448275863	6.491771309817257	('0/3', '0/3')	1.873777677248937	2.1309628486360457	cell	0.0009	0.0009	0.0012	0.0063	0.0067	0.0063	0.33066664892628295	0.33066664892628295	0.4408888652350439	2.3146665424839807	2.4616294975623285	2.3146665424839807	2.362652509779088	0.3639457394634557
L-Glutamine_m+2	4.147787119896759	1.9639610121239315	0.024767306717813353	0.033612773402746696	0.8620253164556964	17.725901787651225	('0/3', '0/3')	1.8165799628453836	2.1073394576326767	cell	0.009	0.0104	0.0076	0.1632	0.1656	0.1466	0.12003832353603854	0.13871095164164454	0.10136569543043256	2.1766949334534993	2.2087051530631094	1.955290914487028	2.110484811523539	0.11906219704961986
L-Glutamic_acid_m+1	2.7320536136807876	1.9639610121239315	0.024767306717813353	0.033612773402746696	0.8517350157728707	6.644007093871681	('0/3', '0/3')	1.852328492444537	2.174770859647845	cell	0.0084	0.0109	0.012	0.0718	0.066	0.068	0.2881399877135946	0.3738959364378787	0.4116285538765638	2.4629108473614396	2.2639570463211007	2.332561805300528	2.3517077195457774	0.35395924271588336
L-Malic_acid_m+0	-0.010231454336097815	-1.9639610121239315	0.024767306717813353	0.033612773402746696	0.8333333333333031	0.9929331844803873	('0/3', '0/3')	1.8288305932283606	2.1945967118741123	cell	1.0	1.0	1.0	0.9931	0.9922	0.9935	281.35855280436823	281.35855280436823	281.35855280436823	279.41717879001806	279.1639560924941	279.52972221113987	279.37024381683483	281.3585528043685
L-Malic_acid_m+3	4.345391204184494	1.9639610121239315	0.024767306717813353	0.033612773402746696	0.8148148148148147	20.327927136297056	('0/3', '0/3')	1.7987925383713037	2.2076090243647823	cell	0.0002	0.0001	0.0001	0.0024	0.0025	0.0028	0.16352659439739128	0.08176329719869564	0.08176329719869564	1.962319132768695	2.044082429967391	2.289372321563478	2.0940874970665995	0.10301529924944719
L-Malic_acid_m+4	1.824643729444137	1.9639610121239315	0.024767306717813353	0.033612773402746696	0.6250000000000001	3.542195230608703	('0/3', '0/3')	1.4638501094228	2.3421601750764798	cell	0.0002	0.0003	0.0003	0.001	0.001	0.0008	0.5855400437691199	0.8783100656536798	0.8783100656536798	2.9277002188455996	2.9277002188455996	2.3421601750764798	2.7178361287918844	0.7672745153363109
L-Tyrosine_m+2	-0.740797473778816	-1.5275252316519468	0.06331522897380859	0.08019929003349088	0.0	0.5984084805885754	('0/3', '0/3')	0.0	3.273268353539886	cell	0.0004	0.0004	0.0007	0.0003	0.0002	0.0004	2.618614682831909	2.618614682831909	4.582575694955841	1.9639610121239315	1.3093073414159544	2.618614682831909	1.8883479505574952	3.155616960341499
L-Lactic_acid_m+3	0.00034061649788139574	1.091089451179962	0.13761676203741713	0.1538069693359368	-0.3333333333331118	1.0002361252383352	('0/3', '0/3')	-0.9123431055231777	2.737029316571352	cell	0.988	0.988	0.9882	0.9883	0.9886	0.988	4506.974941286588	4506.974941286588	4507.887284392111	4508.343455944873	4509.711970603159	4506.974941286588	4508.343317473281	4507.279035136866
L-Lactic_acid_m+2	-0.02875963707407171	-1.091089451179962	0.13761676203741713	0.1538069693359368	-0.3333333333333359	0.9802627202553647	('0/3', '0/3')	-0.9123431055236537	2.73702931657094	cell	0.012	0.012	0.0118	0.0117	0.0114	0.012	54.74058633141881	54.74058633141881	53.82824322589516	53.37207167313334	52.00355701484787	54.74058633141881	53.36037240233478	54.434766618926474
L-Proline_m+0	-0.018771502912184886	-0.6546536707079772	0.25634538013096164	0.25634538013096164	-0.1638655462184915	0.9870728681919315	('0/3', '0/3')	-0.5109934670354193	3.1183703885750447	cell	0.9813	0.9779	0.9857	0.9688	0.9455	0.9931	64.28690887203136	64.06416812999028	64.5751615970257	63.468009085115646	61.94157988230475	65.0599502708798	63.47708285643923	64.30840609844057
Hexose_m+2	0.10049279819764699	0.6546536707079772	0.25634538013096164	0.25634538013096164	-0.4761904761904762	1.072139623250918	('0/3', '0/3')	-1.4595607473209178	3.065077569373927	cell	0.0211	0.0161	0.0184	0.0181	0.019	0.0224	10.265577256157119	7.832976010622256	8.951972583568294	8.806016508836201	9.243884733032477	10.898053579996184	9.608619266201377	8.962096967432595
L-Lysine_m+2	0.06147485704580899	0.0	0.5		-0.5000000000000001	1.0435320112116158	('0/3', '0/3')	-1.5210603796901818	3.042120759380363	cell	0.0006	0.0009	0.0011	0.0015	0.0009	0.0005	1.8252724556282174	2.7379086834423263	3.346332835318399	4.563181139070545	2.7379086834423263	1.5210603796901814	2.668564518664132	2.5572426049161026
Hexose_m+0	-0.0017190918118621887	0.2182178902359924	0.41362967328135564		-0.5083333333333281	0.998809126011374	('0/3', '0/3')	-1.5231368834103591	2.9963348526105733	cell	0.9847	0.9859	0.9908	0.9915	0.9795	0.9869	245.87424411380053	246.17387759906157	247.3973809972109	247.5721671969465	244.57583234433594	246.42357217011244	246.18742687169507	246.48095462925477
L-Tryptophan_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Glycine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Ile_Leu_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Fumaric_acid_m+4	-0.3684827970831026	-0.8660254037844387	0.19323811538561636			0.7745966692414836	('1/3', '0/3')	0.0		cell	0.0003	0.0005		0.0003	0.0003	0.0003	3.7499999999999996	6.25		3.7499999999999996	3.7499999999999996	3.7499999999999996	3.7499999999999996	4.841229182759269
Fructose_1,6-bisphosphate_m+0	0.0	0.0	0.5			1.0	('1/3', '1/3')	0.0		cell	1.0		1.0	1.0	1.0		1.0		1.0	1.0	1.0		1.0	1.0
L-Tyrosine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Pyruvic_acid_m+3	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Lysine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
