metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_med_T24h-1	input_L-Cycloserine_med_T24h-2	input_L-Cycloserine_med_T24h-3	input_L-Cycloserine_med_T6h-1	input_L-Cycloserine_med_T6h-2	input_L-Cycloserine_med_T6h-3	L-Cycloserine_med_T24h-1	L-Cycloserine_med_T24h-2	L-Cycloserine_med_T24h-3	L-Cycloserine_med_T6h-1	L-Cycloserine_med_T6h-2	L-Cycloserine_med_T6h-3	geommean_24	geommean_6
Pyruvic_acid_m+3	0.42421385519629556	1.9639610121239315	0.024767306717813353	0.18192509633261755	0.48275862068965536	1.3418411154444334	('0/3', '0/3')	1.2399959229226027	2.568562983196819	med	0.0089	0.008	0.0086	0.0064	0.006	0.0066	7.882831224293687	7.085690988129158	7.617117812238844	5.668552790503326	5.314268241096868	5.845695065206555	7.521163616668831	5.605107437908351
Pyruvic_acid_m+0	-0.002662839328922255	-1.7457431218879391	0.04042779918502612	0.18192509633261755	0.0	0.9981559627566458	('0/3', '0/3')	0.0	2.564096884650894	med	0.9919	0.9935	0.9919	0.9948	0.9945	0.9935	877.009551684536	878.4242258277917	877.009551684536	879.5736485691868	879.3083971673265	878.4242258277917	877.4808564078712	879.1019531501856
L-Proline_m+0	-0.020575354015469127	-1.5275252316519468	0.06331522897380859	0.18994568692142577	-0.4034482758620697	0.9858394683636672	('0/3', '0/3')	-1.0096717275030755	2.50260513654608	med	0.971	0.9895	0.9737	1.0	0.9986	0.9778	83.7941237098701	85.39061319352882	84.02712487775544	86.29672884641619	86.1759134260312	84.38094146602575	84.40102738903043	85.61335805425033
L-Lactic_acid_m+2	-0.011841789450978744	-1.3093073414159544	0.09521513191276199	0.21423404680371447	0.0	0.9918254915279205	('0/3', '0/3')	0.0	2.6186146828318897	med	0.0121	0.0121	0.0121	0.0123	0.0121	0.0122	158.42618831132987	158.42618831132987	158.42618831132987	161.04480299416176	158.42618831132987	159.7354956527458	158.4261883113299	159.73191823016387
L-Asparagine_m+0	0.002265550454626292	0.6546536707079772	0.25634538013096164	0.2883885526473319	0.0	1.0015715935708434	('0/3', '0/3')	0.0	2.6832815729997037	med	1.0	1.0	1.0	0.9953	1.0	1.0	570.9109729786651	570.9109729786651	570.9109729786651	568.2276914056654	570.9109729786651	570.9109729786651	570.9109729786652	570.0151408480251
L-Lactic_acid_m+1	0.1949875002403854	0.6546536707079772	0.25634538013096164	0.2883885526473319	0.0	1.1447142425533319	('0/3', '0/3')	0.0	2.6832815729997472	med	0.0002	0.0003	0.0002	0.0002	0.0002	0.0002	5.366563145999499	8.049844718999246	5.366563145999499	5.366563145999499	5.366563145999499	5.366563145999499	6.143181266787442	5.366563145999499
L-Lactic_acid_m+3	-0.00153122118414176	-0.6546536707079772	0.25634538013096164	0.2883885526473319	-0.12962962962961433	0.9989392013984552	('0/3', '0/3')	-0.3743886554315168	2.8881410561863277	med	0.9702	0.9703	0.9696	0.9728	0.9675	0.9729	518.902676428147	518.95616052178	518.5817718663485	520.2932628626071	517.4586059000538	520.3467469562402	518.8135099255201	519.3644510088424
L-Lactic_acid_m+0	0.10336013911718307	0.6546536707079772	0.25634538013096164	0.2883885526473319	-0.14545454545454553	1.074272608192665	('0/3', '0/3')	-0.4198107997972489	2.8861992486060846	med	0.0174	0.0173	0.0181	0.0147	0.0202	0.0148	9.130884895590158	9.078408545615503	9.498219345412751	7.714023446274444	10.600222694880529	7.766499796249101	9.233965803683748	8.595551755916768
L-Tyrosine_m+2	0.05554995646981705	0.4364357804719848	0.3312602917700287	0.3312602917700287	-0.33333333333333326	1.0392551926844937	('0/3', '0/3')	-1.0444659357341868	3.1333978072025612	med	0.0009	0.0005	0.0011	0.0009	0.0007	0.0007	4.700096710803841	2.6111648393354674	5.744562646538029	4.700096710803841	3.655630775069654	3.655630775069654	4.131102947357944	3.9750611557560926
Hexose_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Tryptophan_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Glycine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Lysine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Histidine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Threonine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Tyrosine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Alanine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Ile_Leu_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Proline_m+1	0.9561760285521941	1.1547005383792517	0.12410653949496181			1.940160532396915	('0/3', '1/3')	-1.446595465686645		med	0.0189	0.0054	0.0235		0.0028	0.017	2.35695295702393	0.6734151305782657	2.9306028830720825		0.34917821585539704	2.120010596264911	1.6692840831381621	0.8603845172934703
Hexose-phosphate_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Arginine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Serine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Phenylalanine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Valine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Methionine_m+0	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	med	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L-Alanine_m+2						0.7071067811865476	('1/3', '2/3')	0.0		med		0.0002	0.0001	0.0002				4.242640687119286	2.121320343559643	4.242640687119286			3.0000000000000004	4.242640687119286
L-Proline_m+3						1.0383406574563974	('0/3', '2/3')	0.0		med	0.0125	0.0067	0.0052			0.0073	4.545642385797848	2.436464318787646	1.8909872324919044			2.6546551533059426	2.756436377203706	2.6546551533059426
Pyruvic_acid_m+1						0.0	('3/3', '2/3')	0.0		med						0.0001						0.0001	0.0	0.00010000000000000009
L-Asparagine_m+1						0.0	('3/3', '2/3')	0.0		med				0.0009						0.0009			0.0	0.0008999999999999998
L-Glutamine_m+4						119765832667.08447	('0/3', '3/3')	-2.440355504346252		med	0.0398	0.0432	0.0352				12.140768634122606	13.177919723469763	10.737564219123511				11.976583266708447	0.0
L-Glutamine_m+0						841715249588.862	('0/3', '3/3')	-2.442658288779654		med	0.7453	0.7331	0.7547				84.28301956608702	82.90336997705407	85.34602826583372				84.17152495888621	0.0
L-Glutamine_m+2						686086672576.6307	('0/3', '3/3')	-2.3777817717036385		med	0.1015	0.1025	0.099				68.95567137940604	69.63503759989278	67.25725582818914				68.60866725766307	0.0
L-Glutamine_m+3						89929041764.35733	('0/3', '3/3')	-2.323435213386988		med	0.0544	0.066	0.0513				8.598290857704225	10.431749937655862	8.108314724268874				8.992904176435733	0.0
L-Glutamine_m+1						116923445259.27164	('0/3', '3/3')	-2.2461833819612096		med	0.0427	0.0363	0.0354				13.138634302704604	11.16937763906738	10.892450920743395				11.692344525927163	0.0
L-Glutamine_m+5						58012065395.01517	('0/3', '3/3')	-2.3987791671778327		med	0.0163	0.0189	0.0244				4.8271728919751435	5.597151390081608	7.225952059152976				5.801206539501517	0.0
L-Threonine_m+2						1000000.0000000008	('2/3', '3/3')	0.0		med		0.0001						0.0001					0.00010000000000000009	0.0
L-Asparagine_m+2						0.0	('3/3', '2/3')	0.0		med				0.0039						0.0039			0.0	0.0039
