metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_cell_T24h-1	input_L-Cycloserine_cell_T24h-2	input_L-Cycloserine_cell_T24h-3	input_L-Cycloserine_cell_T6h-1	input_L-Cycloserine_cell_T6h-2	input_L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	geommean_24	geommean_6
L-Glutamic_acid_m+3	0.6948719698247394	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.9402985074626867	1.6187407735858357	('0/3', '0/3')	1.9464405391971735	2.0700240654954065	cell	0.1517	0.1528	0.1526	0.0949	0.0925	0.095	5.207672483178328	5.245434116213899	5.2385683647528865	3.257799068250648	3.175410050718493	3.2612319439811546	5.230532503284881	3.2312354075681937
L-Glutamic_acid_m+0	-0.6615826723114449	-1.9639610121239315	0.024767306717813353	0.02919004006028002	0.9176610978520284	0.6321843944498036	('0/3', '0/3')	1.8970073490300163	2.067219972024908	cell	0.2799	0.2783	0.277	0.4429	0.4446	0.4337	3.45235602726594	3.4326212303969674	3.4165867079409273	5.462838458292551	5.483806679965835	5.3493633762959565	3.4338235055418904	5.431680275072879
L-Glutamic_acid_m+4	0.706194358888854	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.8738574040219375	1.631494765732058	('0/3', '0/3')	1.846207874652492	2.1127106850102795	cell	0.1319	0.1339	0.135	0.0813	0.0803	0.0841	5.094452273361165	5.171699464769219	5.21418542004365	3.1400983307373975	3.1014747350333707	3.2482443987086733	5.159873835364596	3.1626664968485763
L-Glutamic_acid_m+5	1.3176571436395155	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.8680738786279684	2.4926099496023144	('0/3', '0/3')	1.8188852005986924	2.095311522878129	cell	0.0583	0.0613	0.0613	0.0234	0.0238	0.0254	3.22313091777823	3.3889867111458924	3.3889867111458924	1.2936751882677633	1.3157892940501181	1.4042457171795377	3.3327742155307134	1.337062068641122
Fumaric_acid_m+4	4.2730677864747	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.8673469387755103	19.333993900008938	('0/3', '0/3')	1.8508291718360055	2.1338971628226884	cell	0.0092	0.0101	0.0098	0.0003	0.0006	0.0007	2.003250397751912	2.199220545358077	2.1338971628226884	0.06532338253538841	0.13064676507077683	0.15242122591590632	2.110534727423885	0.1091618595898548
L-Aspartic_acid_m+0	-0.5864186710028694	-1.9639610121239315	0.024767306717813353	0.02919004006028002	0.8228498074454428	0.665994112591616	('0/3', '0/3')	1.842411986549891	2.239062305027091	cell	0.4258	0.3955	0.4233	0.6205	0.6181	0.6292	4.079558106463566	3.789256061780978	4.055605792545861	5.944964314374455	5.921970093013457	6.028318366808069	3.97259480810514	5.964909798746395
L-Aspartic_acid_m+3	0.7751208124370055	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.7906091370558375	1.7113333537892526	('0/3', '0/3')	1.7793841814034717	2.250649654808886	cell	0.1606	0.175	0.1656	0.0962	0.0982	0.0983	4.586983941146029	4.9982701724816625	4.7297916603597905	2.7476205176727766	2.8047436053582815	2.807599759742557	4.7686595673579655	2.786517049293259
L-Aspartic_acid_m+4	1.6002522097213594	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.7674074074074075	3.031963129809689	('0/3', '0/3')	1.7067308549337017	2.2240218669502867	cell	0.083	0.0945	0.0922	0.027	0.0308	0.0312	2.7347231845462785	3.1136306137304013	3.037849127893577	0.8896087467801147	1.0148129407713902	1.0279923296125768	2.9574373553101845	0.975419960168123
L-Glutamine_m+3	0.7431768683638919	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.6907407407407409	1.6738576807229273	('0/3', '0/3')	1.5779383246331085	2.284414732712811	cell	0.1072	0.1175	0.1212	0.0699	0.0693	0.0672	4.534986284200247	4.97071724247695	5.127241955644309	2.957047959567139	2.931665573648108	2.8428272229314984	4.8710914504152525	2.91009893285041
L-Glutamine_m+5	1.3480259897366715	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.6711409395973155	2.5456357290351117	('0/3', '0/3')	1.5485675855125245	2.3073657024136613	cell	0.0415	0.0433	0.0421	0.0135	0.0215	0.0158	3.213277739938488	3.352648822634615	3.2597347675038635	1.0452831202209538	1.6647101544259635	1.2233683925548944	3.2747101434825487	1.2864017055275159
L-Malic_acid_m+4	2.058649807635355	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.65	4.165962369041652	('0/3', '0/3')	1.4482324774677575	2.2280499653350114	cell	0.015	0.0199	0.0201	0.0041	0.0046	0.0044	2.0887968425015733	2.771137144385421	2.798987768952108	0.5709378036170968	0.6405643650338158	0.6127137404671282	2.5303760843494225	0.6073929287391803
Fumaric_acid_m+3	2.365478180079455	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.6043165467625898	5.153234270248792	('0/3', '0/3')	1.4631085036510956	2.4210962143750274	cell	0.0117	0.0137	0.0162	0.0025	0.0023	0.0033	2.0379011300854546	2.3862602976214298	2.8217092570413986	0.4354489594199689	0.4006130426663714	0.574792626434359	2.3940748785561943	0.4645771476716915
L-Malic_acid_m+1	3.7896875441542566	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.6	13.829600190948415	('0/3', '0/3')	1.4006918705636067	2.3344864509393446	cell	0.0074	0.0109	0.0101	0.0007	0.0011	0.0004	1.6452571178048714	2.4234192681179865	2.2455536337607027	0.15563243006262298	0.2445652472412647	0.0889328171786417	2.076484000114821	0.1501477968592249
L-Aspartic_acid_m+1	0.6441405644860296	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.5500878734622147	1.562808020246112	('0/3', '0/3')	1.4017470544830855	2.5482238785970455	cell	0.126	0.1209	0.116	0.0847	0.0791	0.0691	5.6428156186858995	5.414415938881946	5.1949731092663844	3.793226054783299	3.5424342495083705	3.094591740088854	5.414315922578236	3.464479227413733
L-Glutamine_m+4	0.8392744068875658	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.5224719101123597	1.7891500753494145	('0/3', '0/3')	1.2868044143998612	2.4629159759481207	cell	0.0908	0.1005	0.0965	0.0471	0.0519	0.0629	4.187879599552235	4.635263213160789	4.450775125074787	2.172347237212668	2.39373294291587	2.901075185152374	4.4208055556442805	2.4708970010695794
L-Malic_acid_m+3	1.1993397736300855	1.9639610121239315	0.024767306717813353	0.02919004006028002	0.502415458937198	2.2963455835744475	('0/3', '0/3')	1.195145738751121	2.3787996915527128	cell	0.0241	0.0316	0.032	0.0113	0.0137	0.013	2.769520413836733	3.631404360051484	3.6773715038496038	1.2985718122968912	1.5743746750856118	1.4939321734389015	3.3317486408659276	1.4508916535462364
