metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_L-Cycloserine_cell_T2h-1	input_L-Cycloserine_cell_T2h-2	input_L-Cycloserine_cell_T2h-3	input_L-Cycloserine_cell_T4h-1	input_L-Cycloserine_cell_T4h-2	input_L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	geommean_4	geommean_2
L-Glutamic_acid	0.35613353942786585	1.9639610121239315	0.024767306717813353	0.028895191170782247	0.7818404553605378	1.2799908874893757	('0/3', '0/3')	1.7514731989681316	2.2401925955090896	cell	0.20124661989943	0.203786827442622	0.200087081316336	0.257275569182196	0.253579610295249	0.263773710105154	7.0788986062501635	7.168251021938309	7.038111555695679	9.049730470087878	8.91972422090644	9.278304151204768	9.081380912898956	7.0948793477049925
L-Aspartic_acid	0.4715225648018455	1.9639610121239315	0.024767306717813353	0.028895191170782247	0.6666761093780279	1.386572030946832	('0/3', '0/3')	1.6036535751023617	2.4054462917510007	cell	0.128546005517517	0.134463940877588	0.12560374158413	0.175245310812553	0.176819157274036	0.186774930053763	5.054839051312782	5.28755115030644	4.93913984642596	6.891204725408802	6.9530933894886084	7.344586138176961	7.060143274882727	5.091796976505902
L-Proline	0.8523620687811054	1.9639610121239315	0.024767306717813353	0.028895191170782247	0.43194641605763434	1.8054545074916313	('0/3', '0/3')	1.1551716721168712	2.6743402171503083	cell	0.0133985852742358	0.0146846667756098	0.0101251473331057	0.020802504111159	0.0232041986653909	0.024288564618487	2.529924433476298	2.7727626844686992	1.9118330111932291	3.9279343565855704	4.381422960802765	4.5861732283435375	4.289532394625571	2.3758739845431713
L-Malic_acid	0.4746237255524898	1.9639610121239315	0.024767306717813353	0.028895191170782247	0.13563392042371167	1.3895557575756583	('0/3', '0/3')	0.44125487653838125	3.2532782003198704	cell	0.0061450615379249	0.0084380432836862	0.0086616414932889	0.0104238940510081	0.0094818110272772	0.0121919967841092	3.3060705840318287	4.539705015940756	4.660001852489491	5.6081016081638175	5.101256729027872	6.559348784351699	5.725119985539983	4.120108138394197
Hexose	0.6404679994872082	1.9639610121239315	0.024767306717813353	0.028895191170782247	0.053669959793904105	1.5588347516526224	('0/3', '0/3')	0.17201307355184747	3.205015882485996	cell	0.0041732481389427	0.0046244191460601	0.0030964477683978	0.0090454190905873	0.0050619118250187	0.0049437001977371	2.2483427541458934	2.491411709300357	1.6682151820074178	4.873231064493414	2.727111447724645	2.6634247828522044	3.2833721412266574	2.106299040193799
L-Glutamine	0.34725873003098207	1.9639610121239315	0.024767306717813353	0.028895191170782247	0.03815421966720419	1.2721411295224967	('0/3', '0/3')	0.10667051614640322	2.795772448678667	cell	0.125412764443405	0.150842877169667	0.124958574898151	0.169374077760196	0.153229868227148	0.18752022806001	5.604480281816779	6.740908188268275	5.584183333879459	7.569035602323319	6.847578704414678	8.379955782558126	7.5730897293191415	5.953026400586334
L-Lactic_acid	-8.98165051596592e-05	-0.6546536707079772	0.25634538013096164	0.25634538013096164	-0.16754856924181985	0.999937745880549	('0/3', '0/3')	-0.5008932787259255	2.989540770133317	cell	0.996132991391358	0.996246688151202	0.996051760608539	0.996077166645931	0.996100440914313	0.996067781083434	15277.369988637629	15279.113719125082	15276.124178354949	15276.513822545572	15276.87077248334	15276.369879204614	15276.584823293366	15277.535912839001
Fumaric_acid	-0.2538617464139435	0.0	0.5			0.8386485483505424	('1/3', '1/3')	-0.25497534765232		cell		0.0005000413005317	0.0016523568757262		0.0008201984950621	0.0007085177895895		1.1416314385197823	3.772453505295545		1.8725740989671416	1.6175987513148216	1.7404233749963611	2.0752714333309625
Pyruvic_acid	0.0	0.0	0.5			1.0	('0/3', '0/3')	0.0	0.0	cell	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
Succinic_acid						22017832.194433004	('3/3', '2/3')	0.0		cell					0.0022017832194433						0.0022017832194433		0.0022017832194433005	0.0
