metabolite_or_isotopologue	MCF001089_TD19	MCF001089_TD20	MCF001089_TD21	MCF001089_TD22	MCF001089_TD23	MCF001089_TD24	MCF001089_TD25	MCF001089_TD26	MCF001089_TD27	MCF001089_TD28	MCF001089_TD29	MCF001089_TD30	MCF001089_TD31	MCF001089_TD32	MCF001089_TD33	MCF001089_TD34	MCF001089_TD35	MCF001089_TD36	MCF001089_TD55	MCF001089_TD56	MCF001089_TD57	MCF001089_TD58	MCF001089_TD59	MCF001089_TD60	MCF001089_TD61	MCF001089_TD62	MCF001089_TD63	MCF001089_TD64	MCF001089_TD65	MCF001089_TD66	MCF001089_TD67	MCF001089_TD68	MCF001089_TD69	MCF001089_TD70	MCF001089_TD71	MCF001089_TD72
3-Phosphoglyceric_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Citric_acid																		21797102.566666663																		
D-Glyceraldehyde_3-phosphate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fructose_1,6-bisphosphate	77200.80333333333		58013.34333333334	41287.14333333333	63455.61333333334			217163.8733333333	667682.2733333333	377260.1733333333	340314.3733333333	133936.57333333333				31538.46333333333																				
Fumaric_acid	2781852.883333333	5501278.903333336	1434830.653333336	3762842.74333334	2242712.7133333385	2643137.4733333364		4164455.023333333	5520814.813333333	3321028.113333337	2762316.4333333373	4328063.173333339	6186177.273333333	6781539.663333334	8009301.293333337	4844928.153333336	5021306.853333339	5874094.753333338																		
Glycine	50433589.71666667	49423644.81666667	44435800.11666667	42265751.516666666	52878939.71666667	46413743.61666667	47224484.31666667	51463639.71666667	54829055.11666667	44975755.61666667	43446172.11666667	54129831.11666667	60783189.91666667	64246885.71666667	63982584.71666667	63465412.71666667	80180276.71666667	76143367.71666667	35768152.41666667	21132662.81666667	21016898.916666664	21915961.71666667	21587635.616666667	21750892.616666667	21540901.71666667	22233782.916666664	22551225.21666667	21211440.21666667	21916014.516666666	21437980.81666667	22619428.21666667	22936445.21666667	21949656.21666667	23807180.916666664	23143385.71666667	24608502.916666664
Hexose	23211597.94333333	24961340.313333336	23736275.543333333	20856407.683333334	21912210.743333336	23200513.973333333	20107687.48333333	23348729.473333333	27295639.673333336	17622024.173333336	19311497.343333334	21433114.923333336	27908243.043333333	27230809.203333333	28723664.71333333	29139502.063333336	29095731.843333334	28690364.243333336	23957348.64333333	23850557.64333333	23774741.64333333	26178846.64333333	25622838.64333333	25977348.64333333	26889340.64333333	25837975.64333333	26126375.64333333	25046692.64333333	26543300.64333333	25414377.64333333	26564763.64333333	26907684.64333333	26754142.64333333	28347932.64333333	26292502.64333333	27844184.64333333
Hexose-phosphate	843870509.5666667	818259399.5666667	755642759.5666667	684857799.5666667	826514289.5666667	791694749.5666667	688064609.5666667	833172229.5666667	877164929.5666667	646310349.5666667	640947889.5666667	785531359.5666667	1004525999.5666668	1085379049.5666666	1009820739.5666668	1102008369.5666666	1311001889.5666666	1280036179.5666666	2069691.566666667	1915534.566666667	1959712.566666667	1839084.566666667	1842182.566666667	1971316.566666667	1684708.566666667	1734938.566666667	1895524.566666667	722994.7666666666	779382.1666666666	1236237.566666667	1966093.566666667	2017738.566666667	2391439.566666667	2737838.566666667	2897905.566666667	2921561.566666667
Ile_Leu	1364458522.1333334	1545744172.1333334	1743605109.1333334	1132442470.1333334	1090672983.1333334	1403544650.1333334	1062112159.1333332	1266905279.1333334	1884534966.1333332	951386018.1333332	1200628986.1333334	1250255276.1333334	1750403995.1333334	1592769587.1333334	1862615000.1333332	2488381489.133333	2127371107.1333332	2148982483.133333	2311992779.133333	2210982973.133333	2271657849.133333	2382664123.133333	2243258890.133333	2310481486.133333	2389754947.133333	2339735205.133333	2360890533.133333	2330571449.133333	2317860683.133333	2309607325.133333	2362583764.133333	2325626497.133333	2273957628.133333	2446755834.133333	2354166493.133333	2429296972.133333
L-Alanine	24452809.6	22135270.19	18560976.2	19682863.3	21143463.8	19908120.1	24185570.0	26552869.2	25627305.9	21392385.1	19573178.17	23419118.4	24407118.9	26061146.6	24894978.9	16640716.27	21313672.0	20747101.4	1935085.62	1763954.77	1783184.8400000003	1751399.54	2120167.1900000004	1855047.3600000003	1931224.9000000004	2282473.1300000004	2155290.25	1534609.27	1461636.14	1605580.6700000004	1895489.0	1889533.49	2208299.43	2115404.8800000004	1949609.5	2379571.3800000004
L-Arginine	12848074.6	13019470.6	11333808.3	8717740.0	10772080.1	17375140.1	8830924.400000002	8993576.3	12576185.3	4887624.2	9433266.400000002	10480289.0	16576254.200000005	12525979.400000002	15428207.200000005	23461656.1	22578510.1	18215917.200000003	76269336.1	76291863.1	74563374.1	75540123.1	74840935.1	74232404.1	74652772.1	74944609.1	75028077.1	74575919.1	75707331.1	76344375.1	75045885.1	76113451.1	73373127.1	75312587.1	73886599.1	75854911.1
L-Asparagine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3513705.7	3293797.9	3193591.3	3413033.6	3493789.4	3540365.49	3311566.8	3892175.2	3742585.61	3262869.5	3519631.2	3055583.99	3643395.45	3770870.5	3534957.41	4020027.07	3647923.6	4558513.0
L-Aspartic_acid	85804028.48	80919141.14	73083463.61	28369364.81	34497224.010000005	33739366.11	22993878.01	31233419.71	36297593.61	19272606.31	18442216.31	24640182.71	38311884.81	41719569.81	40661795.81	33213296.81	37687636.81	41734911.81																		
L-Glutamic_acid	205653213.29	195563405.39	175951978.99	140844781.99	169002683.99	163924392.99	143617980.99	190106133.99	193659537.99	139890316.99	128372989.99	174466474.99	235283215.99	262686111.99	257701035.99	223883989.99	295876699.99	295632789.99																		
L-Glutamine	21753742.583333336	18810914.78333333	16034749.183333334	13695763.083333336	17970271.493333336	16168708.323333334	12284238.233333334	13716599.583333336	13010185.383333337	12823832.383333337	11243207.783333335	16230679.483333334	17422764.483333334	17947083.383333337	17137001.183333334	23263911.28333333	31380949.28333333	29298918.28333333																3195203.6833333345	1882740.083333335	2785754.783333334
L-Histidine	30638205.633333333	28288641.633333333	27442366.633333333	24527678.133333333	26794048.53333333	31450044.633333333	21809509.23333333	22700730.23333333	28962462.633333333	17288356.433333334	22408392.83333333	24334397.433333334	33957758.63333333	32801866.633333333	34564403.63333333	43528595.63333333	45736902.63333333	41189962.63333333	64943662.63333333	66958084.63333333	66679871.63333333	69297368.63333334	68234592.63333334	66712264.63333333	67970373.63333334	69607422.63333334	70644108.63333334	67765953.63333334	67899346.63333334	67707721.63333334	70698974.63333334	70265050.63333334	70476819.63333334	74275159.63333334	70799035.63333334	73349999.63333334
L-Lactic_acid	2199680624.093333	2542765424.093333	2775415764.093333	2080013094.0933328	1757371814.0933332	2869430484.093333	1843083224.0933328	1902389044.0933328	2707837374.093333	1641975704.0933332	2282534144.093333	2313840964.093333	2907257464.093333	2054273034.0933328	3028720104.093333	4192974364.093333	3708990114.093333	3238493574.093333	8901197393.093334	8704911808.093334	9440938944.093334	9878848530.093334	9006229764.093334	9366152387.093334	9400722189.093334	9863466762.093334	9233516851.093334	10009259870.093334	9355429905.093334	10241150034.093334	9544306546.093334	9016586670.093334	9878715228.093334	8735164799.093334	8999879567.093334	9435335172.093334
L-Lysine	22933518.813333336	23028350.513333336	22891953.91333333	18597176.91333333	21734960.313333336	28745100.013333336	19929114.28333333	18884558.21333333	24125717.21333333	13576596.213333333	20433821.21333333	20287894.71333333	28913889.313333336	24807210.513333336	27168515.613333333	39795992.71333333	38508852.71333333	31385140.113333333	119744345.59333332	119004184.71333334	118794156.71333334	120125717.84333332	116911504.71333334	117593437.71333334	118584270.71333334	117133694.71333334	118393862.71333334	118911480.71333334	120226801.71333334	119815398.71333334	118569342.71333334	118721623.71333334	119101821.71333334	118976574.71333334	117859840.71333334	119791589.71333334
L-Malic_acid	199415044.87999988	209808502.54	171393866.4799999	157171836.4799999	168200559.37999988	141115324.17999995	111048528.07999992	168084959.07999992	196617288.07999992	127479400.07999992	105609145.07999992	142025374.07999992	237612572.07999992	281478365.0799999	295782746.0799999	195554463.07999992	223557533.07999992	245685623.07999992																		
L-Methionine	96650857.58666667	103577905.58666667	111862644.58666667	76904903.58666667	77997936.58666667	92422974.58666667	76103044.58666667	89472771.65666667	129689273.58666667	72343442.58666667	82518693.78666668	96160988.06666668	128878098.77666669	121955303.58666667	139427642.58666667	173646107.9466667	157785065.58666667	164311311.58666667	118873593.96666668	116214414.89666668	117400577.75666668	123694319.58666667	117288366.58666667	119857131.58666667	118851523.58666667	123449681.58666667	121200087.53666668	111123899.58666667	114168861.58666667	112199350.58666667	125014811.20666668	120112695.58666667	120835515.58666667	127144850.02666669	124138283.98666668	121377941.07666668
L-Phenylalanine	473599834.8666667	525083162.8666667	566454281.8666667	377923997.4666667	364670163.3666667	462093491.8666667	347373413.3666667	417141280.8666667	625776369.8666667	325538558.76666665	394692234.8666667	413985134.8666667	588825790.8666667	547747157.8666667	623852038.8666667	850011224.8666667	735883768.8666667	744305228.8666667	685784788.8666667	665904616.8666667	677305269.8666667	717129140.8666667	674076428.8666667	698688642.8666667	714741480.8666667	705881485.8666667	718495782.8666667	698033362.8666667	688140911.8666667	696149533.8666667	703227744.8666667	706686803.8666667	685431323.8666667	748198640.8666667	726053938.8666667	729283877.8666667
L-Proline	10491525.033333331	12535154.033333331	7087340.033333333	9524818.733333332	12724057.653333332	15214286.633333337	12320625.353333334	13734070.333333334	16049194.943333331	13917225.623333331	9579212.383333333	17789544.133333333	16434073.333333334	18966977.49333333	19046614.043333337	18597727.82333333	23632484.75333333	23083650.03333333	7152407.533333333	6966378.033333333	10135009.533333331	8555695.033333333	9489934.033333331	6848315.233333332	9268074.033333331	9909521.833333334	12014306.033333331	7961701.233333332	8746837.833333334	8618266.233333332	8653770.533333333	7155313.833333334	7456841.373333333	5249305.133333333	14286061.333333334	11904169.223333333
L-Serine	60262908.156666666	64646815.156666666	64200953.156666666	58055280.156666666	59023710.156666666	68485035.15666667	55146456.156666666	61235459.156666666	77248965.15666667	55368133.156666666	57546903.156666666	69501256.15666667	89248285.15666667	86022464.15666667	93818449.15666668	98488276.15666668	105292307.15666668	107493829.15666668	87723164.15666667	84905739.15666667	87898215.19666667	93428854.77666669	88745799.15666667	89537019.15666667	90456917.15666668	93913089.15666668	91013558.15666668	91506652.15666668	89845977.15666667	88933063.15666667	91529537.15666668	89834464.15666667	93153026.15666668	88982888.15666667	85230100.15666667	92006836.15666668
L-Threonine	283078723.92	289486426.92	281401799.48	234510195.28	245916237.77	268832521.92	226742219.26	250548515.2	308441460.26	216868532.08	233209955.43	270890021.65	342300523.83	341789081.24	365342933.72	416081506.21	456271176.52	449138172.69	287841134.94	283733608.09	287359505.61	294195236.59	287362085.29	294661549.58	296904540.79	288355169.29	287154483.47	287201805.05	294807087.19	288309753.27	294971503.41	292724826.36	287431553.38	307296177.49	288305050.89	314174462.09
L-Tryptophan	7438842.333333333	7276985.333333333	5861197.533333333	6167691.633333334	7942931.033333334	9012844.533333335	6471170.333333333	5357077.223333334	6229433.533333333	4369331.933333334	5740719.133333334	6928929.433333334	8413609.633333333	6883300.633333334	7283526.733333333	10735596.133333333	12079428.533333335	9482850.533333335	22572464.73333333	20887438.73333333	22403344.73333333	22106501.73333333	21022421.73333333	21551327.73333333	20532655.73333333	21681238.73333333	22780232.73333333	21775685.73333333	23323834.73333333	21996218.73333333	21142223.73333333	20031621.73333333	20473595.73333333	22251769.73333333	23072352.73333333	24888086.73333333
L-Tyrosine	396880514.3066666	445171883.9066666	486576426.9066666	328939721.8066666	319536913.90666664	394131384.9066666	296338856.50666666	356363844.90666664	527401142.9066666	274566981.8066666	331175546.3066666	359008317.3066666	503238067.9066666	465480947.9066666	539107058.9066666	700809895.9066666	606765319.9066666	629631807.9066666	554116402.9066666	532238404.9066666	554693942.9066666	576121956.9066666	544771812.9066666	560309911.9066666	568375310.9066666	574309133.9066666	576173656.9066666	544061256.9066666	549809005.9066666	543916256.9066666	586539602.9066666	565405779.9066666	564118256.9066666	602744488.9066666	588130430.9066666	590615306.9066666
L-Valine	383925888.89666665	426836324.39666665	458292231.9966666	323637960.27666664	316949560.09666663	391895502.0966666	308762091.34666663	357769753.69666666	522326351.89666665	284433027.52666664	344544920.99666667	363897025.89666665	472999565.19666666	435371110.9966666	508884641.39666665	634265084.0966667	548492299.1966666	564427176.2966666	606569154.8966666	603361959.6966666	613994054.9966667	632326391.4966667	606872584.2966666	616082374.7966666	611454433.5966667	621103613.1966666	616571245.4766667	604944312.9966667	610006303.0966667	613850979.9966667	634953588.1966666	608746457.8966666	618840800.3966666	637703679.4966667	622303362.1966666	626345397.5966667
Pyruvic_acid	1875311.6333333333	2239637.6333333333	2127901.6333333333	2333003.6333333333	1698515.6333333333	2686977.6333333333	2881917.6333333333	4024104.633333333	7496577.633333333	3909613.633333333	5712169.633333333	4559319.633333333	6644629.633333333	5781981.633333333	7610034.633333333	16253003.633333333	13348093.633333333	13833043.633333333	1954504808.4333332	1917436849.8333333	1976663673.6333332	1996403404.1333332	1973584354.5333333	2038557272.233333	1873057071.1333332	2047218329.5333333	2005499263.0333333	1976002782.6333332	2050883506.233333	2053050814.233333	2058883585.8333333	2032464226.0333333	2095958119.0333333	2037112199.0333333	2125653005.9333332	2113603472.233333
Succinic_acid											98581386.40666652				182340124.60666656	76158655.60666656		105442837.60666656																		
