metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_Cont_T48-1	input_Cont_T48-2	input_Cont_T48-3	input_sgLDHAB_T48-1	input_sgLDHAB_T48-2	input_sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	geommean_sgLDHAB_T48	geommean_Cont_T48
Pyr	4.31985894882124	1.9639610121239315	0.024767306717813353	0.029411176727403357	0.8935874042774314	19.971336104880884	('0/3', '0/3')	1.8535286072290202	2.074255521459383	en	10578715.3685	8414497.92754	8292820.56487	169896011.982	185494474.747	186582371.034	0.12307484485389221	0.09789591560796733	0.09648029735837976	1.9766034520829125	2.158079020513279	2.170735818817763	2.099896815517754	0.10514553480498237
CTP	-3.460622026330717	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.8230909901555475	0.0908341102352609	('0/3', '0/3')	1.8169726587798831	2.2074991471313665	en	2576359.0270100003	2257166.33512	2311434.7715	284680.8438	179922.2844	196677.77593	2.373236169227912	2.079208965175645	2.1291988209039165	0.26223630639576195	0.16573702209654553	0.18117149303607796	0.19894547761455744	2.1902067086834167
Sed7P	-3.351175008548581	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.8129909920241506	0.09799316881226867	('0/3', '0/3')	1.8040929563615982	2.2190811141336804	en	9799824.9188	8205851.3708	8704836.46411	876092.449908	910227.83615	826018.80505	2.4233425732036653	2.029177984403859	2.1525691500656428	0.21664388389750217	0.22508502804226088	0.20426145906998483	0.21515915182566947	2.195654599535021
ATP	-2.767628931122566	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.796867425490996	0.1468455109953624	('0/3', '0/3')	1.8048915813723925	2.264983513738555	en	17637496.912682835	14999338.624642	14934313.216255002	2618844.2211441	2188687.738237	2182643.820247	2.5848605283989143	2.1982256640423072	2.1886958757557555	0.38380429438336316	0.32076278009105336	0.3198770146603591	0.3402192981177437	2.3168518793093265
ADP	-2.352737950562546	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.7031335669861007	0.1957741310186317	('0/3', '0/3')	1.6640777716380675	2.366659550575776	en	30269367.770271994	24722173.300013	23203502.673994	4934349.69922	5374528.7505	4912913.8039	2.8252092511993574	2.3074585913732433	2.165712574914736	0.46055043252605876	0.5016348032766685	0.4585497006235813	0.4731698779671849	2.4169172684114923
Glc6P	-1.1524096408539348	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.6996713769419576	0.44987320912988993	('0/3', '0/3')	1.6727060872487218	2.390702467434914	en	1767467.07661	1511189.20817	1575735.5746000002	754001.1096300001	741643.91787	685261.739228	3.9045158577608974	3.3383717894728644	3.4809613260033894	1.6656657022241426	1.6383673995723875	1.5138133903259834	1.6045644322801835	3.56670368387486
IsoCit	1.784747512519756	1.9639610121239315	0.024767306717813353	0.029411176727403357	0.6948297392358548	3.4455815714529816	('0/3', '0/3')	1.5410549005502872	2.2178885179052297	en	226642.621821	240274.307618	279211.61459	754897.724263	904157.2676	911250.78237	0.7342420052393682	0.7784038501472834	0.9045469653302773	2.4456018658805645	2.9291500419488172	2.952130523144598	2.7653767692834608	0.8025863593521942
2-OHGLu	-2.664456511415608	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.6819001517587366	0.15773158517402955	('0/3', '0/3')	1.592409027842869	2.335252490758031	en	26362483.1589	19664735.89344	22660528.8544	3373345.61683	3426388.69792	3988439.5147	2.6779192715136797	1.9975574721416747	2.3018721929995016	0.3426667807556484	0.34805493361724327	0.40514844429880564	0.3642319101779294	2.30918816783628
Fru1P	1.3483821455112635	1.9639610121239315	0.024767306717813353	0.029411176727403357	0.6665128385871413	2.5462642435576806	('0/3', '0/3')	1.6057473737392993	2.409176959206256	en	1283394.04949	910454.32365	1174818.55796	2675966.46168	2823105.7566	2999795.04084	1.4798559891046	1.0498266562752432	1.354659763148514	3.0856033628438992	3.255266738567449	3.4590036154814996	3.263066304570036	1.281511262166109
Gly3P	-2.155260627484256	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.6483501096092439	0.22449253426152851	('0/3', '0/3')	1.6096000730598985	2.4826093945291277	en	2522568.3705	1820161.4978	1886895.5288	441809.81088	471101.4576	470930.29455	3.0097446462452786	2.171683981837723	2.2513061617054606	0.5271352517161512	0.5620839087778243	0.5618796895069427	0.5501175694811103	2.4504938272924317
CDP	-3.732556762211667	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.6366942044731027	0.07522954827552629	('0/3', '0/3')	1.5864939639203115	2.4917675593312762	en	1384191.0361799998	953804.10361	914347.77807	78350.47536000001	82926.66103	79103.58752	2.641273692482507	1.8200216738864565	1.7447322435066492	0.1495061331512306	0.1582382795863377	0.1509432002060688	0.15284856706404454	2.031762393471254
UDP	-1.7098627163135158	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.6025453152068563	0.3056891567467605	('0/3', '0/3')	1.5185299284480935	2.5201920753906717	en	6694497.94669	5095306.9689	4791037.3259	1613417.751686	1729456.25821	1673021.834746	3.3204397542389072	2.527248488880529	2.3763321652561693	0.8002476788482357	0.8578022368080759	0.8298110260153277	0.828953684501334	2.7117536432214937
GDP	-3.8885873825158352	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.5898025088671672	0.06751784264505473	('0/3', '0/3')	1.4629078179601485	2.4803350205646857	en	10127963.173749996	7459162.906939999	6213476.63221	537259.61227	533528.60959	504034.9357330001	2.6102378494062513	1.9224190501645437	1.6013735045790736	0.13846568661892514	0.13750411080703695	0.1299028288415655	0.13523594851003726	2.002966078477664
Rib1P	-4.671452334352499	-1.9639610121239315	0.024767306717813353	0.029411176727403357	0.5794053745705202	0.039242143724387134	('0/3', '0/3')	1.4335013371441385	2.4740905073700956	en	276813.652	165305.31307	206052.25549	8216.818359	9257.872932	7490.226663	2.54289810797814	1.5185470976859086	1.8928614497313496	0.07548230265283717	0.08504576054176995	0.06880760060804414	0.07615727705230704	1.9407012416851963
