metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_Cont_T48-1	input_Cont_T48-2	input_Cont_T48-3	input_sgLDHAB_T48-1	input_sgLDHAB_T48-2	input_sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	geommean_sgLDHAB_T48	geommean_Cont_T48
ATP_m+3	47.27478677208767	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.9658444703626046	170266362098411.66	('0/3', '0/3')	1.9539078699502352	2.0230046657684797	en	14.63240583	2.3e-16	2.3e-16	15814.11126	15288.60432	15803.21141	0.0018718361581520774	2.9422524318748873e-20	2.9422524318748873e-20	2.0230046657684797	1.9557797061083873	2.0216103131524115	1.999883764713978	1.1745618688664249e-14
CTP_m+7	-69.08427902071516	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.918498556145209	1.5979374895489983e-21	('0/3', '0/3')	1.9027017528393273	2.0715348326998586	en	149363.1502	137189.8378	145525.3803	2.3e-16	2.3e-16	2.3e-16	2.0715348326998586	1.9027017528393273	2.0183083573805325	3.1898966437370133e-21	3.1898966437370133e-21	3.1898966437370133e-21	3.189896643736986e-21	1.9962587176281232
ATP_m+7	-70.26629798439923	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.9022321155441183	7.042658379361383e-22	('0/3', '0/3')	1.9142333745656028	2.1216639727030406	en	347503.9507	313529.2246	319695.0162	2.3e-16	2.3e-16	2.3e-16	2.1216639727030406	1.9142333745656028	1.9518782355076545	1.4042508372601916e-21	1.4042508372601916e-21	1.4042508372601916e-21	1.4042508372601944e-21	1.993921558619644
CTP_m+8	-67.77994056368587	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.8919529048186187	3.946433472315069e-21	('0/3', '0/3')	1.887114372410297	2.1157107760011695	en	61855.87728	55172.52942	58004.9804	2.3e-16	2.3e-16	2.3e-16	2.1157107760011695	1.887114372410297	1.983995175405855	7.86689155304579e-21	7.86689155304579e-21	7.86689155304579e-21	7.866891553045786e-21	1.993418008496387
Pyr_m+3	4.664997885194229	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.889632591496275	25.36905518372286	('0/3', '0/3')	1.8492929822385809	2.078715415684413	en	6918799.498	6005408.813	5896523.161	148402928.7	163430043.2	164933108.1	0.09043337531448262	0.07849474309234139	0.07707153419077913	1.9397263575530634	2.136140878000582	2.1557869498751923	2.0748756096682497	0.08178765802045
GTP_m+8	-65.84645771461771	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.8832439819278596	1.5074437645374532e-20	('0/3', '0/3')	1.8979815232317934	2.1488756924095456	en	16468.52849	14545.72868	14827.56618	2.3e-16	2.3e-16	2.3e-16	2.1488756924095456	1.8979815232317934	1.9347567429077484	3.001126722125223e-20	3.001126722125223e-20	3.001126722125223e-20	3.001126722125238e-20	1.9908714293206877
Pyr_m+2	6.5956568499530555	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.879975254183768	96.71426885010973	('0/3', '0/3')	1.8487217445123338	2.1008792414590554	en	81546.7175	70385.40254	72478.10887	6713759.754	7368460.997	7607203.063	0.022731053572340183	0.019619849883564827	0.02020318936253779	1.871452798084674	2.0539500154436774	2.1204990913426203	2.0124987207765312	0.020808705320365432
ATP_m+6	-72.01748839890078	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.8773702837668019	2.0920679177981148e-22	('0/3', '0/3')	1.9007830927417146	2.166454834304518	en	1197654.439	1050786.415	1055869.37	2.3e-16	2.3e-16	2.3e-16	2.166454834304518	1.9007830927417146	1.9099777252448071	4.160504029076112e-22	4.160504029076112e-22	4.160504029076112e-22	4.1605040290761325e-22	1.98870409209995
Pyr_m+1	72.2211588517831	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.872930744388018	5.50471876683991e+21	('0/3', '0/3')	1.8567310741429437	2.127008455229326	en	2.3e-16	2.3e-16	2.3e-16	1180802.158	1270616.32	1352687.101	3.6165935517614203e-22	3.6165935517614203e-22	3.6165935517614203e-22	1.8567310741429437	1.9979577346412287	2.127008455229326	1.9908330396413318	3.616593551761424e-22
GMP_m+3	65.90802851466894	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.8661403940538015	6.922987349090986e+19	('0/3', '0/3')	1.8745352778179938	2.164239528241601	en	2.3e-16	2.3e-16	2.3e-16	15010.6052	15518.72403	17330.45278	2.872256702202377e-20	2.872256702202377e-20	2.872256702202377e-20	1.8745352778179938	1.9379895262955038	2.164239528241601	1.9884596812688804	2.87225670220237e-20
