metabolite_or_isotopologue	sgLDHAB_T0-1	sgLDHAB_T0-2	sgLDHAB_T0-3	Cont_T0-1	Cont_T0-2	Cont_T0-3	sgLDHAB_T24-1	sgLDHAB_T24-2	sgLDHAB_T24-3	Cont_T24-1	Cont_T24-2	Cont_T24-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3
2_3-PG_m+0	2185431.556	1958221.269	2283734.943	298441.8262	268050.3636	360853.6529	707218.2078	1402972.376	1358127.536	26381.30429	23698.7623	29674.89889	703151.9167	856725.4533	961394.0385	42043.98974	56438.37354	37427.49772
2_3-PG_m+1	0.0	0.0	0.0	0.0	0.0	0.0	20285.21129	13618.86655	12883.90402	0.0	0.0	0.0	9099.30813	0.0	0.0	0.0	0.0	0.0
2_3-PG_m+2	88563.9783	85663.61931	97039.52603	200778.0533	197229.6694	247336.7766	138851.4978	137039.0852	165271.8054	146120.9923	89966.23931	125127.0329	35196.39397	34163.9901	37498.28763	20998.75488	22388.47005	21257.21399
2_3-PG_m+3	6037919.454	5727967.893	6517648.088	11787744.65	11554464.86	13482643.24	5503525.07	5573415.149	6123883.187	9033424.374	6122480.462	8110283.297	1808396.988	2237113.191	2446548.943	1641241.102	1488116.365	1673205.23
2-OHGLu_m+0	7052697.599	7337220.631	7457794.483	5893256.269	7454336.274	7702640.328	3245454.805	3264545.666	3314207.773	3102049.195	4066632.965	2901023.221	2464867.606	2190608.337	2650274.946	7496654.147	6077978.087	6881666.103
2-OHGLu_m+1	0.0	0.0	0.0	0.0	0.0	0.0	32061.28199	44972.70565	72524.50989	0.0	0.0	0.0	25411.89992	49432.48822	39126.4074	127975.2859	75887.68544	74145.2984
2-OHGLu_m+2	0.0	0.0	0.0	9976.217534	53035.94662	75074.27879	648391.1635	644448.0801	792967.5905	1845577.773	1611494.416	1746475.797	194675.1795	253656.25	263863.9772	6012803.217	4357806.114	5077692.884
2-OHGLu_m+3	10894.88415	37284.25074	21384.22568	16218.60873	34068.8323	59686.54119	292273.8795	330463.2062	411403.8789	474922.8927	479959.6627	460638.2245	139444.5684	183806.1376	189491.8669	2115857.203	1485423.251	1710100.953
2-OHGLu_m+4	0.0	7235.713458	6325.392538	18965.84568	23046.25122	29715.86922	281746.2973	268742.2627	351853.296	3200529.756	2732129.436	2954527.23	89363.44261	115222.1666	122189.8302	6276117.334	4614249.706	5361311.262
2-OHGLu_m+5	0.0	26177.25334	20442.93313	0.0	17896.32501	36216.68989	252610.3982	413132.7066	540641.1973	1488534.123	1298081.886	1412762.662	459582.9204	633663.3185	723492.487	4333075.972	3053391.05	3555612.354
6-PG_m+0	307451.8235	300465.0792	355671.0904	253560.3827	242260.6594	312674.8315	232262.835	458725.0639	317460.6052	85240.79781	67359.24717	75466.74027	141508.522	172951.0904	171128.8245	72569.96014	50707.62042	51302.53037
6-PG_m+1	1432.689533	0.0	0.0	0.0	0.0	0.0	11989.17278	16513.31114	4578.149607	0.0	0.0	0.0	2996.434697	4292.005233	4192.056658	5335.709802	0.0	2943.786996
6-PG_m+2	31941.54836	28272.87734	35165.02151	0.0	0.0	0.0	15030.62566	18815.90658	15887.72891	0.0	0.0	0.0	3028.055886	1650.81833	2494.023251	16789.12325	8427.233523	8834.859102
6-PG_m+3	199404.9658	179886.8849	202833.781	0.0	0.0	7071.048454	92431.9307	96695.21541	113677.4207	0.0	0.0	0.0	18035.34769	23303.94046	24295.11118	14443.42461	9027.351907	9470.214301
6-PG_m+4	28443.99762	25349.16735	33244.33466	9922.705217	15475.23458	20377.21486	46113.62786	47068.97272	52651.72525	34524.35854	26037.70094	32010.48202	11147.35876	12842.91016	16035.56112	48713.72113	24795.25519	32154.33289
6-PG_m+5	310431.0046	278026.8703	323697.7459	405342.3913	815587.5165	868426.7316	421442.0032	404141.9089	444139.5023	1807036.326	1207909.718	1739193.278	62710.47278	71779.67104	75157.49212	940490.0603	342445.6765	700291.1951
6-PG_m+6	2579073.189	2382460.1	2690894.375	5394323.444	7384800.665	8693515.641	3190611.534	3026642.748	3357293.783	11279297.92	8040213.605	9780146.306	1032813.243	1104174.366	1184057.633	3736952.624	2540210.974	3657011.932
a-KG_m+0	1172097.907	1228173.247	1382017.303	552526.6043	482434.0877	668544.802	610083.0031	4095308.917	4483808.033	572619.741	546375.578	603938.5237	10311561.96	13964610.51	16253229.78	404646.41	386613.7682	513872.5749
a-KG_m+1	0.0	0.0	3386.621841	0.0	2085.213699	18900.88043	17766.58052	165675.6018	182255.3685	28170.23998	32113.8241	35046.77133	156606.3322	313306.6794	374193.5422	22063.42589	32581.51669	39623.69516
a-KG_m+2	82953.77022	110579.8698	132964.3013	46309.55877	54983.84668	98248.93696	159795.0313	1446128.144	1629812.537	636158.2851	415566.8382	651396.9224	2051196.24	2904376.618	3402307.408	258408.8727	232918.0954	361274.1059
a-KG_m+3	16165.1334	20276.43592	27674.57941	13728.65106	12489.92256	20211.27089	53522.68827	590257.2934	694852.7937	149649.632	103268.9093	166286.257	890443.0507	1327311.033	1534711.855	102175.4388	84387.33604	131225.8553
a-KG_m+4	6950.35723	10711.5845	0.0	9561.259531	10809.82522	13667.29631	62893.85249	625683.1717	729923.4989	1099424.672	647876.2431	1033090.529	990619.232	1406536.043	1714020.391	254517.5884	191318.2753	306075.9215
a-KG_m+5	0.0	0.0	0.0	0.0	0.0	0.0	74583.80623	457469.0787	541537.8228	489385.3877	299919.5187	494125.676	740593.6334	1073481.003	1276503.222	238209.5127	159911.8992	253599.9126
Cit_m+0	7650672.176	8361921.496	8232006.899	3640417.161	3010167.195	3734034.341	3598845.288	5572225.422	5017553.155	2409286.436	2439421.505	2379355.51	3571918.965	4702980.903	5542239.117	1629187.516	2157942.234	1903940.908
Cit_m+1	47214.21759	80605.21054	82487.69471	0.0	0.0	0.0	113776.3026	150101.8943	367931.0036	142921.9644	140572.2633	138969.1907	60952.42975	158749.9169	211987.2879	48642.1266	53145.19491	47284.9595
Cit_m+2	1298475.246	1278324.379	1421013.86	493917.0713	411397.8949	374593.2272	960329.5819	1924451.987	2155279.904	1554160.456	1302953.033	1610754.308	1206742.285	1936675.138	2328888.006	579842.6917	843684.3285	922584.1065
Cit_m+3	684192.6616	651139.672	722333.7554	585243.7305	403561.4456	367726.5103	350505.7764	975007.4795	1083443.498	552194.2884	420251.951	592079.7106	601470.7804	931446.3635	1127252.113	182677.0598	298420.9537	308149.8918
Cit_m+4	54995.46545	58002.23256	71510.97277	86968.67392	56492.13064	57220.68868	374725.5092	903525.4328	926780.5152	1555535.76	1195054.908	1593964.291	557623.5727	891028.158	1057776.081	491335.4893	770753.2419	781195.6168
Cit_m+5	129412.7486	125900.2403	140274.1251	170691.4223	112152.4458	105551.4139	368064.0471	920755.3425	957810.7391	1678016.697	1297920.573	1700147.853	638953.4051	976434.2967	1156141.45	402611.8663	639003.0655	647477.6604
Cit_m+6	0.0	0.0	0.0	2031.189282	0.0	0.0	29383.01002	71607.92657	76489.0575	15450.28029	13831.50752	19043.7161	45377.36631	74361.86506	92386.78168	29960.34452	23504.72813	35976.50785
Fru6P_m+0	956776.7391	829266.3974	841425.7294	179734.982	162300.4623	187342.8223	47175.42233	47344.91877	52973.06974	22391.22342	27576.05636	0.0	14119.84324	0.0	0.0	31867.06608	23622.81216	22865.83087
Fru6P_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fru6P_m+2	43627.3595	40635.9992	35729.08037	0.0	0.0	0.0	12802.48476	11802.1103	13439.08761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fru6P_m+3	2507386.13	2186736.149	2096991.91	9312.055106	14325.51043	8845.219539	227579.4098	116616.3238	237861.3649	0.0	0.0	6.3e-12	19805.14418	24986.12418	24090.74225	0.0	0.0	0.0
Fru6P_m+4	436.971225	1113.720136	8937.272992	0.0	0.0	0.0	47638.42058	38873.2441	54203.03507	0.0	0.0	0.0	11198.07117	15425.10071	13516.03207	10035.01568	12545.41751	7386.573208
Fru6P_m+5	188945.044	174014.8844	188657.0194	97564.36791	114573.5361	105293.3099	250186.2026	151452.4572	220086.5457	129268.3093	96121.09449	93018.5589	50594.54176	50935.0344	57234.18228	74039.45877	54314.02883	64300.62992
Fru6P_m+6	5240901.288	4887419.133	4949498.187	3436641.392	3601674.344	3685660.374	4788702.17	3215017.064	4394867.095	4277664.869	3092362.132	3296107.747	1199257.986	1256359.589	1126540.361	2085141.907	1630827.017	1832585.616
FruBP_m+0	8106673.417	7879271.504	8222270.057	205368.9766	175418.3081	182771.0045	542331.5466	683452.2503	639652.377	22811.92638	13995.04808	19708.15421	21439.42685	16921.66148	18657.24455	79069.87494	41703.51777	32646.19575
FruBP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	53862.09736	63985.89274	49279.2474	0.0	0.0	0.0	0.0	0.0	0.0	3266.464534	0.0	0.0
FruBP_m+2	541271.562	514535.5144	580434.5865	2587.159208	3989.26785	0.0	128412.2443	140903.664	124745.4101	0.0	0.0	0.0	0.0	0.0	0.0	23301.02087	12405.55489	10290.10898
FruBP_m+3	24180246.87	24372881.53	25309457.49	683978.4827	539908.134	590542.9028	4185776.271	4776976.683	4319778.371	14319.97062	6849.66173	0.0	49529.77159	51115.85957	53738.06783	31324.39374	15542.58132	15142.75784
FruBP_m+4	367620.8688	372610.8342	453079.1594	14526.41421	15940.01533	13931.53467	556246.6395	646272.1607	556250.1345	9153.887078	0.0	0.0	15476.61456	13762.42449	14242.49261	43946.24401	21847.14379	20396.95798
FruBP_m+5	3097573.876	3213558.533	3409846.101	2056928.096	1721229.641	1921810.262	3505469.94	4033575.102	3396082.313	660838.45	408564.6311	513016.6198	129978.8555	108262.7398	131680.7734	389309.3425	161619.6409	194763.4675
FruBP_m+6	39941535.22	41535293.21	43211389.56	33059329.81	28449938.89	31638656.97	36948194.06	42159998.19	35781907.43	12962835.26	8880719.963	10829840.25	2992280.558	2823096.971	3174696.888	7218028.878	3845325.756	4606560.066
