metabolite_or_isotopologue	sgLDHAB_T0-1	sgLDHAB_T0-2	sgLDHAB_T0-3	Cont_T0-1	Cont_T0-2	Cont_T0-3	sgLDHAB_T24-1	sgLDHAB_T24-2	sgLDHAB_T24-3	Cont_T24-1	Cont_T24-2	Cont_T24-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3
2_3-PG_m+0	0.262927564	0.251963248	0.25664492	0.024289305	0.022300836	0.025609106	0.111025358	0.196851891	0.177297393	0.002865687	0.003800226	0.003590392	0.275115285	0.273888981	0.279033646	0.024669594	0.036018136	0.021610783
2_3-PG_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.003184552	0.001910871	0.001681935	0.0	0.0	0.0	0.003560196	0.0	0.0	0.0	0.0	0.0
2_3-PG_m+2	0.010655063	0.011022291	0.01090525	0.016340737	0.016408807	0.017553026	0.021798134	0.019228036	0.021575485	0.015872491	0.014426578	0.015139231	0.013770944	0.010921983	0.01088345	0.012321161	0.014287991	0.012273998
2_3-PG_m+3	0.726417373	0.737014462	0.73244983	0.959369958	0.961290357	0.956837868	0.863991956	0.782009202	0.799445187	0.981261822	0.981773196	0.981270377	0.707553575	0.715189037	0.710082904	0.963009246	0.949693873	0.966115219
2-OHGLu_m+0	0.9984576	0.990456533	0.993584747	0.992395167	0.98311252	0.974606491	0.68288879	0.65733899	0.604385592	0.306780824	0.399147416	0.306162791	0.730689317	0.639334451	0.664489191	0.284368286	0.309080077	0.30368515
2-OHGLu_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.006746139	0.009055567	0.013225715	0.0	0.0	0.0	0.007533144	0.014426994	0.009809954	0.004854447	0.003859075	0.003272002
2-OHGLu_m+2	0.0	0.0	0.0	0.001679946	0.006994627	0.009499065	0.136430511	0.129764106	0.144607164	0.182520597	0.158171106	0.184316313	0.057709823	0.074030203	0.066157197	0.228081823	0.221605118	0.224076539
2-OHGLu_m+3	0.0015424	0.005033027	0.002848971	0.002731133	0.004493156	0.007552071	0.061498486	0.066541066	0.075024438	0.046968061	0.047108913	0.04861398	0.041337172	0.053644275	0.047510277	0.080260163	0.075537412	0.075466065
2-OHGLu_m+4	0.0	0.000976754	0.000842717	0.003193754	0.003039447	0.003759916	0.059283336	0.054113125	0.064164674	0.316520176	0.268163469	0.311809398	0.026491043	0.033627874	0.030635999	0.238070037	0.234645903	0.236592504
2-OHGLu_m+5	0.0	0.003533686	0.002723565	0.0	0.002360251	0.004582457	0.053152738	0.083187146	0.098592416	0.147210343	0.127409096	0.149097517	0.1362395	0.184936204	0.181397382	0.164365244	0.155272416	0.156907739
6-PG_m+0	0.088905694	0.094058147	0.097671418	0.041819917	0.028642363	0.031576728	0.057922615	0.112747557	0.073730502	0.006454654	0.007210737	0.006490748	0.111227901	0.124336259	0.115834152	0.015008384	0.017041061	0.011497631
6-PG_m+1	0.00041429	0.0	0.0	0.0	0.0	0.0	0.002989907	0.004058718	0.001063279	0.0	0.0	0.0	0.002355244	0.003085565	0.002837531	0.001103492	0.0	0.000659745
6-PG_m+2	0.009236522	0.008850594	0.009656724	0.0	0.0	0.0	0.003748396	0.00462466	0.003689939	0.0	0.0	0.0	0.002380099	0.00118679	0.001688161	0.003472203	0.002832099	0.001980018
6-PG_m+3	0.057661837	0.056312125	0.055700516	0.0	0.0	0.000714098	0.023051037	0.023766195	0.02640168	0.0	0.0	0.0	0.014176064	0.016753435	0.016444942	0.002987083	0.003033778	0.00212241
6-PG_m+4	0.008225137	0.00793535	0.009129281	0.00163656	0.00182963	0.002057875	0.011499997	0.011568829	0.012228409	0.002614274	0.002787309	0.00275316	0.008761998	0.009232896	0.010854195	0.010074613	0.008332819	0.007206246
6-PG_m+5	0.089767182	0.087034048	0.088891166	0.066853445	0.096426525	0.087701574	0.105100856	0.099331858	0.103151786	0.136833464	0.129305475	0.149584646	0.049291408	0.05160312	0.050872811	0.194505223	0.115084034	0.156945273
6-PG_m+6	0.745789338	0.745809736	0.738950895	0.889690079	0.873101482	0.877949724	0.795687192	0.743902183	0.779734405	0.854097609	0.860696479	0.841171446	0.811807286	0.793801936	0.801468207	0.772849002	0.853676209	0.819588677
a-KG_m+0	0.917014563	0.896646245	0.893906235	0.888126423	0.857199015	0.815723126	0.623395641	0.554880644	0.542690014	0.192450833	0.267160526	0.202400089	0.681034808	0.665310246	0.661912122	0.31612476	0.35543145	0.320035819
a-KG_m+1	0.0	0.0	0.00219051	0.0	0.003705051	0.023061858	0.018154266	0.02244768	0.022058966	0.00946769	0.015702653	0.01174535	0.010343182	0.014926742	0.015239017	0.017236765	0.029953656	0.024677327
a-KG_m+2	0.064900564	0.080730488	0.086002988	0.074437579	0.097696453	0.119878174	0.163281923	0.195938458	0.197261565	0.213805399	0.203199154	0.218304992	0.135472787	0.138372031	0.138558831	0.201878581	0.214132096	0.224998687
a-KG_m+3	0.01264712	0.014803115	0.017900267	0.022067313	0.022192357	0.024660727	0.054690608	0.079975004	0.084100316	0.0502955	0.050495259	0.055728111	0.058809976	0.063236539	0.062501078	0.079823236	0.077581079	0.081726436
a-KG_m+4	0.005437753	0.007820152	0.0	0.015368685	0.019207124	0.016676115	0.064266261	0.084774919	0.088345039	0.369503842	0.316791168	0.346223343	0.065426187	0.067011023	0.069803411	0.198838565	0.175887508	0.190621689
a-KG_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.076211301	0.061983294	0.065544101	0.164476735	0.146651241	0.165598114	0.048913059	0.051143418	0.051985542	0.186098093	0.147014211	0.157940041
Cit_m+0	0.775539914	0.792156695	0.771536499	0.731114744	0.753715501	0.804900362	0.620958479	0.529796287	0.47401197	0.304681171	0.358211373	0.296149159	0.534475269	0.486263249	0.481236218	0.484263679	0.450843641	0.409748408
Cit_m+1	0.004786051	0.007636039	0.007731076	0.0	0.0	0.0	0.019631397	0.014271394	0.034758715	0.018074078	0.020642018	0.017296957	0.009120466	0.016413898	0.018406994	0.014458505	0.01110325	0.010176228
Cit_m+2	0.131624955	0.121100541	0.133183083	0.09919469	0.103009883	0.080746505	0.165698925	0.182973128	0.203610892	0.196540943	0.191329212	0.200484347	0.1805679	0.200241924	0.202218856	0.172353859	0.176265012	0.198549948
Cit_m+3	0.06935583	0.061684943	0.067699999	0.117536068	0.101047715	0.079266331	0.060477602	0.092701803	0.102353711	0.069831133	0.061710954	0.073693867	0.089999594	0.096306607	0.097880032	0.054299376	0.062346984	0.066317146
Cit_m+4	0.005574828	0.005494773	0.006702293	0.017466152	0.01414506	0.012334368	0.064656567	0.08590543	0.087553643	0.196714866	0.175485154	0.198394558	0.083438626	0.092127579	0.091847383	0.146045762	0.161028035	0.168121636
Cit_m+5	0.013118423	0.01192701	0.01314705	0.034280416	0.028081841	0.022752434	0.063507173	0.087543616	0.090485091	0.212203948	0.190590232	0.211610815	0.095608214	0.100958121	0.100388512	0.119673335	0.133502401	0.139344104
Cit_m+6	0.0	0.0	0.0	0.000407929	0.0	0.0	0.005069857	0.006808342	0.007225978	0.00195386	0.002031057	0.002370298	0.00678993	0.007688622	0.008022004	0.008905486	0.004910677	0.007742529
Fru6P_m+0	0.107045074	0.102136639	0.103608047	0.048273645	0.041691683	0.046986748	0.008778319	0.013220753	0.010651214	0.005055223	0.008574486	0.0	0.010903559	0.0	0.0	0.0144779	0.013723747	0.011865172
Fru6P_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fru6P_m+2	0.00488107	0.005004935	0.004399462	0.0	0.0	0.0	0.002382264	0.003295661	0.002702177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fru6P_m+3	0.280528698	0.269329471	0.258210829	0.002501054	0.003679932	0.002218436	0.042347571	0.032564331	0.047826421	0.0	0.0	1.86e-18	0.015293836	0.018539746	0.019724178	0.0	0.0	0.0
Fru6P_m+4	4.89e-05	0.000137171	0.001100481	0.0	0.0	0.0	0.008864472	0.010855094	0.010898521	0.0	0.0	0.0	0.008647322	0.011445451	0.011066185	0.004559126	0.007288299	0.003832923
Fru6P_m+5	0.021139348	0.021432552	0.023230078	0.026204068	0.029431608	0.026408218	0.046554203	0.042292089	0.044252465	0.029184656	0.029887849	0.027446177	0.039069881	0.037793881	0.046860208	0.033637734	0.031553905	0.033365856
Fru6P_m+6	0.586356922	0.601959231	0.609451103	0.923021234	0.925196778	0.924386598	0.891073171	0.897772073	0.883669202	0.965760121	0.961537665	0.972553823	0.926085402	0.932220922	0.922349429	0.947325241	0.947434049	0.95093605
FruBP_m+0	0.106338056	0.101161363	0.10127635	0.005701096	0.005675788	0.005321199	0.011810281	0.013016858	0.014256413	0.001668763	0.001503207	0.001734481	0.006681644	0.005615919	0.005498721	0.010152462	0.010175451	0.006690069
FruBP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.001172948	0.001218659	0.001098324	0.0	0.0	0.0	0.0	0.0	0.0	0.00041941	0.0	0.0
FruBP_m+2	0.007100047	0.006606082	0.0071494	7.18e-05	0.000129076	0.0	0.002796416	0.002683615	0.002780295	0.0	0.0	0.0	0.0	0.0	0.0	0.002991819	0.003026894	0.002108716
FruBP_m+3	0.317180713	0.312921557	0.311744744	0.01898742	0.017469123	0.017193078	0.091153083	0.090981083	0.096278143	0.00104755	0.000735721	0.0	0.015436062	0.016964205	0.015837849	0.004022009	0.003792313	0.003103152
FruBP_m+4	0.004822211	0.004783922	0.005580722	0.000403257	0.000515751	0.000405603	0.012113308	0.012308735	0.012397564	0.000669635	0.0	0.0	0.004823321	0.00456744	0.004197591	0.005642637	0.005330594	0.004179876
FruBP_m+5	0.040631955	0.041258632	0.042000173	0.057100856	0.055691646	0.055951623	0.076338144	0.076822446	0.075691035	0.048342385	0.043883884	0.045149719	0.040508195	0.035929971	0.038809364	0.049986779	0.039434389	0.039912186
FruBP_m+6	0.523927018	0.533268445	0.532248611	0.917735551	0.920518616	0.921128498	0.80461582	0.802968604	0.797498227	0.948271666	0.953877188	0.9531158	0.932550779	0.936922464	0.935656474	0.926784885	0.93824036	0.944006002
Fru1P_m+0	0.647017317	0.639613025	0.644130087	0.484659199	0.483113741	0.479560367	0.020567237	0.026579804	0.031260178	0.0	0.0	0.0	0.096254133	0.120954965	0.130775053	0.0	0.0	0.0
Fru1P_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007589416	0.008547297	0.008030952	0.0	0.0	0.0	0.01534459	0.012385004	0.009121821
Fru1P_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.002857243	0.002158491	0.002987908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
