metabolite_or_isotopologue	sgLDHAB_T0-1	sgLDHAB_T0-2	sgLDHAB_T0-3	Cont_T0-1	Cont_T0-2	Cont_T0-3	sgLDHAB_T24-1	sgLDHAB_T24-2	sgLDHAB_T24-3	Cont_T24-1	Cont_T24-2	Cont_T24-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3
2-OHGLu	0.00092544	0.007334905	0.005107121	0.004865662	0.010285552	0.015921259	0.193399931	0.220119041	0.255426827	0.501615558	0.433473662	0.501439949	0.206825196	0.276522548	0.262837217	0.49518099	0.477725447	0.481746398
2_3-PG	0.733520749	0.744362655	0.739719997	0.970263783	0.972229561	0.968539885	0.879585563	0.79546485	0.814389489	0.991843483	0.991390915	0.991363197	0.717920936	0.722470358	0.717338538	0.971223353	0.9592192	0.974297884
6-PG	0.858057555	0.854734603	0.85018222	0.946492323	0.954676673	0.952763335	0.904211205	0.848492388	0.888454532	0.969868344	0.970309247	0.967660758	0.86699873	0.852246374	0.86035646	0.944487954	0.957595706	0.957011737
ADP	0.0046065	0.004857696	0.005341995	0.003959435	0.003954685	0.004192611	0.319971874	0.313969319	0.318398611	0.241665609	0.230618007	0.236361187	0.389205628	0.392401693	0.39551035	0.234449886	0.232809563	0.240030529
AMP	0.00320324	0.003229959	0.003866511	0.002574578	0.0	0.0	0.337634678	0.314094587	0.323359844	0.19534732	0.1750965	0.185714376	0.227006957	0.214394545	0.210634846	0.200755304	0.195575512	0.204438143
ATP	0.003463268	0.003765017	0.004033215	0.003282632	0.003294284	0.003449163	0.324969906	0.338232012	0.342964517	0.235593065	0.221415042	0.229441551	0.414359992	0.441109112	0.450166031	0.223394105	0.230018973	0.233105737
Alanine	0.207177139762593	0.209269880174237	0.202755513409509	0.274147536579224	0.241913656878809	0.227330453303725	0.420925668931156	0.663923463590303	0.719880282138396	0.722213703822168	0.691184438782566	0.751313475218807	0.554374672030623	0.666780046547956	0.688034471996134	0.775869496562392	0.778088488123597	0.766059324050984
Aspartate	0.134609947843386	0.107329711466888	0.120397263678768	0.127450141890399	0.161209513140629	0.124260000235574	0.0866909224705019	0.0106860666810014	0.130888409601188	0.171331586075726	0.137073572874019	0.17197472522034	0.0281660815896213	0.0319800438268657	0.0431096526435915	0.0254822005663187	0.0360541984678081	0.0454635463469223
CDP	0.0	0.0	0.0	0.0	0.0	0.0	0.028775746	0.029422012	0.020751668	0.13958063	0.120397919	0.129002672	0.108723382	0.110908801	0.109905679	0.08580168	0.094662611	0.091051002
CMP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.116412421	0.099207059	0.09707262	0.0	0.0	0.0	0.087677454	0.104630099	0.095396691
