"original_name"	"name_to_plot"	"condition"	"timepoint"	"timenum"	"short_comp"
"T0_AB_1"	"sgLDHAB_T0-1"	"sgLDHAB"	"T0"	0	"en"
"T0_AB_2"	"sgLDHAB_T0-2"	"sgLDHAB"	"T0"	0	"en"
"T0_AB_3"	"sgLDHAB_T0-3"	"sgLDHAB"	"T0"	0	"en"
"T0_Cont_1"	"Cont_T0-1"	"Cont"	"T0"	0	"en"
"T0_Cont_2"	"Cont_T0-2"	"Cont"	"T0"	0	"en"
"T0_Cont_3"	"Cont_T0-3"	"Cont"	"T0"	0	"en"
"T24_AB_1"	"sgLDHAB_T24-1"	"sgLDHAB"	"T24"	24	"en"
"T24_AB_2"	"sgLDHAB_T24-2"	"sgLDHAB"	"T24"	24	"en"
"T24_AB_3"	"sgLDHAB_T24-3"	"sgLDHAB"	"T24"	24	"en"
"T24_Cont_1"	"Cont_T24-1"	"Cont"	"T24"	24	"en"
"T24_Cont_2"	"Cont_T24-2"	"Cont"	"T24"	24	"en"
"T24_Cont_3"	"Cont_T24-3"	"Cont"	"T24"	24	"en"
"T48_AB_1"	"sgLDHAB_T48-1"	"sgLDHAB"	"T48"	48	"en"
"T48_AB_2"	"sgLDHAB_T48-2"	"sgLDHAB"	"T48"	48	"en"
"T48_AB_3"	"sgLDHAB_T48-3"	"sgLDHAB"	"T48"	48	"en"
"T48_Cont_1"	"Cont_T48-1"	"Cont"	"T48"	48	"en"
"T48_Cont_2"	"Cont_T48-2"	"Cont"	"T48"	48	"en"
"T48_Cont_3"	"Cont_T48-3"	"Cont"	"T48"	48	"en"
