metabolite_or_isotopologue	MCF001089_TD01	MCF001089_TD02	MCF001089_TD19	MCF001089_TD20	MCF001089_TD37	MCF001089_TD38	MCF001089_TD55	MCF001089_TD56
Fructose_1,6-bisphosphate		81.46798666666666	30.88032133333333					
Fumaric_acid	1765.8621555555562	2350.101706666667	1112.7411533333332	1571.7939723809532				
Glycine	31339.848144444444	19953.50235833333	20173.435886666663	14121.041376190477	21082398.016666666	20528546.116666667	35768152.41666667	21132662.81666667
Hexose	15263.525582222224	10653.204421666667	9284.639177333334	7131.811518095239	23812934.64333333	24242428.64333333	23957348.64333333	23850557.64333333
Hexose-phosphate	556790.6730444445	410704.96478333336	337548.2038266667	233788.3998761905	1792538.566666667	1790949.566666667	2069691.566666667	1915534.566666667
Ile_Leu	723695.6614222223	871117.5290666667	545783.4088533333	441641.19203809527	2111708660.1333327	2203285239.133333	2311992779.133333	2210982973.133333
L-Alanine	14581.8738	7816.563399999999	9781.123839999998	6324.36291142857	1548485.77	1701510.73	1935085.62	1763954.77
L-Arginine	5680.366466666666	7466.331200000001	5139.229840000001	3719.848742857144	76704557.1	76562817.1	76269336.1	76291863.1
L-Asparagine					3617749.87	3435790.2	3513705.7	3293797.9
L-Aspartic_acid	71486.78267333333	55376.312	34321.611392	23119.75461142857				
L-Glutamic_acid	139191.37992666668	104355.486845	82261.28531600001	55875.25868285714				
L-Glutamine	18606.32958888889	9863.261441666667	8701.497033333335	5374.547080952381				
L-Histidine	16420.387355555555	15111.119316666667	12255.282253333333	8082.469038095238	66137818.63333333	67607708.63333334	64943662.63333333	66958084.63333333
L-Lactic_acid	1073607.0293955556	1722584.2720466666	879872.2496373333	726504.4068838095	9322737799.093334	9302697744.093334	8901197393.093334	8704911808.093334
L-Lysine	11537.73680888889	13806.366056666666	9173.407525333334	6579.528718095239	117443154.71333334	121027940.71333334	119744345.59333332	119004184.71333334
L-Malic_acid	83435.18658666659	84111.08978999997	79766.01795199995	59945.28643999999				
L-Methionine	50953.09172444445	49086.99679333334	38660.34303466667	29593.68731047619	111550662.21666668	114041484.58666667	118873593.96666668	116214414.89666668
L-Phenylalanine	246751.26231111115	294311.09893333336	189439.93394666663	150023.76081904763	636990553.8666667	649933157.8666667	685784788.8666667	665904616.8666667
L-Proline	6399.387268888889	4826.820016666667	4196.610013333333	3581.472580952381	6433495.033333333	6609824.833333334	7152407.533333333	6966378.033333333
L-Serine	34591.22677111111	27843.714578333333	24105.163262666665	18470.518616190475	85713015.15666667	86442185.15666667	87723164.15666667	84905739.15666667
L-Threonine	162184.6072	122218.556075	113231.489568	82710.40769142858	285717399.29	278341478.49	287841134.94	283733608.09
L-Tryptophan	4101.068422222223	4813.902566666667	2975.5369333333333	2079.1386666666667	23656601.73333333	24177093.73333333	22572464.73333333	20887438.73333333
L-Tyrosine	216327.2699377777	233028.4349533333	158752.20572266664	127191.9668304762	526242843.9066666	541860987.9066666	554116402.9066666	532238404.9066666
L-Valine	204800.46126444443	179839.41518833334	153570.35555866666	121953.23554190477	577225423.9966667	578990937.1966666	606569154.8966666	603361959.6966666
Pyruvic_acid	629.5377555555556	1468.379316666667	750.1246533333333	639.8964666666667	1917193228.8333333	1800847679.233333	1954504808.4333327	1917436849.8333333
