"metabolite"	"log2FC"
"L-Tyrosine"	-0.659968678204732
"L-Methionine"	-0.564183344484383
"L-Aspartic_acid"	-1.15935106244706
"Ile_Leu"	-0.693523610648101
"L-Tryptophan"	-0.837035374866231
"L-Phenylalanine"	-0.676733959143337
"L-Histidine"	-0.66241349825001
"L-Lysine"	-0.700054053954064
"L-Valine"	-0.487850213355105
"L-Glutamic_acid"	-0.830004647954106
"L-Serine"	-0.556595647406005
"Hexose-phosphate"	-0.767470270896718
"L-Proline"	-0.519614754953497
"L-Lactic_acid"	-0.76631557804511
"Hexose"	-0.648058727571048
"Fumaric_acid"	-0.623282884363316
"L-Malic_acid"	-0.27676569146823
"L-Arginine"	-0.57479369013583
"L-Threonine"	-0.540842116215087
"L-Glutamine"	-0.986189773600393
"Glycine"	-0.567168440724247
"L-Alanine"	-0.44085913890044
"Pyruvic_acid"	-0.472738419356686
"Fructose_1,6-bisphosphate"	0
"Citric_acid"	0
"3-Phosphoglyceric_acid"	0
"Acetyl-CoA"	0
"Phosphoenolpyruvic_acid"	0
"L-Asparagine"	0
"cis-Aconitic_acid"	1.8
"unknown_compound"	7
