"Glycolysis"	"TCA Cycle"	"Aminoacids"	"Other aminoacids"
"ALDOA  "	"ACO2"	"FBP1  "	"ALDH1A3"
"BPGM  "	"CS"	"FBP2  "	"ALDH3A1"
"ENO1  "	"FH"	"GAPDH  "	"ALDH3B1"
"ENO2  "	"MDH1"	"GAPDHS  "	"ALDH3B2"
"GAPDH  "	"OGDH"	"GOT1  "	"AOC2"
"GPI  "	"PDHA1"	"GOT2  "	"AOC3"
"HK1  "	"PDHA2"	"GPI  "	"DDC"
"HK2  "	"SDHC"	"MDH1  "	"GOT1"
"HKDC1  "	"SUCLG1"	"MDH2  "	"GOT2"
"PFKL  "		"PC  "	"HPD"
"PFKM  "		"PCK1  "	"IL4I1"
"PGAM1  "		"PCK2  "	"MAOA"
"PGAM2  "		"PFKFB1  "	"MAOB"
"PGAM4  "		"PGAM1 "	"MIF"
"PGK1  "			"NAA80"
"PKLR  "			"PAH"
"PKM  "			"PRDX6"
"TPI1 "			"TAT"
